run,oracle_bucket,rows,pass_count,pass_rate
cal_full,13-16,90,51,0.5666666666666667
cal_full,17-24,82,16,0.1951219512195122
cal_full,25+,31,3,0.0967741935483871
cal_full,9-12,232,188,0.8103448275862069
cal_full,<=8,598,516,0.862876254180602
control,13-16,90,49,0.5444444444444444
control,17-24,82,17,0.2073170731707317
control,25+,31,5,0.16129032258064516
control,9-12,232,179,0.771551724137931
control,<=8,598,537,0.8979933110367893
midcons,13-16,90,53,0.5888888888888889
midcons,17-24,82,17,0.2073170731707317
midcons,25+,31,5,0.16129032258064516
midcons,9-12,232,182,0.7844827586206896
midcons,<=8,598,538,0.8996655518394648
route2_len32,13-16,90,53,0.5888888888888889
route2_len32,17-24,82,19,0.23170731707317074
route2_len32,25+,31,5,0.16129032258064516
route2_len32,9-12,232,184,0.7931034482758621
route2_len32,<=8,598,540,0.903010033444816
v6_short_override,13-16,90,53,0.5888888888888889
v6_short_override,17-24,82,20,0.24390243902439024
v6_short_override,25+,31,5,0.16129032258064516
v6_short_override,9-12,232,184,0.7931034482758621
v6_short_override,<=8,598,540,0.903010033444816
