split,action,primary_passed,action_passed,count
calibration,EXPAND_16,False,False,25
calibration,EXPAND_16,False,True,4
calibration,EXPAND_16,True,False,44
calibration,EXPAND_16,True,True,82
calibration,EXPAND_24,False,False,22
calibration,EXPAND_24,False,True,7
calibration,EXPAND_24,True,False,50
calibration,EXPAND_24,True,True,76
calibration,EXPAND_32,False,False,23
calibration,EXPAND_32,False,True,6
calibration,EXPAND_32,True,False,64
calibration,EXPAND_32,True,True,62
calibration,EXPAND_48,False,False,24
calibration,EXPAND_48,False,True,5
calibration,EXPAND_48,True,False,67
calibration,EXPAND_48,True,True,59
calibration,KEEP_PRIMARY,False,False,29
calibration,KEEP_PRIMARY,True,True,126
train,EXPAND_16,False,False,115
train,EXPAND_16,False,True,35
train,EXPAND_16,True,False,156
train,EXPAND_16,True,True,339
train,EXPAND_24,False,False,115
train,EXPAND_24,False,True,35
train,EXPAND_24,True,False,201
train,EXPAND_24,True,True,294
train,EXPAND_32,False,False,112
train,EXPAND_32,False,True,38
train,EXPAND_32,True,False,240
train,EXPAND_32,True,True,255
train,EXPAND_48,False,False,118
train,EXPAND_48,False,True,32
train,EXPAND_48,True,False,260
train,EXPAND_48,True,True,235
train,KEEP_PRIMARY,False,False,150
train,KEEP_PRIMARY,True,True,495
validation,EXPAND_16,False,False,29
validation,EXPAND_16,False,True,9
validation,EXPAND_16,True,False,38
validation,EXPAND_16,True,True,51
validation,EXPAND_24,False,False,30
validation,EXPAND_24,False,True,8
validation,EXPAND_24,True,False,35
validation,EXPAND_24,True,True,54
validation,EXPAND_32,False,False,29
validation,EXPAND_32,False,True,9
validation,EXPAND_32,True,False,41
validation,EXPAND_32,True,True,48
validation,EXPAND_48,False,False,33
validation,EXPAND_48,False,True,5
validation,EXPAND_48,True,False,41
validation,EXPAND_48,True,True,48
validation,KEEP_PRIMARY,False,False,38
validation,KEEP_PRIMARY,True,True,89
