split,oracle_action_ceiling,tasks,pass_count,wins_vs_keep,losses_vs_keep,intervention_count,benefit_count,harm_count,conditional_harm_rate,population_harm_rate,net_gain_probability
train,KEEP_PRIMARY,645,495,0,0,0,0,0,,0.0,0.0
train,EXPAND_16,645,530,35,0,35,35,0,0.0,0.0,0.05426356589147287
train,EXPAND_24,645,550,55,0,55,55,0,0.0,0.0,0.08527131782945736
train,EXPAND_32,645,561,66,0,66,66,0,0.0,0.0,0.10232558139534884
train,EXPAND_48,645,569,74,0,74,74,0,0.0,0.0,0.11472868217054263
calibration,KEEP_PRIMARY,155,126,0,0,0,0,0,,0.0,0.0
calibration,EXPAND_16,155,130,4,0,4,4,0,0.0,0.0,0.025806451612903226
calibration,EXPAND_24,155,134,8,0,8,8,0,0.0,0.0,0.05161290322580645
calibration,EXPAND_32,155,136,10,0,10,10,0,0.0,0.0,0.06451612903225806
calibration,EXPAND_48,155,138,12,0,12,12,0,0.0,0.0,0.07741935483870968
validation,KEEP_PRIMARY,127,89,0,0,0,0,0,,0.0,0.0
validation,EXPAND_16,127,98,9,0,9,9,0,0.0,0.0,0.07086614173228346
validation,EXPAND_24,127,102,13,0,13,13,0,0.0,0.0,0.10236220472440945
validation,EXPAND_32,127,104,15,0,15,15,0,0.0,0.0,0.11811023622047244
validation,EXPAND_48,127,106,17,0,17,17,0,0.0,0.0,0.13385826771653545
