split,action,rows,pass_count,pass_rate,benefit_count,harm_count,neutral_count,mean_cost_sec
overall,KEEP_PRIMARY,927,710,0.7659115426105717,0,0,927,0.8813584107181516
overall,EXPAND_16,927,520,0.5609492988133765,48,238,641,1.217164300758258
overall,EXPAND_24,927,474,0.511326860841424,50,286,591,1.2552670460391389
overall,EXPAND_32,927,418,0.45091693635382957,53,345,529,1.2689287761934458
overall,EXPAND_48,927,384,0.41423948220064727,42,368,517,1.3240121112341596
train,KEEP_PRIMARY,645,495,0.7674418604651163,0,0,645,0.8795492403875214
train,EXPAND_16,645,374,0.57984496124031,35,156,454,1.2124429898105504
train,EXPAND_24,645,329,0.5100775193798449,35,201,409,1.2542663135106473
train,EXPAND_32,645,293,0.4542635658914729,38,240,367,1.2773073677414877
train,EXPAND_48,645,267,0.413953488372093,32,260,353,1.3298243364747866
calibration,KEEP_PRIMARY,155,126,0.8129032258064516,0,0,155,0.9342028889403258
calibration,EXPAND_16,155,86,0.5548387096774193,4,44,107,1.254186824258537
calibration,EXPAND_24,155,83,0.535483870967742,7,50,98,1.2799798587134348
calibration,EXPAND_32,155,68,0.43870967741935485,6,64,85,1.2840746698683247
calibration,EXPAND_48,155,64,0.4129032258064516,5,67,83,1.294774952064073
validation,KEEP_PRIMARY,127,89,0.7007874015748031,0,0,127,0.8260514874017695
validation,EXPAND_16,127,60,0.47244094488188976,9,38,80,1.1959576426380072
validation,EXPAND_24,127,62,0.4881889763779528,8,35,84,1.2301881997112742
validation,EXPAND_32,127,57,0.44881889763779526,9,41,77,1.2078909410116094
validation,EXPAND_48,127,53,0.41732283464566927,5,41,81,1.3301764765188766
