target,feature_variant,split,rows,positives,base_rate,auc,average_precision,top_k,top_k_hits,top_k_precision
recoverable,probe_only,train,645,74,0.11472868217054263,0.7016968807686846,0.23495794090066177,74,19,0.25675675675675674
recoverable,probe_only,calibration,155,12,0.07741935483870968,0.6427738927738927,0.1460855193210573,12,3,0.25
recoverable,probe_only,validation,127,17,0.13385826771653545,0.6336898395721925,0.27681260640309235,17,4,0.23529411764705882
recoverable,trace_only,train,645,74,0.11472868217054263,0.7267122639276755,0.25426591083402356,74,20,0.2702702702702703
recoverable,trace_only,calibration,155,12,0.07741935483870968,0.7441724941724942,0.18939893692081197,12,2,0.16666666666666666
recoverable,trace_only,validation,127,17,0.13385826771653545,0.7342245989304813,0.32142078913286914,17,5,0.29411764705882354
recoverable,probe_trace_fused,train,645,74,0.11472868217054263,0.7652766601978511,0.28767995708250377,74,21,0.28378378378378377
recoverable,probe_trace_fused,calibration,155,12,0.07741935483870968,0.6917249417249417,0.1578946674647678,12,2,0.16666666666666666
recoverable,probe_trace_fused,validation,127,17,0.13385826771653545,0.7267379679144385,0.3703240467377084,17,6,0.35294117647058826
harmable,probe_only,train,645,390,0.6046511627906976,0.6798290598290598,0.7449682768517252,390,276,0.7076923076923077
harmable,probe_only,calibration,155,97,0.6258064516129033,0.6232669747600427,0.6912939339479354,97,68,0.7010309278350515
harmable,probe_only,validation,127,67,0.5275590551181102,0.6855721393034826,0.6800959227909581,67,45,0.6716417910447762
harmable,trace_only,train,645,390,0.6046511627906976,0.693318250377074,0.742034086497013,390,278,0.7128205128205128
harmable,trace_only,calibration,155,97,0.6258064516129033,0.7215606114468539,0.8065198280241389,97,73,0.7525773195876289
harmable,trace_only,validation,127,67,0.5275590551181102,0.7001243781094527,0.7037132910612903,67,44,0.6567164179104478
harmable,probe_trace_fused,train,645,390,0.6046511627906976,0.7068728004022121,0.7651710945667451,390,283,0.7256410256410256
harmable,probe_trace_fused,calibration,155,97,0.6258064516129033,0.7077852826164237,0.7627229907528736,97,71,0.7319587628865979
harmable,probe_trace_fused,validation,127,67,0.5275590551181102,0.7089552238805971,0.6931369227188651,67,45,0.6716417910447762
