family,family_display,feature_variant,k,interventions,wins,losses,net,pass_count,pass_rate,population_harm,population_harm_upper95,population_harm_wilson_upper95,conditional_harm,conditional_harm_upper95,short_bucket_losses,missed_long_wins,selected_canvas_distribution,average_cost,topk_oracle_win_hits,exploratory_gate_passed,frozen_test_gate_passed
targeted_missed_long,Family A,probe_only,5,5,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.4507197283469412,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 10, '3': 15, '4': 11, '5': 12, '6': 15, '7': 23, '8': 11, '9': 7}",0.8290459004012634,2,True,False
targeted_missed_long,Family A,probe_only,10,10,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.2588655508930523,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 15, '3': 10, '4': 11, '5': 12, '6': 15, '7': 23, '8': 11, '9': 7}",0.8328783870330924,3,True,False
targeted_missed_long,Family A,probe_only,15,15,1,1,0,89,0.7007874015748031,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.06666666666666667,0.27939619361287654,1,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 20, '3': 7, '4': 11, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8482962664112258,3,False,False
targeted_missed_long,Family A,probe_only,20,20,1,4,-3,86,0.6771653543307087,0.031496062992125984,0.07062223955314123,0.0781885252981719,0.2,0.4010281173319747,3,0,"{'10': 2, '11': 9, '12': 2, '13': 2, '14': 6, '15': 1, '16': 24, '3': 7, '4': 10, '5': 11, '6': 14, '7': 23, '8': 9, '9': 7}",0.8565011363257434,4,False,False
targeted_missed_long,Family A,probe_only,30,30,4,8,-4,85,0.6692913385826772,0.06299212598425197,0.11078667439790986,0.11938465794017394,0.26666666666666666,0.429933933806293,5,2,"{'10': 2, '11': 8, '12': 2, '13': 2, '14': 5, '15': 1, '16': 33, '3': 7, '4': 10, '5': 9, '6': 14, '7': 21, '8': 9, '9': 4}",0.8793506496232993,9,False,False
targeted_missed_long,Family A,probe_only,40,40,5,9,-4,85,0.6692913385826772,0.07086614173228346,0.12040306178247978,0.12920398705097466,0.225,0.3597923909253817,5,2,"{'10': 2, '11': 8, '12': 1, '13': 2, '14': 3, '16': 41, '3': 7, '4': 10, '5': 9, '6': 13, '7': 18, '8': 9, '9': 4}",0.8930763892305091,11,False,False
targeted_missed_long,Family A,probe_only,60,60,6,13,-7,82,0.6456692913385826,0.10236220472440945,0.15781210308938584,0.16727327009734946,0.21666666666666667,0.32224279575842696,8,2,"{'10': 1, '11': 4, '12': 1, '13': 1, '16': 60, '3': 5, '4': 10, '5': 9, '6': 12, '7': 15, '8': 7, '9': 2}",0.9490576245735847,12,False,False
targeted_missed_long,Family A,probe_trace_fused,5,5,0,1,-1,88,0.6929133858267716,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.2,0.6574083180011387,1,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 10, '3': 15, '4': 12, '5': 12, '6': 15, '7': 23, '8': 10, '9': 7}",0.8333149269694374,1,False,False
targeted_missed_long,Family A,probe_trace_fused,10,10,1,1,0,89,0.7007874015748031,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.1,0.3941633024365049,1,1,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 5, '15': 1, '16': 15, '3': 12, '4': 12, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8345603469784892,3,False,False
targeted_missed_long,Family A,probe_trace_fused,15,15,3,1,2,91,0.7165354330708661,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.06666666666666667,0.27939619361287654,1,1,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 5, '15': 1, '16': 20, '3': 9, '4': 11, '5': 11, '6': 14, '7': 23, '8': 10, '9': 7}",0.8501658024427694,5,False,False
targeted_missed_long,Family A,probe_trace_fused,20,20,3,2,1,90,0.7086614173228346,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.1,0.2826185248858609,1,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 25, '3': 7, '4': 11, '5': 11, '6': 14, '7': 21, '8': 10, '9': 7}",0.8609088743004698,6,False,False
targeted_missed_long,Family A,probe_trace_fused,30,30,3,6,-3,86,0.6771653543307087,0.047244094488188976,0.09111255728528607,0.09924515042575026,0.2,0.35700911456165313,2,1,"{'10': 2, '11': 6, '12': 2, '13': 2, '14': 5, '15': 1, '16': 34, '3': 7, '4': 11, '5': 10, '6': 14, '7': 18, '8': 9, '9': 6}",0.888462640340055,8,False,False
targeted_missed_long,Family A,probe_trace_fused,40,40,7,10,-3,86,0.6771653543307087,0.07874015748031496,0.12990028751742105,0.1388873805616315,0.25,0.3870602400920184,5,2,"{'10': 2, '11': 6, '12': 1, '13': 2, '14': 5, '15': 1, '16': 44, '3': 7, '4': 10, '5': 8, '6': 14, '7': 14, '8': 9, '9': 4}",0.921156657630519,13,False,False
targeted_missed_long,Family A,probe_trace_fused,60,60,7,12,-5,84,0.6614173228346457,0.09448818897637795,0.14859406646888756,0.15790993777592072,0.2,0.303809730015353,7,2,"{'10': 2, '11': 3, '13': 1, '14': 3, '16': 60, '3': 7, '4': 9, '5': 8, '6': 12, '7': 9, '8': 9, '9': 4}",0.9707912920669866,13,False,False
two_stage_rejector,Family B,probe_only,5,5,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.4507197283469412,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 10, '3': 15, '4': 11, '5': 12, '6': 15, '7': 23, '8': 11, '9': 7}",0.8290459004012634,2,True,False
two_stage_rejector,Family B,probe_only,10,10,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.2588655508930523,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 15, '3': 11, '4': 11, '5': 12, '6': 15, '7': 23, '8': 10, '9': 7}",0.8366531360093284,3,True,False
two_stage_rejector,Family B,probe_only,15,15,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.18103627252208473,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 19, '3': 8, '4': 11, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.84372912195381,4,True,False
