family,feature_variant,k,pass_count,population_harm_upper95,average_cost,net
targeted_missed_long,probe_only,5,90,0.023312410428213137,0.8290459004012634,1
targeted_missed_long,probe_only,10,90,0.023312410428213137,0.8328783870330924,1
targeted_missed_long,probe_only,15,89,0.036807182572575155,0.8482962664112258,0
targeted_missed_long,probe_only,20,86,0.07062223955314123,0.8565011363257434,-3
targeted_missed_long,probe_only,30,85,0.11078667439790986,0.8793506496232993,-4
targeted_missed_long,probe_only,40,85,0.12040306178247978,0.8930763892305091,-4
targeted_missed_long,probe_only,60,82,0.15781210308938584,0.9490576245735847,-7
targeted_missed_long,probe_trace_fused,5,88,0.036807182572575155,0.8333149269694374,-1
targeted_missed_long,probe_trace_fused,10,89,0.036807182572575155,0.8345603469784892,0
targeted_missed_long,probe_trace_fused,15,91,0.036807182572575155,0.8501658024427694,2
targeted_missed_long,probe_trace_fused,20,90,0.048741388070404686,0.8609088743004698,1
targeted_missed_long,probe_trace_fused,30,86,0.09111255728528607,0.888462640340055,-3
targeted_missed_long,probe_trace_fused,40,86,0.12990028751742105,0.921156657630519,-3
targeted_missed_long,probe_trace_fused,60,84,0.14859406646888756,0.9707912920669866,-5
two_stage_rejector,probe_only,5,90,0.023312410428213137,0.8290459004012634,1
two_stage_rejector,probe_only,10,90,0.023312410428213137,0.8366531360093284,1
two_stage_rejector,probe_only,15,90,0.023312410428213137,0.84372912195381,1
two_stage_rejector,probe_only,20,87,0.07062223955314123,0.8538278614983923,-2
two_stage_rejector,probe_only,30,84,0.10103176743831427,0.8645325419965098,-5
two_stage_rejector,probe_only,40,85,0.11078667439790986,0.8844474258119475,-4
two_stage_rejector,probe_only,60,82,0.15781210308938584,0.9485843863473897,-7
two_stage_rejector,probe_trace_fused,5,89,0.036807182572575155,0.8386310579930799,0
two_stage_rejector,probe_trace_fused,10,89,0.048741388070404686,0.8409277520946403,0
two_stage_rejector,probe_trace_fused,15,90,0.048741388070404686,0.8509718664499242,1
two_stage_rejector,probe_trace_fused,20,90,0.048741388070404686,0.860889769914582,1
two_stage_rejector,probe_trace_fused,30,89,0.08099335992741102,0.8930947506464798,0
two_stage_rejector,probe_trace_fused,40,86,0.12040306178247978,0.9153083066605435,-3
two_stage_rejector,probe_trace_fused,60,84,0.14859406646888756,0.9619195826785221,-5
oracle_win_distillation,probe_only,5,90,0.023312410428213137,0.8290459004012634,1
oracle_win_distillation,probe_only,10,90,0.023312410428213137,0.8366531360093284,1
oracle_win_distillation,probe_only,15,89,0.036807182572575155,0.8482962664112258,0
oracle_win_distillation,probe_only,20,88,0.05991819236365664,0.8504355310404665,-1
oracle_win_distillation,probe_only,30,85,0.09111255728528607,0.8667624083665698,-4
oracle_win_distillation,probe_only,40,86,0.11078667439790986,0.8830686486417824,-3
oracle_win_distillation,probe_only,60,82,0.15781210308938584,0.9501086881106506,-7
oracle_win_distillation,probe_trace_fused,5,90,0.036807182572575155,0.8441070199689249,1
oracle_win_distillation,probe_trace_fused,10,90,0.048741388070404686,0.8493739940234328,1
oracle_win_distillation,probe_trace_fused,15,90,0.048741388070404686,0.8549387678426075,1
oracle_win_distillation,probe_trace_fused,20,88,0.07062223955314123,0.861681541703425,-1
oracle_win_distillation,probe_trace_fused,30,87,0.10103176743831427,0.8963924454044785,-2
oracle_win_distillation,probe_trace_fused,40,87,0.11078667439790986,0.9229044441420651,-2
oracle_win_distillation,probe_trace_fused,60,84,0.14859406646888756,0.9581201463551847,-5
