family,feature_variant,target,C,grouped_cv_auc,selected_C
targeted_missed_long,probe_only,recoverable,0.1,0.6657594547261798,
targeted_missed_long,probe_only,recoverable,1.0,0.6643631372177782,
targeted_missed_long,probe_only,recoverable,10.0,0.6644814692100156,
targeted_missed_long,probe_only,,,,0.1
targeted_missed_long,probe_trace_fused,recoverable,0.1,0.697780091825626,
targeted_missed_long,probe_trace_fused,recoverable,1.0,0.7110332749562172,
targeted_missed_long,probe_trace_fused,recoverable,10.0,0.7120272636910115,
targeted_missed_long,probe_trace_fused,,,,10.0
two_stage_rejector,probe_only,recoverable,0.1,0.6657594547261798,
two_stage_rejector,probe_only,recoverable,1.0,0.6643631372177782,
two_stage_rejector,probe_only,recoverable,10.0,0.6644814692100156,
two_stage_rejector,probe_only,,,,0.1
two_stage_rejector,probe_trace_fused,recoverable,0.1,0.697780091825626,
two_stage_rejector,probe_trace_fused,recoverable,1.0,0.7110332749562172,
two_stage_rejector,probe_trace_fused,recoverable,10.0,0.7120272636910115,
two_stage_rejector,probe_trace_fused,,,,10.0
oracle_win_distillation,probe_only,recoverable,0.1,0.6657594547261798,
oracle_win_distillation,probe_only,recoverable,1.0,0.6643631372177782,
oracle_win_distillation,probe_only,recoverable,10.0,0.6644814692100156,
oracle_win_distillation,probe_only,oracle_win,0.1,0.6657594547261798,
oracle_win_distillation,probe_only,oracle_win,1.0,0.6643631372177782,
oracle_win_distillation,probe_only,oracle_win,10.0,0.6644814692100156,
oracle_win_distillation,probe_only,,,,0.1
oracle_win_distillation,probe_trace_fused,recoverable,0.1,0.697780091825626,
oracle_win_distillation,probe_trace_fused,recoverable,1.0,0.7110332749562172,
oracle_win_distillation,probe_trace_fused,recoverable,10.0,0.7120272636910115,
oracle_win_distillation,probe_trace_fused,oracle_win,0.1,0.697780091825626,
oracle_win_distillation,probe_trace_fused,oracle_win,1.0,0.7110332749562172,
oracle_win_distillation,probe_trace_fused,oracle_win,10.0,0.7120272636910115,
oracle_win_distillation,probe_trace_fused,,,,10.0
