task_id,stop_reason,baseline_top1_last,stop_reason_top1_median,baseline_top1_stop_residual,true_long,short_risk,missed_failed_long_precision_len32
SingleLineInfilling/HumanEval/0/L0,global_gap_early_commit,1.0,0.98828125,0.01171875,False,False,False
SingleLineInfilling/HumanEval/0/L1,global_gap_early_commit,1.0,0.98828125,0.01171875,False,False,False
SingleLineInfilling/HumanEval/0/L2,global_gap_early_commit,0.8828125,0.98828125,-0.10546875,False,True,False
SingleLineInfilling/HumanEval/0/L3,global_gap_early_commit,0.93359375,0.98828125,-0.0546875,False,False,False
SingleLineInfilling/HumanEval/0/L4,global_gap_early_commit,0.9140625,0.98828125,-0.07421875,False,True,False
SingleLineInfilling/HumanEval/0/L5,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/0/L7,global_gap_early_commit,0.99609375,0.98828125,0.0078125,False,True,False
SingleLineInfilling/HumanEval/1/L0,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L1,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L10,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L12,global_gap_early_commit,0.99609375,0.98828125,0.0078125,False,False,False
SingleLineInfilling/HumanEval/1/L13,global_gap_early_commit,1.0,0.98828125,0.01171875,False,False,False
SingleLineInfilling/HumanEval/1/L14,global_gap_early_commit,0.92578125,0.98828125,-0.0625,False,True,False
SingleLineInfilling/HumanEval/1/L16,global_gap_early_commit,0.30078125,0.98828125,-0.6875,False,True,False
SingleLineInfilling/HumanEval/1/L2,global_gap_early_commit,0.9921875,0.98828125,0.00390625,False,True,False
SingleLineInfilling/HumanEval/1/L4,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L5,global_gap_early_commit,0.99609375,0.98828125,0.0078125,False,True,False
SingleLineInfilling/HumanEval/1/L6,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L7,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L8,global_gap_early_commit,0.9765625,0.98828125,-0.01171875,False,True,False
SingleLineInfilling/HumanEval/1/L9,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/10/L0,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/10/L1,global_gap_early_commit,0.8125,0.98828125,-0.17578125,False,True,False
SingleLineInfilling/HumanEval/10/L3,global_gap_early_commit,0.98046875,0.98828125,-0.0078125,False,True,False
SingleLineInfilling/HumanEval/10/L5,global_gap_early_commit,0.99609375,0.98828125,0.0078125,True,False,True
SingleLineInfilling/HumanEval/10/L6,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/10/L8,no_remaining_masks,0.4296875,0.234375,0.1953125,False,False,False
SingleLineInfilling/HumanEval/100/L0,no_remaining_masks,0.1494140625,0.234375,-0.0849609375,False,False,False
SingleLineInfilling/HumanEval/101/L0,global_gap_early_commit,0.97265625,0.98828125,-0.015625,False,True,False
SingleLineInfilling/HumanEval/101/L1,global_gap_early_commit,0.88671875,0.98828125,-0.1015625,False,True,False
SingleLineInfilling/HumanEval/101/L11,global_gap_early_commit,0.9375,0.98828125,-0.05078125,False,False,False
SingleLineInfilling/HumanEval/101/L12,global_gap_early_commit,0.921875,0.98828125,-0.06640625,False,True,False
SingleLineInfilling/HumanEval/101/L3,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/101/L5,global_gap_early_commit,1.0,0.98828125,0.01171875,False,True,False
SingleLineInfilling/HumanEval/101/L6,global_gap_early_commit,0.83984375,0.98828125,-0.1484375,False,True,False
SingleLineInfilling/HumanEval/101/L7,global_gap_early_commit,0.97265625,0.98828125,-0.015625,False,True,False
SingleLineInfilling/HumanEval/101/L8,global_gap_early_commit,0.90234375,0.98828125,-0.0859375,False,True,False
SingleLineInfilling/HumanEval/101/L9,global_gap_early_commit,0.99609375,0.98828125,0.0078125,False,True,False
SingleLineInfilling/HumanEval/102/L0,global_gap_early_commit,0.8359375,0.98828125,-0.15234375,False,True,False
