task_id,oracle_length,oracle_bucket,true_long,short_risk,current_pass_risk,baseline_passed,baseline_failed_long,fold5,baseline_selected_len,baseline_best_len,baseline_best_long_len,baseline_best_score,baseline_best_long_score,baseline_long_ratio,baseline_raw_long_ratio,baseline_base_selected_length,baseline_final_selected_length,baseline_mean_top1_final,baseline_mean_gap_final,baseline_remaining_mask_ratio_final,baseline_best_long_minus_selected,baseline_selected_below_best_long,baseline_best_long_score_gap,baseline_long_ratio_gap_to_one,baseline_trace_steps,baseline_remaining_first,baseline_remaining_last,baseline_remaining_min,baseline_remaining_max,baseline_remaining_median,baseline_remaining_slope,baseline_remaining_late_slope,baseline_remaining_auc_norm,baseline_remaining_equal_transition_frac,baseline_late_remaining_plateau_steps,baseline_max_remaining_plateau_steps,baseline_last_remaining_decrease_step,baseline_confidence_first,baseline_confidence_last,baseline_confidence_min,baseline_confidence_max,baseline_confidence_median,baseline_confidence_slope,baseline_confidence_late_slope,baseline_gap_last,baseline_gap_min,baseline_gap_median,baseline_top1_last,baseline_top1_min,baseline_top1_median,baseline_final_remaining_ratio_by_selected,baseline_stop_reason,precision_len32_triggered,precision_len32_selected_len,precision_len32_primary_selected_len,precision_len32_rescue_len,precision_len32_final_source,precision_len32_primary_stop_reason,precision_len32_trace_top1_last,precision_len32_trace_top1_median,precision_len32_trace_confidence_max,precision_len32_trace_max_remaining_plateau_steps,precision_len32_combined_total_sec_including_probe,precision_len32_passed,precision_len32_pairwise,precision_len32_win,precision_len32_loss,missed_failed_long_precision_len32,triggered_rescue_failure_precision_len32,rescued_long_precision_len32,precision_len24_triggered,precision_len24_selected_len,precision_len24_primary_selected_len,precision_len24_rescue_len,precision_len24_final_source,precision_len24_primary_stop_reason,precision_len24_trace_top1_last,precision_len24_trace_top1_median,precision_len24_trace_confidence_max,precision_len24_trace_max_remaining_plateau_steps,precision_len24_combined_total_sec_including_probe,precision_len24_passed,precision_len24_pairwise,precision_len24_win,precision_len24_loss,missed_failed_long_precision_len24,triggered_rescue_failure_precision_len24,rescued_long_precision_len24,broad_len24_triggered,broad_len24_selected_len,broad_len24_primary_selected_len,broad_len24_rescue_len,broad_len24_final_source,broad_len24_primary_stop_reason,broad_len24_trace_top1_last,broad_len24_trace_top1_median,broad_len24_trace_confidence_max,broad_len24_trace_max_remaining_plateau_steps,broad_len24_combined_total_sec_including_probe,broad_len24_passed,broad_len24_pairwise,broad_len24_win,broad_len24_loss,missed_failed_long_broad_len24,triggered_rescue_failure_broad_len24,rescued_long_broad_len24
SingleLineInfilling/HumanEval/0/L0,11,9-12,False,False,True,True,False,2,11,11.0,16.0,1.154738274773439,0.8811312434884386,0.7630571037071735,0.74609375,11.0,11.0,1.0,1.0,0.36363636363636365,5.0,True,0.2736070312850003,0.2369428962928265,40,11.0,4.0,4.0,11.0,7.5,-0.1794871794871795,-0.3333333333333333,0.6795454545454546,0.8205128205128205,2,5,37,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,global_gap_early_commit,False,11,11,,primary,global_gap_early_commit,1.0,1.0,1.0,5.0,5.059807674027979,True,tie_pass,False,False,False,False,False,False,11,11,,primary,global_gap_early_commit,1.0,1.0,1.0,5.0,6.446741337887943,True,tie_pass,False,False,False,False,False,False,11,11,,primary,global_gap_early_commit,1.0,1.0,1.0,5.0,3.628710549324751,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L1,13,13-16,False,False,True,True,False,4,13,13.0,13.0,1.1663706994382568,1.1663706994382568,1.0,1.0,13.0,13.0,1.0,1.0,0.3076923076923077,0.0,False,0.0,0.0,42,13.0,4.0,4.0,13.0,9.0,-0.21951219512195122,-0.3333333333333333,0.6648351648351648,0.7804878048780488,2,4,41,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,global_gap_early_commit,False,13,13,,primary,global_gap_early_commit,1.0,1.0,1.0,4.0,4.822907729074359,True,tie_pass,False,False,False,False,False,False,13,13,,primary,global_gap_early_commit,1.0,1.0,1.0,4.0,6.018723310902715,True,tie_pass,False,False,False,False,False,False,13,13,,primary,global_gap_early_commit,1.0,1.0,1.0,4.0,3.4854348553344607,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L2,8,<=8,False,True,True,True,False,2,8,4.0,13.0,1.086734862526058,0.8337728046765663,0.7672274382902425,0.71484375,4.0,8.0,0.859375,0.7421875,0.5,5.0,True,0.25296205784949166,0.23277256170975746,28,8.0,4.0,4.0,8.0,6.0,-0.14814814814814814,-0.3333333333333333,0.7767857142857143,0.8518518518518519,2,8,27,0.9296875,0.92578125,0.92578125,0.9296875,0.9296875,-0.00014467592592592592,0.0,0.78125,0.78125,0.828125,0.8828125,0.8828125,0.90625,0.5,global_gap_early_commit,False,8,8,,primary,global_gap_early_commit,0.8828125,0.90625,0.9296875,8.0,3.827001261524856,True,tie_pass,False,False,False,False,False,False,8,8,,primary,global_gap_early_commit,0.8828125,0.90625,0.9296875,8.0,4.845537913963199,True,tie_pass,False,False,False,False,False,False,8,8,,primary,global_gap_early_commit,0.8828125,0.90625,0.9296875,8.0,2.774995448999107,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L3,10,9-12,False,False,True,True,False,0,10,10.0,13.0,1.1122738208251053,0.6378589762552966,0.5734729742916371,0.5645161290322581,10.0,10.0,0.88671875,0.77734375,0.3,3.0,True,0.47441484456980865,0.4265270257083629,42,10.0,3.0,3.0,10.0,7.0,-0.17073170731707318,-0.3333333333333333,0.6666666666666666,0.8292682926829268,2,6,41,0.96875,0.97265625,0.96875,0.9765625,0.97265625,9.527439024390244e-05,0.0,0.8671875,0.8671875,0.92578125,0.93359375,0.93359375,0.95703125,0.3,global_gap_early_commit,False,10,10,,primary,global_gap_early_commit,0.93359375,0.95703125,0.9765625,6.0,4.938515578396618,True,tie_pass,False,False,False,False,False,False,10,10,,primary,global_gap_early_commit,0.93359375,0.95703125,0.9765625,6.0,6.1651107128709555,True,tie_pass,False,False,False,False,False,False,10,10,,primary,global_gap_early_commit,0.93359375,0.95703125,0.9765625,6.0,3.5314773907884955,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L4,7,<=8,False,True,True,True,False,0,8,8.0,13.0,1.0532279871109378,0.48978457105317424,0.46503186114212575,0.45168067226890757,8.0,8.0,0.8828125,0.765625,0.5,5.0,True,0.5634434160577635,0.5349681388578742,28,8.0,4.0,4.0,8.0,6.0,-0.14814814814814814,-0.3333333333333333,0.7767857142857143,0.8518518518518519,2,8,27,0.9296875,0.9453125,0.92578125,0.9453125,0.93359375,0.0005787037037037037,0.0,0.82421875,0.82421875,0.828125,0.9140625,0.9140625,0.9140625,0.5,global_gap_early_commit,False,8,8,,primary,global_gap_early_commit,0.9140625,0.9140625,0.9453125,8.0,3.8553651943802834,True,tie_pass,False,False,False,False,False,False,8,8,,primary,global_gap_early_commit,0.9140625,0.9140625,0.9453125,8.0,4.731932410039008,True,tie_pass,False,False,False,False,False,False,8,8,,primary,global_gap_early_commit,0.9140625,0.9140625,0.9453125,8.0,2.7867043213918805,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L5,4,<=8,False,True,True,True,False,3,4,4.0,13.0,1.086734862526058,0.43055480897232523,0.3961912181334859,0.369140625,4.0,4.0,1.0,1.0,0.5,9.0,True,0.6561800535537328,0.6038087818665141,28,4.0,2.0,2.0,4.0,3.0,-0.07407407407407407,0.0,0.7767857142857143,0.9259259259259259,3,14,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,global_gap_early_commit,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,4.415206337347627,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,5.650665275752544,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,3.1846421537920833,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/0/L7,4,<=8,False,True,True,True,False,2,3,3.0,13.0,1.0305860587110391,0.4761161644191322,0.46198583844090985,0.4230769230769231,3.0,3.0,1.0,1.0,0.3333333333333333,10.0,True,0.554469894291907,0.5380141615590901,33,3.0,1.0,1.0,3.0,2.0,-0.0625,-0.3333333333333333,0.7575757575757576,0.9375,2,21,32,0.96484375,0.99609375,0.96484375,0.99609375,0.99609375,0.0009765625,0.0,0.9921875,0.95703125,0.9921875,0.99609375,0.96484375,0.99609375,0.3333333333333333,global_gap_early_commit,False,3,3,,primary,global_gap_early_commit,0.99609375,0.99609375,0.99609375,21.0,4.14379043225199,True,tie_pass,False,False,False,False,False,False,3,3,,primary,global_gap_early_commit,0.99609375,0.99609375,0.99609375,21.0,5.277765106409788,True,tie_pass,False,False,False,False,False,False,3,3,,primary,global_gap_early_commit,0.99609375,0.99609375,0.99609375,21.0,3.0240127984434366,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/1/L0,5,<=8,False,True,True,True,False,4,9,9.0,16.0,1.1141780386862825,0.8396119702350567,0.753570741014637,0.7109375,9.0,9.0,0.99609375,0.99609375,0.3333333333333333,7.0,True,0.2745660684512258,0.24642925898536305,40,9.0,3.0,3.0,9.0,6.0,-0.15384615384615385,-0.3333333333333333,0.6777777777777778,0.8461538461538461,2,7,39,0.9765625,1.0,0.96875,1.0,0.98828125,0.0006009615384615385,0.0,0.99609375,0.9375,0.9765625,1.0,0.9609375,0.984375,0.3333333333333333,global_gap_early_commit,False,9,9,,primary,global_gap_early_commit,1.0,0.984375,1.0,7.0,5.7642655512318015,True,tie_pass,False,False,False,False,False,False,9,9,,primary,global_gap_early_commit,1.0,0.984375,1.0,7.0,7.117675559595227,True,tie_pass,False,False,False,False,False,False,9,9,,primary,global_gap_early_commit,1.0,0.984375,1.0,7.0,4.177079095505178,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/1/L1,6,<=8,False,True,True,True,False,2,6,6.0,15.0,1.1134970608520351,0.7674356704808575,0.6892121205004569,0.65234375,6.0,6.0,1.0,1.0,0.5,9.0,True,0.34606139037117767,0.3107878794995431,28,6.0,3.0,3.0,6.0,5.0,-0.1111111111111111,-0.3333333333333333,0.7738095238095238,0.8888888888888888,2,10,26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,global_gap_early_commit,False,6,6,,primary,global_gap_early_commit,1.0,1.0,1.0,10.0,5.070032009854913,True,tie_pass,False,False,False,False,False,False,6,6,,primary,global_gap_early_commit,1.0,1.0,1.0,10.0,6.403927009552717,True,tie_pass,False,False,False,False,False,False,6,6,,primary,global_gap_early_commit,1.0,1.0,1.0,10.0,3.6214831434190273,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/1/L10,7,<=8,False,True,True,True,False,4,6,6.0,15.0,1.1047978650641286,0.845557864481903,0.7653507408188394,0.7244094488188977,6.0,6.0,1.0,1.0,0.5,9.0,True,0.2592400005822256,0.23464925918116064,28,6.0,3.0,3.0,6.0,5.0,-0.1111111111111111,-0.3333333333333333,0.7738095238095238,0.8888888888888888,2,10,26,0.9921875,1.0,0.9921875,1.0,0.99609375,0.00028935185185185184,0.0,1.0,0.98828125,0.9921875,1.0,0.9921875,0.9921875,0.5,global_gap_early_commit,False,6,6,,primary,global_gap_early_commit,1.0,0.9921875,1.0,10.0,5.002909041009843,True,tie_pass,False,False,False,False,False,False,6,6,,primary,global_gap_early_commit,1.0,0.9921875,1.0,10.0,4.869412214495242,True,tie_pass,False,False,False,False,False,False,6,6,,primary,global_gap_early_commit,1.0,0.9921875,1.0,10.0,3.6278679873794317,True,tie_pass,False,False,False,False,False
