aligned_transitions,baseline_raw_tv,baseline_reference_nll,baseline_reference_rank,baseline_top1_agreement,cluster_tv_improvement,cluster_tv_improvement_ci95_high,cluster_tv_improvement_ci95_low,corrupted_count,head,head_raw_tv,head_reference_nll,head_reference_rank,head_top1_agreement,mismatch_recovery,mismatch_transitions,phase,problem_groups,recovered_count,relative_raw_tv_improvement,stable_corruption,stable_transitions,stage,top_p_support_enter_count_mean,top_p_support_exit_count_mean,transitions
4168,0.06173977123922625,0.18659980961786593,,0.9689562087582484,0.018955337317237884,0.02086075252849683,0.017159016293676846,25,tv,0.04178910798032392,0.17153335879685105,,0.9749550089982003,0.3140096618357488,207,validation,3705,65,0.32314119178703266,0.0038693700665531653,6461,early,,,6668
1715,0.061695920110386916,0.08351606358122352,,0.9681968196819682,0.01807712280094214,0.02021367840768045,0.015965131687689597,26,tv,0.0423992858970135,0.071347814314348,,0.9747974797479748,0.330188679245283,212,validation,1709,70,0.3127700207541714,0.004028509451502944,6454,middle,,,6666
988,0.05889258465767912,0.0892973483949221,,0.9675967596759676,0.015760089248609454,0.0181346520122293,0.013450808521740016,36,tv,0.041827038800566256,0.07558340576051632,,0.9728472847284728,0.3287037037037037,216,validation,527,71,0.2897741023986057,0.005581395348837209,6450,late,,,6666
4168,0.06173977123922625,0.18659980961786593,,0.9689562087582484,0.019061531487299093,0.020954752981470866,0.0172690459563213,22,kl,0.04204552191314255,0.17020212581394106,,0.9752549490101979,0.30917874396135264,207,validation,3705,64,0.31898805147452497,0.0034050456585667855,6461,early,,,6668
1715,0.061695920110386916,0.08351606358122352,,0.9681968196819682,0.018108589396333887,0.020259215348220446,0.015995476132656603,29,kl,0.042155346600398096,0.07050443335278504,,0.9752475247524752,0.3584905660377358,212,validation,1709,76,0.316723917481523,0.004493337465137899,6454,middle,,,6666
988,0.05889258465767912,0.0892973483949221,,0.9675967596759676,0.016137894447920884,0.018478151126201704,0.013872939507466773,36,kl,0.04133280873183076,0.07448455189143333,,0.9723972397239724,0.3148148148148148,216,validation,527,68,0.29816616179977257,0.005581395348837209,6450,late,,,6666
4200,0.061587490158713266,0.1714224050461978,1.3747619047619049,0.9695560887822435,0.018459898706664306,0.020280894437389996,0.016695884123977742,34,tv,0.04291167618153492,0.15682262991622786,1.325952380952381,0.9763047390521895,0.3891625615763547,203,external_test,3680,79,0.30324038094506,0.005259087393658159,6465,early,0.015146970605878824,0.028494301139772044,6668
1854,0.05907906994095816,0.09994168757871542,1.070118662351672,0.9684968496849685,0.017562534454202382,0.01989466471537643,0.015356188308922962,28,tv,0.04096885295979102,0.08500711475124521,1.0663430420711975,0.9755475547554755,0.35714285714285715,210,external_test,1719,75,0.3065420122433536,0.004337050805452293,6456,middle,0.0177017701770177,0.022802280228022803,6666
1222,0.05952933494388791,0.06745642165562742,1.0286415711947627,0.96999699969997,0.01825992655640997,0.02292738186289336,0.014121772740351821,27,tv,0.04404199242205261,0.0532060660803468,1.0261865793780687,0.975997599759976,0.335,200,external_test,519,67,0.26016320418216665,0.004175688215279926,6466,late,0.0174017401740174,0.023552355235523553,6666
4200,0.061587490158713266,0.1714224050461978,1.3747619047619049,0.9695560887822435,0.01890331303786215,0.020725014555669247,0.017160002719914833,29,kl,0.04243808638077375,0.15544849615341333,1.3345238095238094,0.9767546490701859,0.3793103448275862,203,external_test,3680,77,0.3109300887013058,0.00448569218870843,6465,early,0.015446910617876425,0.026844631073785243,6668
1854,0.05907906994095816,0.09994168757871542,1.070118662351672,0.9684968496849685,0.01843917475506665,0.020718180992503197,0.0162822871005436,26,kl,0.04034646644876451,0.08413093785226891,1.063646170442287,0.9758475847584759,0.35714285714285715,210,external_test,1719,75,0.3170768177446674,0.0040272614622057,6456,middle,0.01845184518451845,0.024902490249024904,6666
1222,0.05952933494388791,0.06745642165562742,1.0286415711947627,0.96999699969997,0.019024991395558098,0.022992213983168207,0.015452163343263603,18,kl,0.04318208605405021,0.05472481710717557,1.0270049099836334,0.9770477047704771,0.325,200,external_test,519,65,0.2746082902697728,0.0027837921435199505,6466,late,0.016351635163516353,0.024452445244524453,6666
