diagnostic_name_zh,variant,record_scope,offset,reference_subset,final_verdict,generation_stage,cases,fresh_available_count,fresh_global_rank_ci95_high,fresh_global_rank_ci95_low,fresh_global_rank_metric_task_group_count,fresh_global_rank_metric_transition_count,fresh_global_rank_task_group_macro,fresh_global_rank_transition_micro,fresh_in_top2_ci95_high,fresh_in_top2_ci95_low,fresh_in_top2_metric_task_group_count,fresh_in_top2_metric_transition_count,fresh_in_top2_task_group_macro,fresh_in_top2_transition_micro,fresh_in_top4_ci95_high,fresh_in_top4_ci95_low,fresh_in_top4_metric_task_group_count,fresh_in_top4_metric_transition_count,fresh_in_top4_task_group_macro,fresh_in_top4_transition_micro,global_rank_improvement_ci95_high,global_rank_improvement_ci95_low,global_rank_improvement_metric_task_group_count,global_rank_improvement_metric_transition_count,global_rank_improvement_task_group_macro,global_rank_improvement_transition_micro,normal_steps,outside_to_top2_ci95_high,outside_to_top2_ci95_low,outside_to_top2_metric_task_group_count,outside_to_top2_metric_transition_count,outside_to_top2_task_group_macro,outside_to_top2_transition_micro,outside_to_top4_ci95_high,outside_to_top4_ci95_low,outside_to_top4_metric_task_group_count,outside_to_top4_metric_transition_count,outside_to_top4_task_group_macro,outside_to_top4_transition_micro,right_neighbor_count,right_neighbor_still_mask_ci95_high,right_neighbor_still_mask_ci95_low,right_neighbor_still_mask_metric_task_group_count,right_neighbor_still_mask_metric_transition_count,right_neighbor_still_mask_task_group_macro,right_neighbor_still_mask_transition_micro,source_right_neighbor_in_top2_ci95_high,source_right_neighbor_in_top2_ci95_low,source_right_neighbor_in_top2_metric_task_group_count,source_right_neighbor_in_top2_metric_transition_count,source_right_neighbor_in_top2_task_group_macro,source_right_neighbor_in_top2_transition_micro,source_right_neighbor_in_top4_ci95_high,source_right_neighbor_in_top4_ci95_low,source_right_neighbor_in_top4_metric_task_group_count,source_right_neighbor_in_top4_metric_transition_count,source_right_neighbor_in_top4_task_group_macro,source_right_neighbor_in_top4_transition_micro,source_top2_with_fresh_count,source_top4_with_fresh_count,stale_global_rank_ci95_high,stale_global_rank_ci95_low,stale_global_rank_metric_task_group_count,stale_global_rank_metric_transition_count,stale_global_rank_task_group_macro,stale_global_rank_transition_micro,stale_in_top2_ci95_high,stale_in_top2_ci95_low,stale_in_top2_metric_task_group_count,stale_in_top2_metric_transition_count,stale_in_top2_task_group_macro,stale_in_top2_transition_micro,stale_in_top4_ci95_high,stale_in_top4_ci95_low,stale_in_top4_metric_task_group_count,stale_in_top4_metric_transition_count,stale_in_top4_task_group_macro,stale_in_top4_transition_micro,task_groups,top2_retained_ci95_high,top2_retained_ci95_low,top2_retained_metric_task_group_count,top2_retained_metric_transition_count,top2_retained_task_group_macro,top2_retained_transition_micro,top4_retained_ci95_high,top4_retained_ci95_low,top4_retained_metric_task_group_count,top4_retained_metric_transition_count,top4_retained_task_group_macro,top4_retained_transition_micro,transitions
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,all,all,1012,,5.146114456634709,3.259554319835467,164,5392,4.167172138754948,2.4970326409495547,0.9532764877087044,0.9040132371115347,164,5392,0.9303819528148091,0.9725519287833828,0.9534365153254332,0.9030778765607848,164,5392,0.9305383005321325,0.9727373887240356,2.2210235390050004,0.739204149914891,164,5392,1.4602293941941997,1.2156899109792285,,0.03976548761266608,0.015942609590990975,164,5392,0.026844606699411203,0.015207715133531157,0.04022898987195703,0.015975493067973363,164,5392,0.027000954416734526,0.015393175074183977,,,,,,,,,,,,,,,,,,,,,,6.727153689354689,4.662380334140419,164,5392,5.627401532949147,3.7127225519287834,0.9452295477116476,0.8950720358824258,164,5392,0.9215210320899666,0.9681008902077152,0.9448587738887672,0.8946595340072537,164,5392,0.9215210320899666,0.9681008902077152,164,0.9290970684788232,0.8736486216024868,164,5392,0.9035373461153977,0.9573442136498517,0.9291079018096634,0.87328136296442,164,5392,0.9035373461153977,0.9573442136498517,5392
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,all,early,1012,,5.142276118183012,3.255755632139348,164,5324,4.163359398554625,2.5097670924117206,0.9535008200899735,0.9043509643595679,164,5324,0.9306824855895868,0.9725770097670924,0.953588130300686,0.9031387392589303,164,5324,0.9306824855895868,0.9725770097670924,2.223310200113218,0.7403807965894126,164,5324,1.461239555258304,1.2184447783621337,,0.039828675918997906,0.016006255282508857,164,5324,0.02691093069937319,0.015401953418482344,0.0401526303991724,0.01589387646809188,164,5324,0.02691093069937319,0.015401953418482344,,,,,,,,,,,,,,,,,,,,,,6.72577683857373,4.659905256374391,164,5324,5.624598953812929,3.7282118707738543,0.9455280044707985,0.8953365719516269,164,5324,0.9217996544083991,0.968069120961683,0.9451575825942891,0.8949332817029544,164,5324,0.9217996544083991,0.968069120961683,164,0.9294639438220074,0.8738876399790495,164,5324,0.9037715548902138,0.9571750563486101,0.9293439267932195,0.8735375481589924,164,5324,0.9037715548902138,0.9571750563486101,5324
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,all,middle,9,,2.3285714285714283,1.0,7,63,1.4428571428571428,1.492063492063492,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,1.0,7,63,1.0,1.0,,0.0,0.0,7,63,0.0,0.0,0.0,0.0,7,63,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.3285714285714283,2.0,7,63,2.442857142857143,2.492063492063492,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,7,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,63
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,all,late,2,,2.5,1.0,2,5,1.75,1.6,1.0,0.5,2,5,0.75,0.8,1.0,1.0,2,5,1.0,1.0,1.0,1.0,2,5,1.0,1.0,,0.0,0.0,2,5,0.0,0.0,0.5,0.0,2,5,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,2,5,2.75,2.6,1.0,0.5,2,5,0.75,0.8,1.0,0.5,2,5,0.75,0.8,2,1.0,0.5,2,5,0.75,0.8,1.0,0.5,2,5,0.75,0.8,5
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,pass,all,933,,4.38866566294831,2.8174547958117997,151,5096,3.568138074769708,2.286891679748823,0.966546194076945,0.9301651262991295,151,5096,0.9497354487807779,0.9770408163265306,0.9662061992142545,0.9296420580483346,151,5096,0.9499144357147318,0.9772370486656201,1.8610991817204463,0.45539153261483023,151,5096,1.130483611003701,1.1240188383045526,,0.029297733213934616,0.009997131874694327,151,5096,0.018459786295467292,0.01216640502354788,0.029703156630540472,0.010215835796256513,151,5096,0.018638773229421115,0.012362637362637362,,,,,,,,,,,,,,,,,,,,,,5.608841731316229,3.915583027854124,151,5096,4.698621685773409,3.410910518053375,0.9636111322780143,0.9243275767093535,151,5096,0.945731455748012,0.9742935635792779,0.9631433768735536,0.9245728582575042,151,5096,0.945731455748012,0.9742935635792779,151,0.9499752788523605,0.9098845602908794,151,5096,0.9312756624853105,0.9648744113029827,0.9495292852490808,0.9094556995654666,151,5096,0.9312756624853105,0.9648744113029827,5096
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,pass,early,933,,4.38643421504462,2.8108339849739132,151,5028,3.5641520762965326,2.2975338106603025,0.9668272794874593,0.9305452629924725,151,5028,0.9500678870322637,0.9771280827366746,0.9664524396679229,0.9297823765610264,151,5028,0.9500678870322637,0.9771280827366746,1.8636486010546227,0.4554267460924485,151,5028,1.1312918120947135,1.1256961018297533,,0.029385866596048398,0.010060360543633405,151,5028,0.018529312827431543,0.012330946698488464,0.029601573873692406,0.010123184371740963,151,5028,0.018529312827431543,0.012330946698488464,,,,,,,,,,,,,,,,,,,,,,5.603972020554452,3.913081068671677,151,5028,4.695443888391245,3.4232299124900556,0.9639658465667763,0.9246899986698731,151,5028,0.9460457517167282,0.9743436754176611,0.9635665810811308,0.9248290656137853,151,5028,0.9460457517167282,0.9743436754176611,151,0.950245958379831,0.9101663229941579,151,5028,0.9315385742048323,0.9647971360381862,0.9499106061262426,0.9097576524278324,151,5028,0.9315385742048323,0.9647971360381862,5028
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,pass,middle,9,,2.3285714285714283,1.0,7,63,1.4428571428571428,1.492063492063492,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,1.0,7,63,1.0,1.0,,0.0,0.0,7,63,0.0,0.0,0.0,0.0,7,63,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.3285714285714283,2.0,7,63,2.442857142857143,2.492063492063492,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,7,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,1.0,0.9571428571428572,7,63,0.9857142857142858,0.9841269841269841,63
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,pass,late,2,,2.5,1.0,2,5,1.75,1.6,1.0,0.5,2,5,0.75,0.8,1.0,1.0,2,5,1.0,1.0,1.0,1.0,2,5,1.0,1.0,,0.0,0.0,2,5,0.0,0.0,0.5,0.0,2,5,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,2,5,2.75,2.6,1.0,0.5,2,5,0.75,0.8,1.0,0.5,2,5,0.75,0.8,2,1.0,0.5,2,5,0.75,0.8,1.0,0.5,2,5,0.75,0.8,5
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,fail,all,79,,11.0381830692332,5.83197619047619,55,296,8.324650343714515,6.114864864864865,0.891588974157156,0.7595505661896034,55,296,0.8309000773439276,0.8952702702702703,0.8942908002573777,0.7597221710998449,55,296,0.8309000773439276,0.8952702702702703,4.109884890955746,-0.3917962076544962,55,296,1.9037305920461,2.793918918918919,,0.09010137085137085,0.03162999745352687,55,296,0.05883626177743825,0.06756756756756757,0.08989533995416348,0.0312550505050505,55,296,0.05883626177743825,0.06756756756756757,,,,,,,,,,,,,,,,,,,,,,13.133212302551875,7.66027282565919,55,296,10.228380935760617,8.908783783783784,0.8807309073873244,0.7490835584498685,55,296,0.8189541474568213,0.8614864864864865,0.878695886852304,0.7495084650940266,55,296,0.8189541474568213,0.8614864864864865,55,0.8397352867720514,0.6993643192814314,55,296,0.7720638155664893,0.8277027027027027,0.8378078133987223,0.6970839931013727,55,296,0.7720638155664893,0.8277027027027027,296
全局置信度逐词刷新诊断,C1,stable_target_global_rank,1,reference_prefix_aligned,fail,early,79,,11.0381830692332,5.83197619047619,55,296,8.324650343714515,6.114864864864865,0.891588974157156,0.7595505661896034,55,296,0.8309000773439276,0.8952702702702703,0.8942908002573777,0.7597221710998449,55,296,0.8309000773439276,0.8952702702702703,4.109884890955746,-0.3917962076544962,55,296,1.9037305920461,2.793918918918919,,0.09010137085137085,0.03162999745352687,55,296,0.05883626177743825,0.06756756756756757,0.08989533995416348,0.0312550505050505,55,296,0.05883626177743825,0.06756756756756757,,,,,,,,,,,,,,,,,,,,,,13.133212302551875,7.66027282565919,55,296,10.228380935760617,8.908783783783784,0.8807309073873244,0.7490835584498685,55,296,0.8189541474568213,0.8614864864864865,0.878695886852304,0.7495084650940266,55,296,0.8189541474568213,0.8614864864864865,55,0.8397352867720514,0.6993643192814314,55,296,0.7720638155664893,0.8277027027027027,0.8378078133987223,0.6970839931013727,55,296,0.7720638155664893,0.8277027027027027,296
