diagnostic_name_zh,variant,record_scope,offset,reference_subset,final_verdict,generation_stage,actual_correct_to_wrong_ci95_high,actual_correct_to_wrong_ci95_low,actual_correct_to_wrong_count,actual_correct_to_wrong_metric_task_group_count,actual_correct_to_wrong_metric_transition_count,actual_correct_to_wrong_task_group_macro,actual_correct_to_wrong_transition_micro,actual_fresh_reference_retained_in_top_p_ci95_high,actual_fresh_reference_retained_in_top_p_ci95_low,actual_fresh_reference_retained_in_top_p_metric_task_group_count,actual_fresh_reference_retained_in_top_p_metric_transition_count,actual_fresh_reference_retained_in_top_p_task_group_macro,actual_fresh_reference_retained_in_top_p_transition_micro,actual_logprob_both_truncated_count,actual_logprob_negative_infinity_count,actual_logprob_positive_infinity_count,actual_reference_log_probability_delta_ci95_high,actual_reference_log_probability_delta_ci95_low,actual_reference_log_probability_delta_metric_task_group_count,actual_reference_log_probability_delta_metric_transition_count,actual_reference_log_probability_delta_task_group_macro,actual_reference_log_probability_delta_transition_micro,actual_reference_rank_improvement_ci95_high,actual_reference_rank_improvement_ci95_low,actual_reference_rank_improvement_metric_task_group_count,actual_reference_rank_improvement_metric_transition_count,actual_reference_rank_improvement_task_group_macro,actual_reference_rank_improvement_transition_micro,actual_stale_reference_retained_in_top_p_ci95_high,actual_stale_reference_retained_in_top_p_ci95_low,actual_stale_reference_retained_in_top_p_metric_task_group_count,actual_stale_reference_retained_in_top_p_metric_transition_count,actual_stale_reference_retained_in_top_p_task_group_macro,actual_stale_reference_retained_in_top_p_transition_micro,actual_wrong_to_correct_ci95_high,actual_wrong_to_correct_ci95_low,actual_wrong_to_correct_count,actual_wrong_to_correct_metric_task_group_count,actual_wrong_to_correct_metric_transition_count,actual_wrong_to_correct_task_group_macro,actual_wrong_to_correct_transition_micro,cases,raw_correct_to_wrong_ci95_high,raw_correct_to_wrong_ci95_low,raw_correct_to_wrong_count,raw_correct_to_wrong_metric_task_group_count,raw_correct_to_wrong_metric_transition_count,raw_correct_to_wrong_task_group_macro,raw_correct_to_wrong_transition_micro,raw_reference_log_probability_delta_ci95_high,raw_reference_log_probability_delta_ci95_low,raw_reference_log_probability_delta_metric_task_group_count,raw_reference_log_probability_delta_metric_transition_count,raw_reference_log_probability_delta_task_group_macro,raw_reference_log_probability_delta_transition_micro,raw_reference_rank_improvement_ci95_high,raw_reference_rank_improvement_ci95_low,raw_reference_rank_improvement_metric_task_group_count,raw_reference_rank_improvement_metric_transition_count,raw_reference_rank_improvement_task_group_macro,raw_reference_rank_improvement_transition_micro,raw_wrong_to_correct_ci95_high,raw_wrong_to_correct_ci95_low,raw_wrong_to_correct_count,raw_wrong_to_correct_metric_task_group_count,raw_wrong_to_correct_metric_transition_count,raw_wrong_to_correct_task_group_macro,raw_wrong_to_correct_transition_micro,task_groups,transitions
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,all,all,0.014221006323699376,0.004125415259564516,27,164,5392,0.008497247959850027,0.005007418397626113,0.9068097045266768,0.8473946456191414,164,5392,0.8790252996615839,0.9543768545994066,228,18,62,0.038695605611751005,-0.0011108904540689574,160,5084,0.016641334861998952,0.0040086476845970125,0.04704808547814115,0.0062881159181794296,164,5392,0.02527431990287931,0.01094213649851632,0.8907829240705916,0.832559151935377,164,5392,0.863240171823814,0.9462166172106825,0.03895578149410173,0.014067740810803994,72,164,5392,0.025227137174222952,0.013353115727002967,1012,0.014717957652027,0.00464385826201218,30,164,5392,0.009018012200126463,0.00556379821958457,0.09655717859405061,0.04021759632030691,164,5392,0.0676260892994453,0.04943250247915704,0.7713331307741961,-3.1308718441287,164,5392,-0.6836585533424546,0.04747774480712166,0.037310234221381945,0.013209079694941084,72,164,5392,0.024114565581799828,0.013353115727002967,164,5392
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,all,early,0.014058116947898531,0.003974086527607813,26,164,5324,0.008342850421943207,0.004883546205860256,0.9069048597680781,0.8477235786073287,164,5324,0.8791877551400753,0.9543576258452291,225,18,62,0.0387482706019151,-0.001080751847585058,160,5019,0.016706516978327025,0.004102937204710965,0.047214735502431014,0.006519372449320169,164,5324,0.02548502524948933,0.011269722013523666,0.8909872953020168,0.8326333857686942,164,5324,0.8633920705501014,0.9460931630353118,0.03901501011972079,0.014124147291345566,72,164,5324,0.025283444982926152,0.013523666416228399,1012,0.014586401807569156,0.004501869880085896,29,164,5324,0.008872065890183065,0.005447032306536439,0.09672953268155336,0.04024412183185298,164,5324,0.06773080283370664,0.04980453112177344,0.7722351910900572,-3.130247927182465,164,5324,-0.683113391711973,0.04864763335837716,0.03736460518466886,0.01328622063886056,72,164,5324,0.024179324618466447,0.013523666416228399,164,5324
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,all,middle,0.0,0.0,0,7,63,0.0,0.0,1.0,0.869047619047619,7,63,0.9404761904761905,0.9682539682539683,2,0,0,0.007948248726981025,0.0,7,61,0.0026494162423270086,0.003040313720703125,0.0,0.0,7,63,0.0,0.0,1.0,0.8571428571428571,7,63,0.9404761904761905,0.9682539682539683,0.0,0.0,0,7,63,0.0,0.0,9,0.0,0.0,0,7,63,0.0,0.0,0.06216601906241951,-0.005321747217422876,7,63,0.02570116895459074,0.02563711196657211,0.0,-0.07142857142857142,7,63,-0.023809523809523808,-0.015873015873015872,0.0,0.0,0,7,63,0.0,0.0,7,63
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,all,late,0.5,0.0,1,2,5,0.25,0.2,1.0,0.6666666666666666,2,5,0.8333333333333333,0.8,1,0,0,0.0,-0.1990680694580078,2,4,-0.0995340347290039,-0.0995340347290039,0.0,-0.5,2,5,-0.25,-0.2,1.0,0.6666666666666666,2,5,0.8333333333333333,0.8,0.0,0.0,0,2,5,0.0,0.0,2,0.5,0.0,1,2,5,0.25,0.2,0.13576221466064453,-0.16864426930745444,2,5,-0.016441027323404953,-0.046881675720214844,-0.3333333333333333,-0.5,2,5,-0.41666666666666663,-0.4,0.0,0.0,0,2,5,0.0,0.0,2,5
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,pass,all,0.01474219104688083,0.00387335571930077,23,151,5096,0.008635962676873506,0.004513343799058085,0.9330040148456191,0.8838733305278418,151,5096,0.9100070639170992,0.9631083202511774,175,13,52,0.028292182395582382,-0.007738573286491049,149,4856,0.007955108728452703,0.003163160170126197,0.039609681615800536,0.0014590139532110846,151,5096,0.018935414453957303,0.010007849293563579,0.9196495478588231,0.8692263741449744,151,5096,0.8961100252738181,0.9554552590266876,0.029379084513740033,0.009680789035146166,61,151,5096,0.01804667282627163,0.011970172684458399,933,0.014888378121877406,0.0040215610321407665,24,151,5096,0.008814949610827327,0.004709576138147566,0.08449918640284704,0.04040146241363469,151,5096,0.06151284816107158,0.04567643864375643,0.8489552695565138,0.04929738701322967,151,5096,0.34543243589246464,0.07456828885400314,0.02906651093994502,0.009536137083104405,60,151,5096,0.017943505171035636,0.011773940345368918,151,5096
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,pass,early,0.014584302915121137,0.0036873166206957174,22,151,5028,0.008459093818577347,0.004375497215592681,0.9331911283131178,0.8840612506646974,151,5028,0.9102162141159726,0.963206046141607,172,13,52,0.028389234749242705,-0.0076518493206526456,149,4791,0.008029474141222005,0.003250466038005831,0.03981056867364531,0.0017356282598648826,151,5028,0.019177831783920334,0.010342084327764518,0.9198314443686402,0.869378906914547,151,5028,0.8962979275691961,0.9554494828957836,0.029443522893682728,0.009747437503869928,61,151,5028,0.018112221297938498,0.01213206046141607,933,0.014773636329605735,0.0038662231658251086,23,151,5028,0.008648308577328529,0.004574383452665076,0.08464705195311205,0.040572849745076835,151,5028,0.06164030730400838,0.04601957073454451,0.8497814513092463,0.04989541902461969,151,5028,0.345931888797832,0.07617342879872713,0.029118660835116775,0.009596807859358647,60,151,5028,0.018019281467499867,0.011933174224343675,151,5028
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,pass,middle,0.0,0.0,0,7,63,0.0,0.0,1.0,0.869047619047619,7,63,0.9404761904761905,0.9682539682539683,2,0,0,0.007948248726981025,0.0,7,61,0.0026494162423270086,0.003040313720703125,0.0,0.0,7,63,0.0,0.0,1.0,0.8571428571428571,7,63,0.9404761904761905,0.9682539682539683,0.0,0.0,0,7,63,0.0,0.0,9,0.0,0.0,0,7,63,0.0,0.0,0.06216601906241951,-0.005321747217422876,7,63,0.02570116895459074,0.02563711196657211,0.0,-0.07142857142857142,7,63,-0.023809523809523808,-0.015873015873015872,0.0,0.0,0,7,63,0.0,0.0,7,63
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,pass,late,0.5,0.0,1,2,5,0.25,0.2,1.0,0.6666666666666666,2,5,0.8333333333333333,0.8,1,0,0,0.0,-0.1990680694580078,2,4,-0.0995340347290039,-0.0995340347290039,0.0,-0.5,2,5,-0.25,-0.2,1.0,0.6666666666666666,2,5,0.8333333333333333,0.8,0.0,0.0,0,2,5,0.0,0.0,2,0.5,0.0,1,2,5,0.25,0.2,0.13576221466064453,-0.16864426930745444,2,5,-0.016441027323404953,-0.046881675720214844,-0.3333333333333333,-0.5,2,5,-0.41666666666666663,-0.4,0.0,0.0,0,2,5,0.0,0.0,2,5
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,fail,all,0.03212121212121212,0.0030303030303030303,4,55,296,0.01575757575757576,0.013513513513513514,0.7920009498819659,0.6476549700299701,55,296,0.7220932305959042,0.8040540540540541,53,5,10,0.06687637598805836,-0.009064453968258241,51,228,0.024724250116165383,0.022016048431396484,0.08047695441813087,-0.023888648116589292,55,296,0.027908790555849376,0.02702702702702703,0.7543125689669806,0.6153623148984111,55,296,0.6881411042908369,0.7871621621621622,0.08641358641358642,0.01966033966033966,11,55,296,0.049920079920079914,0.037162162162162164,79,0.03939393939393939,0.006233766233766234,6,55,296,0.021385281385281382,0.02027027027027027,0.22607781388631135,0.013253741453716142,55,296,0.12072046881336085,0.11409770959132426,1.3138926801065833,-9.550543129924149,55,296,-2.489476990626723,-0.4189189189189189,0.08645049231813932,0.018803451450510277,12,55,296,0.04937343702049584,0.04054054054054054,55,296
全局置信度逐词刷新诊断,C1,reference_direction,1,reference_prefix_aligned,fail,early,0.03212121212121212,0.0030303030303030303,4,55,296,0.01575757575757576,0.013513513513513514,0.7920009498819659,0.6476549700299701,55,296,0.7220932305959042,0.8040540540540541,53,5,10,0.06687637598805836,-0.009064453968258241,51,228,0.024724250116165383,0.022016048431396484,0.08047695441813087,-0.023888648116589292,55,296,0.027908790555849376,0.02702702702702703,0.7543125689669806,0.6153623148984111,55,296,0.6881411042908369,0.7871621621621622,0.08641358641358642,0.01966033966033966,11,55,296,0.049920079920079914,0.037162162162162164,79,0.03939393939393939,0.006233766233766234,6,55,296,0.021385281385281382,0.02027027027027027,0.22607781388631135,0.013253741453716142,55,296,0.12072046881336085,0.11409770959132426,1.3138926801065833,-9.550543129924149,55,296,-2.489476990626723,-0.4189189189189189,0.08645049231813932,0.018803451450510277,12,55,296,0.04937343702049584,0.04054054054054054,55,296
