diagnostic_name_zh,variant,record_scope,offset,reference_subset,final_verdict,generation_stage,actual_entropy_delta_ci95_high,actual_entropy_delta_ci95_low,actual_entropy_delta_metric_task_group_count,actual_entropy_delta_metric_transition_count,actual_entropy_delta_task_group_macro,actual_entropy_delta_transition_micro,actual_margin_delta_ci95_high,actual_margin_delta_ci95_low,actual_margin_delta_metric_task_group_count,actual_margin_delta_metric_transition_count,actual_margin_delta_task_group_macro,actual_margin_delta_transition_micro,actual_top1_agreement_ci95_high,actual_top1_agreement_ci95_low,actual_top1_agreement_metric_task_group_count,actual_top1_agreement_metric_transition_count,actual_top1_agreement_task_group_macro,actual_top1_agreement_transition_micro,actual_total_variation_ci95_high,actual_total_variation_ci95_low,actual_total_variation_median,actual_total_variation_metric_task_group_count,actual_total_variation_metric_transition_count,actual_total_variation_task_group_macro,actual_total_variation_transition_micro,cases,raw_entropy_delta_ci95_high,raw_entropy_delta_ci95_low,raw_entropy_delta_metric_task_group_count,raw_entropy_delta_metric_transition_count,raw_entropy_delta_task_group_macro,raw_entropy_delta_transition_micro,raw_margin_delta_ci95_high,raw_margin_delta_ci95_low,raw_margin_delta_metric_task_group_count,raw_margin_delta_metric_transition_count,raw_margin_delta_task_group_macro,raw_margin_delta_transition_micro,raw_top1_agreement_ci95_high,raw_top1_agreement_ci95_low,raw_top1_agreement_metric_task_group_count,raw_top1_agreement_metric_transition_count,raw_top1_agreement_task_group_macro,raw_top1_agreement_transition_micro,raw_total_variation_ci95_high,raw_total_variation_ci95_low,raw_total_variation_median,raw_total_variation_metric_task_group_count,raw_total_variation_metric_transition_count,raw_total_variation_task_group_macro,raw_total_variation_transition_micro,task_groups,transitions
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,all,all,0.005711542739460013,-0.012446399161158759,164,5392,-0.0031898613154088345,-0.0029310554221758855,0.00999908011039341,-0.012614791109575611,164,5392,-0.0010499324981177104,0.0025770600542470326,0.963592103444085,0.9237760230379889,164,5392,0.9457013298528751,0.9783011869436202,0.05937521061257737,0.032029322998906366,0.0,164,5392,0.044558831869487156,0.02059990857404488,1012,-0.19328303833409194,-0.2610187322064186,164,5392,-0.2270954493367232,-0.14825525281901702,0.06459766736412556,0.046133694471940476,164,5392,0.055185548715554124,0.0423123831432368,0.9658400422711111,0.9332493602193441,164,5392,0.9506168622604543,0.9775593471810089,0.08652314785910387,0.06613610902296511,0.016438545659184456,164,5392,0.07575949227960588,0.050248297687998884,164,5392
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,all,early,0.005746031917616276,-0.012434198642714849,164,5324,-0.003174725839223986,-0.002936049702470236,0.00993841675056741,-0.012672266344669114,164,5324,-0.0011006786918706874,0.0025362377324380167,0.9637022073809586,0.9238995245871955,164,5324,0.9457909683541154,0.9782118707738543,0.05940407161585003,0.03202976922558174,0.0,164,5324,0.044572363644504266,0.020802578829357626,1012,-0.1933434062589736,-0.26108484910930996,164,5324,-0.22718826533843686,-0.14801493071722788,0.06470568928271854,0.04627145261749676,164,5324,0.055290966697633705,0.042543904364646425,0.9659634668644034,0.9332870814605769,164,5324,0.9506895983057676,0.9774605559729527,0.08663301073841337,0.06622665520117615,0.016442242078483105,164,5324,0.07586452843471256,0.0504393039764554,164,5324
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,all,middle,0.0,-0.0064708650112152094,7,63,-0.002156955003738403,-0.002396616670820448,0.01171875,0.0,7,63,0.00390625,0.004340277777777778,1.0,1.0,7,63,1.0,1.0,0.005880301339285715,0.0,0.0,7,63,0.0019601004464285714,0.002177889384920635,9,-0.006020612415990659,-0.25886934549435153,7,63,-0.10646380411952243,-0.1611549930558318,0.02602225051367239,-0.002593198028348741,7,63,0.011356219777584947,0.020956454295960682,1.0,1.0,7,63,1.0,1.0,0.05000161444672363,0.01735613214237114,0.013400096446275711,7,63,0.03247102629853883,0.03297726162764732,7,63
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,all,late,0.0,-0.010867685079574585,2,5,-0.0054338425397872925,-0.004347074031829834,0.0595703125,0.0,2,5,0.02978515625,0.023828125,1.0,0.5,2,5,0.75,0.8,0.09228515625,0.0,0.0,2,5,0.046142578125,0.0369140625,2,-0.09621185809373856,-0.45971596240997314,2,5,-0.27796391025185585,-0.2416134998202324,0.12284630537033081,0.026224613189697266,2,5,0.07453545928001404,0.06487329006195068,1.0,0.5,2,5,0.75,0.8,0.1297819074243307,0.020945155217001837,0.047478534281253815,2,5,0.07536353132066627,0.06447985609993338,2,5
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,pass,all,0.00886004486704848,-0.009850118181303059,151,5096,-0.00031109123738623496,-0.0019292518397094316,0.0089363673865977,-0.013130033805341534,151,5096,-0.0017699524540533236,0.0017191409316130299,0.976451820892188,0.9467409651649714,151,5096,0.9630506537800928,0.9815541601255887,0.04770584516808138,0.023161091001243965,0.0,151,5096,0.03418882642525723,0.017289046402815936,933,-0.1813692640783063,-0.24490009502772975,151,5096,-0.2117534661601047,-0.14182043533382882,0.062092836596418816,0.04460114436479581,151,5096,0.05275937856089099,0.04079418872399738,0.9746688982881598,0.9441746224240116,151,5096,0.961048284230454,0.9811616954474097,0.07667979505392604,0.05836911020319167,0.015407014638185501,151,5096,0.06688067634161438,0.04656439703284394,151,5096
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,pass,early,0.008877704563094023,-0.009814212206260312,151,5028,-0.000290810573891594,-0.0019209914786671493,0.008884271384759819,-0.013177176604236883,151,5028,-0.0018296402572046551,0.0016643126615950676,0.9765404961622829,0.9468506401951928,151,5028,0.9631619741667221,0.9815035799522673,0.04769893119070844,0.023191163145486124,0.0,151,5028,0.03419462639022674,0.01745887094769292,933,-0.18141609118197227,-0.24473685376917298,151,5028,-0.21181837119359856,-0.14147893922028104,0.06222003525223437,0.044737603411658076,151,5028,0.05287220649980669,0.04101880721291475,0.9747243174140507,0.9442556581296379,151,5028,0.9611391489674885,0.9811058074781225,0.07673706597128181,0.05845824047715904,0.015407014638185501,151,5028,0.06698066317656012,0.04671682587834751,151,5028
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,pass,middle,0.0,-0.0064708650112152094,7,63,-0.002156955003738403,-0.002396616670820448,0.01171875,0.0,7,63,0.00390625,0.004340277777777778,1.0,1.0,7,63,1.0,1.0,0.005880301339285715,0.0,0.0,7,63,0.0019601004464285714,0.002177889384920635,9,-0.006020612415990659,-0.25886934549435153,7,63,-0.10646380411952243,-0.1611549930558318,0.02602225051367239,-0.002593198028348741,7,63,0.011356219777584947,0.020956454295960682,1.0,1.0,7,63,1.0,1.0,0.05000161444672363,0.01735613214237114,0.013400096446275711,7,63,0.03247102629853883,0.03297726162764732,7,63
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,pass,late,0.0,-0.010867685079574585,2,5,-0.0054338425397872925,-0.004347074031829834,0.0595703125,0.0,2,5,0.02978515625,0.023828125,1.0,0.5,2,5,0.75,0.8,0.09228515625,0.0,0.0,2,5,0.046142578125,0.0369140625,2,-0.09621185809373856,-0.45971596240997314,2,5,-0.27796391025185585,-0.2416134998202324,0.12284630537033081,0.026224613189697266,2,5,0.07453545928001404,0.06487329006195068,1.0,0.5,2,5,0.75,0.8,0.1297819074243307,0.020945155217001837,0.047478534281253815,2,5,0.07536353132066627,0.06447985609993338,2,5
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,fail,all,0.009883051495192067,-0.032956198380818424,55,296,-0.011638184308420023,-0.020178322504098352,0.03270448764797758,-0.021785467166592878,55,296,0.005805541847487035,0.01734718116554054,0.9338329700602428,0.8285989692126053,55,296,0.8840114431023521,0.9222972972972973,0.14090038412443842,0.06423153730295872,0.0,55,296,0.09963757691273906,0.07760042757601351,79,-0.11264258500642355,-0.322255837678866,55,296,-0.22510038701996468,-0.2590384619559061,0.08018925827946917,0.028649984665638124,55,296,0.05552465006741825,0.06844994652311544,0.9373582046295951,0.8533332883693846,55,296,0.8971121985560488,0.9155405405405406,0.1517742204103133,0.1019831435301967,0.05823464132845402,55,296,0.1259734377730771,0.11367112788620698,55,296
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,reference_prefix_aligned,fail,early,0.009883051495192067,-0.032956198380818424,55,296,-0.011638184308420023,-0.020178322504098352,0.03270448764797758,-0.021785467166592878,55,296,0.005805541847487035,0.01734718116554054,0.9338329700602428,0.8285989692126053,55,296,0.8840114431023521,0.9222972972972973,0.14090038412443842,0.06423153730295872,0.0,55,296,0.09963757691273906,0.07760042757601351,79,-0.11264258500642355,-0.322255837678866,55,296,-0.22510038701996468,-0.2590384619559061,0.08018925827946917,0.028649984665638124,55,296,0.05552465006741825,0.06844994652311544,0.9373582046295951,0.8533332883693846,55,296,0.8971121985560488,0.9155405405405406,0.1517742204103133,0.1019831435301967,0.05823464132845402,55,296,0.1259734377730771,0.11367112788620698,55,296
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,all,all,0.0018216217940699659,-0.014167997362674331,164,5718,-0.0056509045709138735,-0.004128757730027352,0.012146771488996337,-0.00551638016290719,164,5718,0.003073588328860317,0.0037479300564008393,0.9636710541409598,0.9257252593102696,164,5718,0.9468676340775991,0.9753410283315844,0.05923805683605777,0.03202660148164579,0.0,164,5718,0.04451006475512093,0.023480794612408186,1017,-0.20043706307483877,-0.2627478293584111,164,5718,-0.23163826529431195,-0.16348226358935958,0.06761082357768947,0.05006838916658533,164,5718,0.0585376476261452,0.046967157324624254,0.9663627217985714,0.9365410939066589,164,5718,0.9523262417302494,0.974816369359916,0.09013567951451593,0.06963718051045983,0.016938562504947186,164,5718,0.07919937736131707,0.0550701287283751,164,5718
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,all,early,0.0018482505808565962,-0.01417090073019117,164,5650,-0.005638174353180705,-0.004147878669004524,0.012122468648972708,-0.00558258463441082,164,5650,0.0030259988722965317,0.0037235550331858407,0.9637597477929447,0.9258111676574183,164,5650,0.9469500994403726,0.9752212389380531,0.05922470221709467,0.032052104715500705,0.0,164,5650,0.044520669993597745,0.023706443584070796,1017,-0.20054321400633662,-0.2628050089254416,164,5650,-0.2317548950284792,-0.16343907099864416,0.06771091687644079,0.05016627608485727,164,5650,0.058639953702703154,0.04724134203738871,0.9663667531832768,0.9366604055135231,164,5650,0.9523941890907002,0.9746902654867257,0.0902407501778025,0.06972546019168743,0.016954632475972176,164,5650,0.07931164034344658,0.055308146779788916,164,5650
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,all,middle,0.0,-0.0064708650112152094,7,63,-0.002156955003738403,-0.002396616670820448,0.01171875,0.0,7,63,0.00390625,0.004340277777777778,1.0,1.0,7,63,1.0,1.0,0.005880301339285715,0.0,0.0,7,63,0.0019601004464285714,0.002177889384920635,9,-0.006020612415990659,-0.25886934549435153,7,63,-0.10646380411952243,-0.1611549930558318,0.02602225051367239,-0.002593198028348741,7,63,0.011356219777584947,0.020956454295960682,1.0,1.0,7,63,1.0,1.0,0.05000161444672363,0.01735613214237114,0.013400096446275711,7,63,0.03247102629853883,0.03297726162764732,7,63
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,all,late,0.0,-0.010867685079574585,2,5,-0.0054338425397872925,-0.004347074031829834,0.0595703125,0.0,2,5,0.02978515625,0.023828125,1.0,0.5,2,5,0.75,0.8,0.09228515625,0.0,0.0,2,5,0.046142578125,0.0369140625,2,-0.09621185809373856,-0.45971596240997314,2,5,-0.27796391025185585,-0.2416134998202324,0.12284630537033081,0.026224613189697266,2,5,0.07453545928001404,0.06487329006195068,1.0,0.5,2,5,0.75,0.8,0.1297819074243307,0.020945155217001837,0.047478534281253815,2,5,0.07536353132066627,0.06447985609993338,2,5
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,pass,all,0.00420038691059117,-0.01164613151279389,151,5369,-0.0031374575472479273,-0.003017893617857899,0.011599937957333299,-0.005321343743691016,151,5369,0.0027677684370817977,0.002837651622741665,0.9765185099011473,0.9482946839207105,151,5369,0.9640005870411574,0.9791395045632334,0.0471727689480447,0.022944963782557826,0.0,151,5369,0.033644011805668866,0.019633107887874836,937,-0.18315074720527325,-0.2416295416039593,151,5369,-0.21129629133412434,-0.15355980434844846,0.06493361250340132,0.04792919727350444,151,5369,0.05559109482806754,0.04451556415098476,0.9752537313293301,0.946708666234173,151,5369,0.962544814964649,0.9789532501396908,0.07911921341946616,0.06040658629989323,0.016062019392848015,151,5369,0.06894797445209067,0.0502985986112667,151,5369
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,pass,early,0.004209614029144746,-0.011632740299567528,151,5301,-0.0031205092537273907,-0.0030240235076133227,0.011507605677406305,-0.005365022386676235,151,5301,0.0027123969044371785,0.00279999498915299,0.9765920286171824,0.9484083106729745,151,5301,0.9641017461150424,0.9790605546123373,0.04716732909499031,0.02291835118316557,0.0,151,5301,0.033647844866928865,0.019824255594463307,937,-0.18310369236136773,-0.24175926079200585,151,5301,-0.21138934222433683,-0.1533864850943598,0.06505355154968759,0.048015888075869845,151,5301,0.05570120380294127,0.04477635179318655,0.9753425504722234,0.9469018617601198,151,5301,0.9626285463633859,0.9788719109601962,0.07920931038811733,0.06051651746887176,0.016062019392848015,151,5301,0.06905801910648728,0.05049107888716269,151,5301
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,pass,middle,0.0,-0.0064708650112152094,7,63,-0.002156955003738403,-0.002396616670820448,0.01171875,0.0,7,63,0.00390625,0.004340277777777778,1.0,1.0,7,63,1.0,1.0,0.005880301339285715,0.0,0.0,7,63,0.0019601004464285714,0.002177889384920635,9,-0.006020612415990659,-0.25886934549435153,7,63,-0.10646380411952243,-0.1611549930558318,0.02602225051367239,-0.002593198028348741,7,63,0.011356219777584947,0.020956454295960682,1.0,1.0,7,63,1.0,1.0,0.05000161444672363,0.01735613214237114,0.013400096446275711,7,63,0.03247102629853883,0.03297726162764732,7,63
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,pass,late,0.0,-0.010867685079574585,2,5,-0.0054338425397872925,-0.004347074031829834,0.0595703125,0.0,2,5,0.02978515625,0.023828125,1.0,0.5,2,5,0.75,0.8,0.09228515625,0.0,0.0,2,5,0.046142578125,0.0369140625,2,-0.09621185809373856,-0.45971596240997314,2,5,-0.27796391025185585,-0.2416134998202324,0.12284630537033081,0.026224613189697266,2,5,0.07453545928001404,0.06487329006195068,1.0,0.5,2,5,0.75,0.8,0.1297819074243307,0.020945155217001837,0.047478534281253815,2,5,0.07536353132066627,0.06447985609993338,2,5
全局置信度逐词刷新诊断,C1,stale_fresh_distribution,1,predecessor_correct,fail,all,0.007823774772379522,-0.034432376776341145,55,349,-0.013680348681564519,-0.02121824030377462,0.03249342532062983,-0.018203305429120322,55,349,0.007396261414232034,0.017751611747851004,0.9297504936583882,0.826988221817169,55,349,0.8817029948608895,0.9169054441260746,0.14618240920335474,0.06975548947648055,0.0,55,349,0.10523307243176903,0.08267343078438395,80,-0.1578845072144048,-0.37250446975738,55,349,-0.2726466430587812,-0.3161289216536911,0.09445794996880039,0.03985653798602923,55,349,0.06801248374067398,0.08468235431393785,0.9350693932374553,0.8540992719401809,55,349,0.896041216447915,0.9111747851002865,0.16375747314588796,0.115125595325421,0.06690869480371475,55,349,0.1388482427974727,0.12847512929787377,55,349
