entropy_delta_fresh_minus_stale_mean,final_verdict,offset,stage,top1_agreement_fraction,transitions,tv_mean
-0.4433749663545729,fail,1,early,0.8511415525114155,1095,0.2002519975053827
-0.22434952368022856,pass,1,early,0.9546024579884625,7974,0.08568645106539598
-0.35101497440766066,fail,1,late,0.8974358974358975,39,0.16804700655241808
-0.43411552600371534,pass,1,late,0.8461538461538461,39,0.19973950119366726
-0.5224723458656522,fail,1,middle,0.7868852459016393,61,0.2384798598330712
-0.46547753225358857,pass,1,middle,0.9155844155844156,308,0.1495806475823092
-1.1458188782900705,fail,2,early,0.7361660079051383,1012,0.3996814396388814
-0.7700151727504045,pass,2,early,0.905918915101003,7079,0.2373140275864068
-1.1553054192178958,fail,2,late,0.7567567567567568,37,0.36273577779128746
-1.1677219131163188,pass,2,late,0.7428571428571429,35,0.3727215396506446
-1.261275287325445,fail,2,middle,0.6491228070175439,57,0.41613987970509025
-0.932250213362692,pass,2,middle,0.8141263940520446,269,0.300788370244115
-1.5609394423834042,fail,3,early,0.643702906350915,929,0.5303312822739293
-1.0691276406618766,pass,3,early,0.8543185869389078,6171,0.33598672401182944
-1.4984356809939656,fail,3,late,0.6285714285714286,35,0.4949437230825424
-1.5476065151874097,pass,3,late,0.6774193548387096,31,0.4940088739798915
-1.690112958960938,fail,3,middle,0.6037735849056604,53,0.5117617399906212
-1.244148559546397,pass,3,middle,0.7448559670781894,243,0.4044572070524587
