ci95_high_pp,ci95_low_pp,comparison,group_count,group_macro_delta_pp,harm,help,left,n,paired_sign_flip_p,pass_count,pass_rate_percent,record_type,right,task_groups,tie_fail,tie_pass,variant
,,C1,,,,,,1033,,951,92.0619554695063,variant,,164,,,C1
,,C2,,,,,,1033,,901,87.2216844143272,variant,,164,,,C2
,,C4,,,,,,1033,,814,78.79961277831559,variant,,164,,,C4
,,L1,,,,,,1033,,942,91.19070667957405,variant,,164,,,L1
,,L2,,,,,,1033,,877,84.89835430784125,variant,,164,,,L2
,,L4,,,,,,1033,,713,69.02226524685382,variant,,164,,,L4
-2.10897449144601,-7.16831111518812,C2-C1,164,-4.574981474451949,55,5,C2,,0.0,,,comparison,C1,,77,896,
-10.826914755047087,-18.49920839551908,C4-C1,164,-14.559084993093558,147,10,C4,,0.0,,,comparison,C1,,72,804,
-2.978416776936514,-9.851471739108133,L2-L1,164,-6.363470451243238,75,10,L2,,0.0001,,,comparison,L1,,81,867,
-19.961838731738805,-28.225145668099305,L4-L1,164,-24.055823711341947,235,6,L4,,0.0,,,comparison,L1,,85,707,
0.969139769444647,-2.859752036581305,L1-C1,164,-0.9280108441693807,15,6,L1,,0.3821,,,comparison,C1,,76,936,
0.3745904121285205,-5.976382553404376,L2-C2,164,-2.716499820960668,44,20,L2,,0.0982,,,comparison,C2,,112,857,
-7.615457509532102,-13.526058864565485,L4-C4,164,-10.424749562417771,111,10,L4,,0.0,,,comparison,C4,,209,703,
