adjacent_pair_count_mean,final_verdict,k,left_prefix_coverage_mean,longest_contiguous_run_mean,span_width_mean,stage,step_context,steps,topk_equals_leftmostk_fraction,variant
0.9389322916666667,pass,2,1.909375,1.9389322916666667,2.087760416666667,early,normal,7680,0.9201822916666667,C1
2.763932291666667,pass,4,3.6841145833333333,3.7141927083333335,4.40703125,early,normal,7680,0.7864583333333334,C1
0.9880434782608696,pass,2,1.8608695652173912,1.9880434782608696,2.015217391304348,early,structural,920,0.8847826086956522,C1
2.9793478260869564,pass,4,3.8206521739130435,3.976086956521739,4.028260869565218,early,structural,920,0.8793478260869565,C1
0.6153846153846154,pass,2,1.1794871794871795,1.6153846153846154,3.358974358974359,late,normal,39,0.41025641025641024,C1
2.05,pass,4,2.2,2.95,7.4,late,normal,20,0.3,C1
0.8995633187772926,pass,2,1.8253275109170306,1.8995633187772927,2.1877729257641922,middle,normal,229,0.8602620087336245,C1
2.685589519650655,pass,4,3.475982532751092,3.606986899563319,4.537117903930131,middle,normal,229,0.7161572052401747,C1
0.9666666666666667,pass,2,1.8666666666666667,1.9666666666666666,2.033333333333333,middle,structural,30,0.9,C1
2.966666666666667,pass,4,3.8333333333333335,3.966666666666667,4.033333333333333,middle,structural,30,0.9,C1
1,pass,2,1.4545454545454546,2,2,late,structural,11,0.5454545454545454,C1
3,pass,4,2,4,4,late,structural,2,0.5,C1
0.8125,fail,2,1.7242063492063493,1.8125,2.3839285714285716,early,normal,1008,0.751984126984127,C1
2.3759920634920637,fail,4,3.134920634920635,3.2867063492063493,5.691468253968254,early,normal,1008,0.501984126984127,C1
1,fail,2,1.7464788732394365,2,2,early,structural,71,0.8169014084507042,C1
2.9577464788732395,fail,4,3.6056338028169015,3.9577464788732395,4.056338028169014,early,structural,71,0.8028169014084507,C1
0.7142857142857143,fail,2,1.4285714285714286,1.7142857142857142,2.5714285714285716,late,normal,7,0.5714285714285714,C1
2.5,fail,4,3,3.5,4.5,late,normal,4,0.5,C1
0.8947368421052632,fail,2,1.8157894736842106,1.894736842105263,2.1578947368421053,middle,normal,76,0.8552631578947368,C1
2.6710526315789473,fail,4,3.4473684210526314,3.6052631578947367,4.552631578947368,middle,normal,76,0.7368421052631579,C1
1,fail,2,2,2,2,middle,structural,10,1,C1
3,fail,4,4,4,4,middle,structural,10,1,C1
1,fail,2,1.6666666666666667,2,2,late,structural,3,0.6666666666666666,C1
3,fail,4,4,4,4,late,structural,1,1,C1
0.9448296653602652,pass,2,1.9134760325595417,1.9448296653602652,2.0841121495327104,early,normal,3317,0.9261380765752185,C2
2.7705758215254748,pass,4,3.670786855592403,3.723243895085921,4.393126318962918,early,normal,3317,0.7940910461260174,C2
0.8934240362811792,pass,2,1.8197278911564625,1.8934240362811792,2.133786848072562,early,structural,882,0.8435374149659864,C2
2.8843537414965987,pass,4,3.7222222222222223,3.880952380952381,4.145124716553288,early,structural,882,0.8378684807256236,C2
0.7666666666666667,pass,2,1.4333333333333333,1.7666666666666666,2.466666666666667,late,structural,60,0.5333333333333333,C2
2.7037037037037037,pass,4,3.185185185185185,3.5925925925925926,4.37037037037037,late,structural,27,0.6296296296296297,C2
0.8104993597951344,fail,2,1.7426376440460947,1.8104993597951344,2.3341869398207424,early,normal,781,0.7669654289372599,C2
