task_id,task_group,split
SingleLineInfilling/HumanEval/0/L0,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L1,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L2,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L3,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L4,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L5,HumanEval/0,train
SingleLineInfilling/HumanEval/0/L7,HumanEval/0,train
SingleLineInfilling/HumanEval/1/L0,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L1,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L2,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L4,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L5,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L6,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L7,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L8,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L9,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L10,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L12,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L13,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L14,HumanEval/1,train
SingleLineInfilling/HumanEval/1/L16,HumanEval/1,train
SingleLineInfilling/HumanEval/2/L0,HumanEval/2,train
SingleLineInfilling/HumanEval/3/L0,HumanEval/3,calibration
SingleLineInfilling/HumanEval/3/L2,HumanEval/3,calibration
SingleLineInfilling/HumanEval/3/L3,HumanEval/3,calibration
SingleLineInfilling/HumanEval/3/L4,HumanEval/3,calibration
SingleLineInfilling/HumanEval/3/L5,HumanEval/3,calibration
SingleLineInfilling/HumanEval/3/L7,HumanEval/3,calibration
SingleLineInfilling/HumanEval/4/L0,HumanEval/4,train
SingleLineInfilling/HumanEval/4/L1,HumanEval/4,train
SingleLineInfilling/HumanEval/5/L0,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L1,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L3,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L5,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L6,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L7,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L9,HumanEval/5,calibration
SingleLineInfilling/HumanEval/5/L11,HumanEval/5,calibration
SingleLineInfilling/HumanEval/6/L0,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L1,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L2,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L3,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L4,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L5,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L6,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L7,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L8,HumanEval/6,validation
SingleLineInfilling/HumanEval/6/L10,HumanEval/6,validation
