scope,old_rows,h200_rows,common_rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,benefit_label_agreement_rate,harm_label_agreement_rate,candidate_hash_agreement_rate,actual_canvas_agreement_rate,old_benefit_count_non_keep,h200_benefit_count_non_keep,old_harm_count_non_keep,h200_harm_count_non_keep
overall,4635,4635,4635,2504,2506,2,118,116,2388,2013,0.9495145631067962,0.9887810140237324,0.9553398058252427,0.801294498381877,0.993311758360302,191,193,1242,1237
split:calibration,775,775,775,433,427,-6,13,19,414,329,0.9587096774193549,0.9896774193548387,0.9651612903225807,0.8038709677419354,0.9961290322580645,30,22,222,225
split:train,3225,3225,3225,1753,1758,5,91,86,1667,1381,0.9451162790697675,0.9891472868217054,0.950077519379845,0.7996899224806202,0.9925581395348837,133,140,860,857
split:validation,635,635,635,318,321,3,14,11,307,303,0.9606299212598425,0.9858267716535433,0.9700787401574803,0.8062992125984252,0.9937007874015747,28,31,160,155
action:EXPAND_16,927,927,927,530,520,-10,10,20,510,387,0.9676375404530745,0.9892125134843581,0.9687162891046386,0.86084142394822,0.9956850053937433,50,48,231,238
action:EXPAND_24,927,927,927,467,474,7,30,23,444,430,0.9428263214670982,0.982740021574973,0.9525350593311759,0.8036677454153183,1.0,52,50,296,286
action:EXPAND_32,927,927,927,417,418,1,29,28,389,481,0.9385113268608414,0.9848975188781014,0.9439050701186623,0.7454153182308522,1.0,51,53,345,345
action:EXPAND_48,927,927,927,379,384,5,45,40,339,503,0.9083063646170443,0.9870550161812298,0.9115426105717368,0.6343042071197411,1.0,38,42,370,368
action:KEEP_PRIMARY,927,927,927,711,710,-1,4,5,706,212,0.9902912621359223,1.0,1.0,0.9622437971952535,0.970873786407767,0,0,0,0
split:calibration|action:EXPAND_16,155,155,155,88,86,-2,1,3,85,66,0.9741935483870968,0.9870967741935484,0.9806451612903225,0.8838709677419355,1.0,6,4,43,44
split:calibration|action:EXPAND_24,155,155,155,85,83,-2,2,4,81,68,0.9612903225806452,0.9870967741935484,0.967741935483871,0.8129032258064516,1.0,9,7,49,50
split:calibration|action:EXPAND_32,155,155,155,71,68,-3,4,7,64,80,0.9290322580645162,0.9806451612903225,0.9419354838709677,0.7161290322580646,1.0,9,6,63,64
split:calibration|action:EXPAND_48,155,155,155,64,64,0,5,5,59,86,0.9354838709677419,0.9935483870967742,0.9354838709677419,0.6387096774193548,1.0,6,5,67,67
split:calibration|action:KEEP_PRIMARY,155,155,155,125,126,1,1,0,125,29,0.9935483870967742,1.0,1.0,0.967741935483871,0.9806451612903225,0,0,0,0
split:train|action:EXPAND_16,645,645,645,381,374,-7,7,14,367,257,0.9674418604651163,0.9906976744186047,0.9658914728682171,0.8573643410852713,0.9953488372093023,35,35,150,156
split:train|action:EXPAND_24,645,645,645,324,329,5,21,16,308,300,0.9426356589147287,0.9829457364341085,0.951937984496124,0.7984496124031008,1.0,36,35,208,201
split:train|action:EXPAND_32,645,645,645,290,293,3,22,19,271,333,0.9364341085271318,0.9875968992248062,0.937984496124031,0.7503875968992249,1.0,36,38,242,240
split:train|action:EXPAND_48,645,645,645,262,267,5,38,33,229,345,0.889922480620155,0.9844961240310077,0.8945736434108527,0.6325581395348837,1.0,26,32,260,260
split:train|action:KEEP_PRIMARY,645,645,645,496,495,-1,3,4,492,146,0.9891472868217054,1.0,1.0,0.9596899224806201,0.9674418604651163,0,0,0,0
split:validation|action:EXPAND_16,127,127,127,61,60,-1,2,3,58,64,0.9606299212598425,0.984251968503937,0.968503937007874,0.8503937007874016,0.9921259842519685,9,9,38,38
split:validation|action:EXPAND_24,127,127,127,58,62,4,7,3,55,62,0.9212598425196851,0.9763779527559056,0.937007874015748,0.8188976377952756,1.0,7,8,39,35
split:validation|action:EXPAND_32,127,127,127,56,57,1,3,2,54,68,0.9606299212598425,0.9763779527559056,0.9763779527559056,0.7559055118110236,1.0,6,9,40,41
split:validation|action:EXPAND_48,127,127,127,53,53,0,2,2,51,72,0.968503937007874,0.9921259842519685,0.968503937007874,0.6377952755905512,1.0,6,5,43,41
split:validation|action:KEEP_PRIMARY,127,127,127,90,89,-1,0,1,89,37,0.9921259842519685,1.0,1.0,0.968503937007874,0.9763779527559056,0,0,0,0
