run,scope,rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,candidate_hash_agreement_rate,selected_length_agreement_rate,selected_length_mean_delta,selected_length_mean_abs_delta,trigger_agreement_rate,old_triggered_count,h200_triggered_count,trigger_delta_h200_minus_old,final_source_agreement_rate
control,split:calibration,155,124,124,0,0,0,124,31,1.0,0.9741935483870968,0.9870967741935484,0.03225806451612903,0.03225806451612903,1.0,29,29,0,1.0
control,split:calibration|bucket:13-16,13,8,8,0,0,0,8,5,1.0,1.0,1.0,0.0,0.0,1.0,6,6,0,1.0
control,split:calibration|bucket:17-24,8,4,4,0,0,0,4,4,1.0,0.875,1.0,0.0,0.0,1.0,5,5,0,1.0
control,split:calibration|bucket:25+,3,0,0,0,0,0,0,3,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0,0,0,1.0
control,split:calibration|bucket:9-12,32,23,23,0,0,0,23,9,1.0,1.0,1.0,0.0,0.0,1.0,5,5,0,1.0
control,split:calibration|bucket:<=8,99,89,89,0,0,0,89,10,1.0,0.9797979797979798,0.98989898989899,0.04040404040404041,0.04040404040404041,1.0,13,13,0,1.0
control,split:train,645,491,491,0,3,3,488,151,0.9906976744186047,0.9612403100775194,0.9689922480620154,0.004651162790697674,0.16279069767441862,0.9829457364341085,115,114,-1,0.9829457364341085
control,split:train|bucket:13-16,59,30,30,0,0,0,30,29,1.0,0.9152542372881356,0.9322033898305084,-0.1016949152542373,0.2033898305084746,0.9322033898305084,31,29,-2,0.9322033898305084
control,split:train|bucket:17-24,57,12,11,-1,0,1,11,45,0.9824561403508771,0.9122807017543859,0.9649122807017544,-0.3508771929824561,0.3508771929824561,0.9649122807017544,18,16,-2,0.9649122807017544
control,split:train|bucket:25+,21,5,5,0,0,0,5,16,1.0,1.0,1.0,0.0,0.0,1.0,6,6,0,1.0
control,split:train|bucket:9-12,136,102,103,1,1,0,102,33,0.9926470588235294,0.9926470588235294,0.9926470588235294,0.04411764705882353,0.04411764705882353,0.9926470588235294,10,11,1,0.9926470588235294
control,split:train|bucket:<=8,372,342,342,0,2,2,340,28,0.989247311827957,0.9623655913978495,0.9650537634408602,0.06182795698924731,0.18010752688172044,0.989247311827957,50,52,2,0.989247311827957
control,split:validation,127,89,88,-1,0,1,88,38,0.9921259842519685,0.968503937007874,0.9763779527559056,-0.06299212598425197,0.15748031496062992,0.968503937007874,23,25,2,0.968503937007874
