entity,old_validation_pass_count,h200_validation_pass_count,old_validation_total,h200_validation_total,old_validation_pass_rate,h200_validation_pass_rate,old_validation_wins_vs_primary,h200_validation_wins_vs_primary,old_validation_losses_vs_primary,h200_validation_losses_vs_primary,old_validation_intervention_count,h200_validation_intervention_count,old_validation_intervention_harm_count,h200_validation_intervention_harm_count,old_validation_intervention_harm_upper95,h200_validation_intervention_harm_upper95,old_validation_mean_cost_sec,h200_validation_mean_cost_sec,pass_delta_h200_minus_old,old_selected_controller,h200_selected_controller,old_gate_passed,h200_gate_passed,old_test_decision,h200_test_decision
selected_controller,90,89,127,127,0.7086614173228346,0.7007874015748031,0,0,0,0,0,0,0,0,,,2.2306961533952667,0.8260514874017695,-1,"{""feature_variant"": ""probe_only"", ""model_family"": ""logistic"", ""policy_variant"": ""benefit_only"", ""score_threshold"": 999.0}","{""feature_variant"": ""probe_only"", ""model_family"": ""logistic"", ""policy_variant"": ""benefit_only"", ""score_threshold"": 999.0}",False,False,sealed,sealed
baseline:always_expand_16,61,60,127,127,0.48031496062992124,0.47244094488188976,9,9,38,38,127,127,38,38,0.383792249498508,0.383792249498508,3.3445903549509812,1.1959576426380072,-1,,,,,,
baseline:always_expand_24,58,62,127,127,0.4566929133858268,0.4881889763779528,7,8,39,35,127,127,39,35,0.3919944846198508,0.3590233196852323,3.516532654335033,1.2301881997112742,4,,,,,,
baseline:always_expand_32,56,57,127,127,0.4409448818897638,0.44881889763779526,6,9,40,41,127,127,40,41,0.400170653193285,0.40832127470713475,3.506120371066701,1.2078909410116094,1,,,,,,
baseline:always_expand_48,53,53,127,127,0.41732283464566927,0.41732283464566927,6,5,43,41,127,127,43,41,0.4245477689979407,0.40832127470713475,3.8649170858855175,1.3301764765188766,0,,,,,,
baseline:compute_matched_simple_gate_expand32,90,89,127,127,0.7086614173228346,0.7007874015748031,0,0,0,0,0,0,0,0,,,2.2306961533952667,0.8260514874017695,-1,,,,,,
baseline:control,89,88,127,127,0.7007874015748031,0.6929133858267716,0,0,1,1,0,0,0,0,,,5.567309581359305,1.261865018910039,-1,,,,,,
baseline:local_cal,90,89,127,127,0.7086614173228346,0.7007874015748031,2,2,2,2,0,0,0,0,,,3.1551778682041913,1.0821220675812426,-1,,,,,,
baseline:midcons,90,89,127,127,0.7086614173228346,0.7007874015748031,0,0,0,0,0,0,0,0,,,11.132317982900037,1.370363959315,-1,,,,,,
baseline:oracle_action_bank_upper_bound,104,106,127,127,0.8188976377952756,0.8346456692913385,14,17,0,0,110,17,0,0,0.03374513358912735,0.18432366037156456,3.2755823338369465,0.8836506943220244,2,,,,,,
baseline:route2,90,89,127,127,0.7086614173228346,0.7007874015748031,0,0,0,0,0,0,0,0,,,5.289454268335592,1.482944338993118,-1,,,,,,
baseline:v6,90,89,127,127,0.7086614173228346,0.7007874015748031,0,0,0,0,0,0,0,0,,,4.8113056458386145,1.6981044114946835,-1,,,,,,
