run,gpu,path,rows,pass_count,pass_rate,avg_total_sec_including_probe,summary_pass_rate,trigger_count
control,old_a6000,/home/shx/projects/dllm_infilling/outputs_clean/full_lcal_official_bounded_repair_union_s3_off6_9_delta1_8_susp16_a6000_control_20260528_163529,1033,787,0.7618586640851888,6.025422790634112,0.7618586640851888,79
control,h200,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_control_20260706_tier1_20260706_031441,1033,787,0.7618586640851888,1.322957830938281,0.7618586640851888,80
midcons,old_a6000,/home/shx/projects/dllm_infilling/outputs_clean/full_lcal_official_bounded_repair_union_midcons_off11_13_d3_7_r08_a6000_20260528_221626,1033,795,0.7696030977734754,11.97756512547029,0.7696030977734754,102
midcons,h200,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_midcons_20260706_tier1_20260706_042029,1033,794,0.7686350435624395,1.4654791171587904,0.7686350435624395,104
route2,old_a6000,/home/shx/projects/dllm_infilling/outputs_clean/full_route2_trace_rescue_precision_top1_conf_len32_gpu3_20260614_010516,1033,801,0.7754114230396902,5.4621755333458655,0.7754114230396902,57
route2,h200,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_route2_20260707_tier1_rerun_tmux_20260707_032537,1033,795,0.7696030977734754,1.5564461394886162,0.7696030977734754,58
v6,old_a6000,/home/shx/projects/dllm_infilling/git_workspace/outputs_clean/full_route2_v6_short_override_gpu2_20260620_124754,1033,802,0.7763794772507261,4.876820151190141,0.7763794772507261,57
v6,h200,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_v6_20260707_tier1_tmux_20260707_044307,1033,796,0.7705711519845111,1.721240794600442,0.7705711519845111,58
cal,old_a6000,/home/shx/projects/dllm_infilling/outputs_clean/full_official_cal_lcas_v3b_accel_gpus10_20260702_resumed_full_20260703_111615,1033,774,0.7492739593417231,3.569845807120801,0.7492739593417231,
cal,h200,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_cal_20260707_tier1_tmux_20260707_051939,1033,769,0.744433688286544,1.1702381572060672,0.744433688286544,
