task_id,pool,action_id,experimental_seeds,oracle_sufficient_length,planned_steps
SingleLineInfilling/HumanEval/108/L6,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/108/L6,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/108/L6,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/11/L6,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/11/L6,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/11/L6,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/115/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/115/L0,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/115/L0,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/121/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/121/L0,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/121/L0,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/122/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/122/L0,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/122/L0,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/125/L5,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/125/L5,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/125/L5,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/134/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/134/L2,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/134/L2,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/136/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/136/L2,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/136/L2,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/15/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/15/L0,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/15/L0,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/151/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
SingleLineInfilling/HumanEval/151/L0,triggered_failed_long,F_oracle_sufficient_trace_remask,0,32,80
SingleLineInfilling/HumanEval/151/L0,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,32,88
SingleLineInfilling/HumanEval/152/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,32,64
