method,length_bucket,span_count,task_group_count,span_micro_accuracy_descriptive,mean_forward_count,mean_token_forward_budget
fixed64_seed0,extreme,63,63,0.30158730158730157,64.0,4096.0
fixed64_seed0,long,23,23,0.2608695652173913,64.0,4096.0
fixed64_seed0,medium,40,40,0.2,64.0,4096.0
fixed64_seed0,short,22,22,0.22727272727272727,64.0,4096.0
ordinary_confidence_best_of_grid,extreme,63,63,0.1746031746031746,512.0,30720.0
ordinary_confidence_best_of_grid,long,23,23,0.30434782608695654,512.0,30720.0
ordinary_confidence_best_of_grid,medium,40,40,0.4,512.0,30720.0
ordinary_confidence_best_of_grid,short,22,22,0.3181818181818182,512.0,30720.0
equal_compute_generic_remask,extreme,63,63,0.2698412698412698,576.0,34572.19047619047
equal_compute_generic_remask,long,23,23,0.21739130434782608,576.0,34682.434782608696
equal_compute_generic_remask,medium,40,40,0.225,576.0,34611.2
equal_compute_generic_remask,short,22,22,0.22727272727272727,576.0,34816.0
m1_score_only_abductive_selector,extreme,63,63,0.1111111111111111,512.0,30720.0
m1_score_only_abductive_selector,long,23,23,0.34782608695652173,512.0,30720.0
m1_score_only_abductive_selector,medium,40,40,0.375,512.0,30720.0
m1_score_only_abductive_selector,short,22,22,0.36363636363636365,512.0,30720.0
m1_dependency_cone_full,extreme,63,63,0.25396825396825395,576.0,34572.19047619047
m1_dependency_cone_full,long,23,23,0.21739130434782608,576.0,34682.434782608696
m1_dependency_cone_full,medium,40,40,0.225,576.0,34611.2
m1_dependency_cone_full,short,22,22,0.22727272727272727,576.0,34816.0
oracle_ceiling_offline_only,extreme,63,63,0.4126984126984127,64.0,2865.777777777778
oracle_ceiling_offline_only,long,23,23,0.5217391304347826,64.0,1246.608695652174
oracle_ceiling_offline_only,medium,40,40,0.525,64.0,774.4
oracle_ceiling_offline_only,short,22,22,0.6363636363636364,64.0,279.27272727272725
