task_group,method_a,method_b,method_a_accuracy,method_b_accuracy,task_macro_delta,outcome,span_count
HumanEval/0,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/1,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/10,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/100,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/101,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/102,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/103,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/104,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/105,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/106,m1_dependency_cone_full,equal_compute_generic_remask,1.0,1.0,0.0,tie,1
HumanEval/107,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/108,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/109,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/11,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/110,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/111,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/112,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/113,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/114,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/115,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/116,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/117,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/118,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/119,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/12,m1_dependency_cone_full,equal_compute_generic_remask,1.0,1.0,0.0,tie,1
HumanEval/120,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/121,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/122,m1_dependency_cone_full,equal_compute_generic_remask,0.0,0.0,0.0,tie,1
HumanEval/123,m1_dependency_cone_full,equal_compute_generic_remask,1.0,1.0,0.0,tie,1
