task_group,method_a,method_b,method_a_accuracy,method_b_accuracy,task_macro_delta,outcome,span_count
HumanEval/0,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/1,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/10,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/100,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/101,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/102,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/103,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/104,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/105,m2_gradual_constraints,m2_vanilla_fixed64,1.0,1.0,0.0,tie,1
HumanEval/106,m2_gradual_constraints,m2_vanilla_fixed64,1.0,1.0,0.0,tie,1
HumanEval/107,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/108,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/109,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/11,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/110,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/111,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/112,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/113,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/114,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/115,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/116,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/117,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/118,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/119,m2_gradual_constraints,m2_vanilla_fixed64,1.0,0.0,1.0,win,1
HumanEval/12,m2_gradual_constraints,m2_vanilla_fixed64,1.0,0.0,1.0,win,1
HumanEval/120,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/121,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
HumanEval/122,m2_gradual_constraints,m2_vanilla_fixed64,0.0,0.0,0.0,tie,1
