task_group,method_a,method_b,method_a_accuracy,method_b_accuracy,task_macro_delta,outcome,span_count
HumanEval/0,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/1,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/10,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/100,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/101,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/102,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/103,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/104,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/105,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/106,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/107,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/108,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/109,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/11,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/110,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/111,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/112,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/113,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/114,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/115,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/116,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/117,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/118,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/119,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/12,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/120,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/121,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/122,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/123,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/124,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/125,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/126,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/127,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/128,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/129,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/13,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/130,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/131,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/132,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/133,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/134,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/136,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/137,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/138,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/139,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/14,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/140,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/141,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/142,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/144,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/145,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/146,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/147,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/148,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/15,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/150,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/151,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/152,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/154,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/155,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/156,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/157,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/158,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/159,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/16,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/160,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/161,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/162,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/163,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/17,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/18,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/19,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/2,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/20,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/21,m4_assembly_without_repair,m4_best_single_particle,0.0,1.0,-1.0,loss,1
HumanEval/22,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/23,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/24,m4_assembly_without_repair,m4_best_single_particle,1.0,1.0,0.0,tie,1
HumanEval/25,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/26,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/28,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/29,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
HumanEval/3,m4_assembly_without_repair,m4_best_single_particle,0.0,0.0,0.0,tie,1
