row_key,task_group,length_bucket,fixed64_seed0_candidate_key,fixed64_seed0_canvas,fixed64_seed0_passed,ordinary_confidence_best_of_grid_candidate_key,ordinary_confidence_best_of_grid_canvas,ordinary_confidence_best_of_grid_passed,phase5_prefix_only_deterministic_proxy_candidate_key,phase5_prefix_only_deterministic_proxy_canvas,phase5_prefix_only_deterministic_proxy_passed,phase5_combined_deterministic_proxy_candidate_key,phase5_combined_deterministic_proxy_canvas,phase5_combined_deterministic_proxy_passed,fixed_score_only_abductive_selector_candidate_key,fixed_score_only_abductive_selector_canvas,fixed_score_only_abductive_selector_passed,best_of_8_oracle_ceiling_offline_only_candidate_key,best_of_8_oracle_ceiling_offline_only_canvas,best_of_8_oracle_ceiling_offline_only_passed
HumanEval-MultiLineInfilling:0:725433a7c0297770,HumanEval/0,medium,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:0:725433a7c0297770|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46,HumanEval/39,short,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1000:a0112b7a9df43b46|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:1001:7762ab933495c23b,HumanEval/39,long,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1001:7762ab933495c23b|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080,HumanEval/39,long,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1002:32bf28c19a3a3080|deployable_grid|canvas=64|seed=0,64,True
HumanEval-MultiLineInfilling:1003:691c958881f6a8cb,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1003:691c958881f6a8cb|deployable_grid|canvas=64|seed=0,64,True
HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1004:3f95f966932d7bb5|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1005:075561151c3a783e,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1005:075561151c3a783e|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1006:fa8c073707cb62c6|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1007:48ccaba64051bce3,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1007:48ccaba64051bce3|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af,HumanEval/39,short,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1008:9d2c39687d1a19af|deployable_grid|canvas=16|seed=0,16,True
