method,length_bucket,span_count,task_group_count,span_micro_accuracy_descriptive,mean_forward_count,mean_token_forward_budget
fixed64_seed0,extreme,3196,116,0.24061326658322904,64.0,4096.0
fixed64_seed0,long,611,120,0.37315875613747956,64.0,4096.0
fixed64_seed0,medium,693,122,0.4083694083694084,64.0,4096.0
fixed64_seed0,short,579,105,0.5474956822107081,64.0,4096.0
ordinary_confidence_best_of_grid,extreme,3196,116,0.02252816020025031,512.0,30720.0
ordinary_confidence_best_of_grid,long,611,120,0.22585924713584288,512.0,30720.0
ordinary_confidence_best_of_grid,medium,693,122,0.6522366522366523,512.0,30720.0
ordinary_confidence_best_of_grid,short,579,105,0.616580310880829,512.0,30720.0
phase5_prefix_only_deterministic_proxy,extreme,3196,116,0.1404881101376721,512.0,30720.0
phase5_prefix_only_deterministic_proxy,long,611,120,0.3567921440261866,512.0,30720.0
phase5_prefix_only_deterministic_proxy,medium,693,122,0.556998556998557,512.0,30720.0
phase5_prefix_only_deterministic_proxy,short,579,105,0.6027633851468048,512.0,30720.0
phase5_combined_deterministic_proxy,extreme,3196,116,0.17803504380475593,512.0,30720.0
phase5_combined_deterministic_proxy,long,611,120,0.3895253682487725,512.0,30720.0
phase5_combined_deterministic_proxy,medium,693,122,0.5454545454545454,512.0,30720.0
phase5_combined_deterministic_proxy,short,579,105,0.6269430051813472,512.0,30720.0
fixed_score_only_abductive_selector,extreme,3196,116,0.10919899874843554,512.0,30720.0
fixed_score_only_abductive_selector,long,611,120,0.3109656301145663,512.0,30720.0
fixed_score_only_abductive_selector,medium,693,122,0.6652236652236653,512.0,30720.0
fixed_score_only_abductive_selector,short,579,105,0.6390328151986183,512.0,30720.0
best_of_8_oracle_ceiling_offline_only,extreme,3196,116,0.3829787234042553,512.0,30720.0
best_of_8_oracle_ceiling_offline_only,long,611,120,0.6890343698854338,512.0,30720.0
best_of_8_oracle_ceiling_offline_only,medium,693,122,0.8354978354978355,512.0,30720.0
best_of_8_oracle_ceiling_offline_only,short,579,105,0.8238341968911918,512.0,30720.0
