task_group,method_a,method_b,method_a_accuracy,method_b_accuracy,task_macro_delta,outcome,span_count
HumanEval/0,ordinary_confidence_best_of_grid,fixed64_seed0,0.25,0.32142857142857145,-0.07142857142857145,loss,28
HumanEval/1,ordinary_confidence_best_of_grid,fixed64_seed0,0.19047619047619047,0.1619047619047619,0.028571428571428553,win,105
HumanEval/10,ordinary_confidence_best_of_grid,fixed64_seed0,0.19047619047619047,0.23809523809523808,-0.047619047619047616,loss,21
HumanEval/100,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.0,0.0,tie,1
HumanEval/101,ordinary_confidence_best_of_grid,fixed64_seed0,0.2545454545454545,0.2727272727272727,-0.018181818181818188,loss,55
HumanEval/102,ordinary_confidence_best_of_grid,fixed64_seed0,0.14285714285714285,0.0,0.14285714285714285,win,28
HumanEval/103,ordinary_confidence_best_of_grid,fixed64_seed0,0.38095238095238093,0.38095238095238093,0.0,tie,21
HumanEval/104,ordinary_confidence_best_of_grid,fixed64_seed0,0.26666666666666666,0.3333333333333333,-0.06666666666666665,loss,15
HumanEval/105,ordinary_confidence_best_of_grid,fixed64_seed0,0.1631578947368421,0.4105263157894737,-0.24736842105263157,loss,190
HumanEval/106,ordinary_confidence_best_of_grid,fixed64_seed0,0.21212121212121213,0.5303030303030303,-0.3181818181818181,loss,66
HumanEval/107,ordinary_confidence_best_of_grid,fixed64_seed0,0.12727272727272726,0.4727272727272727,-0.34545454545454546,loss,55
HumanEval/108,ordinary_confidence_best_of_grid,fixed64_seed0,0.10714285714285714,0.14285714285714285,-0.03571428571428571,loss,28
HumanEval/109,ordinary_confidence_best_of_grid,fixed64_seed0,0.24242424242424243,0.25757575757575757,-0.015151515151515138,loss,66
HumanEval/11,ordinary_confidence_best_of_grid,fixed64_seed0,0.23809523809523808,0.5714285714285714,-0.3333333333333333,loss,21
HumanEval/110,ordinary_confidence_best_of_grid,fixed64_seed0,0.21212121212121213,0.30303030303030304,-0.09090909090909091,loss,66
HumanEval/111,ordinary_confidence_best_of_grid,fixed64_seed0,0.21212121212121213,0.24242424242424243,-0.030303030303030304,loss,66
HumanEval/112,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.3333333333333333,-0.3333333333333333,loss,3
HumanEval/113,ordinary_confidence_best_of_grid,fixed64_seed0,0.26666666666666666,0.4666666666666667,-0.2,loss,15
HumanEval/114,ordinary_confidence_best_of_grid,fixed64_seed0,0.12121212121212122,0.09090909090909091,0.030303030303030304,win,66
HumanEval/115,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.0,0.0,tie,1
HumanEval/116,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.0,0.0,tie,1
HumanEval/117,ordinary_confidence_best_of_grid,fixed64_seed0,0.1111111111111111,0.37777777777777777,-0.26666666666666666,loss,45
HumanEval/118,ordinary_confidence_best_of_grid,fixed64_seed0,0.2222222222222222,0.1111111111111111,0.1111111111111111,win,36
HumanEval/119,ordinary_confidence_best_of_grid,fixed64_seed0,0.18681318681318682,0.32967032967032966,-0.14285714285714285,loss,91
HumanEval/12,ordinary_confidence_best_of_grid,fixed64_seed0,0.42857142857142855,0.5714285714285714,-0.14285714285714285,loss,21
HumanEval/120,ordinary_confidence_best_of_grid,fixed64_seed0,0.06666666666666667,0.06666666666666667,0.0,tie,15
HumanEval/121,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.0,0.0,tie,1
HumanEval/122,ordinary_confidence_best_of_grid,fixed64_seed0,0.0,0.0,0.0,tie,1
HumanEval/123,ordinary_confidence_best_of_grid,fixed64_seed0,0.16666666666666666,0.1794871794871795,-0.01282051282051283,loss,78
HumanEval/124,ordinary_confidence_best_of_grid,fixed64_seed0,0.30833333333333335,0.5083333333333333,-0.19999999999999996,loss,120
