method,canvas_tokens,span_count
fixed64_seed0,64,5079
ordinary_confidence_best_of_grid,16,5079
phase5_prefix_only_deterministic_proxy,16,1715
phase5_prefix_only_deterministic_proxy,32,1215
phase5_prefix_only_deterministic_proxy,64,1066
phase5_prefix_only_deterministic_proxy,128,1083
phase5_combined_deterministic_proxy,16,987
phase5_combined_deterministic_proxy,32,1200
phase5_combined_deterministic_proxy,64,1403
phase5_combined_deterministic_proxy,128,1489
fixed_score_only_abductive_selector,16,3273
fixed_score_only_abductive_selector,32,1128
fixed_score_only_abductive_selector,64,465
fixed_score_only_abductive_selector,128,213
best_of_8_oracle_ceiling_offline_only,16,3397
best_of_8_oracle_ceiling_offline_only,32,798
best_of_8_oracle_ceiling_offline_only,64,597
best_of_8_oracle_ceiling_offline_only,128,287
