base_threshold,slope,min_threshold,min_base_length,max_expansion,require_raw_confirm,raw_margin,min_raw_threshold,policy,rows,promoted_count,improved_count,worsened_count,current_avg_abs_error,new_avg_abs_error,avg_abs_error_delta,current_under_count,new_under_count,current_over_count,new_over_count,true_long_count,true_long_improved_count,failed_true_long_count,failed_true_long_improved_count,short_promoted_count,current_pass_promoted_count,promoted_rate,improved_rate,worsened_rate,score,bucket_<=8_n,bucket_<=8_promoted,bucket_<=8_improved,bucket_<=8_worsened,bucket_9-12_n,bucket_9-12_promoted,bucket_9-12_improved,bucket_9-12_worsened,bucket_13-16_n,bucket_13-16_promoted,bucket_13-16_improved,bucket_13-16_worsened,bucket_17-24_n,bucket_17-24_promoted,bucket_17-24_improved,bucket_17-24_worsened,bucket_25+_n,bucket_25+_promoted,bucket_25+_improved,bucket_25+_worsened
0.985,0.02,0.85,12,1.5,False,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.85,12,1.5,True,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx1p5_raw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.85,12,2.0,False,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx2_noraw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.85,12,2.0,True,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx2_raw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.85,12,3.0,False,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx3_noraw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.85,12,3.0,True,0.05,0.75,base0p985_slope0p02_min0p85_minbase12_maxx3_raw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.88,12,1.5,False,0.05,0.75,base0p985_slope0p02_min0p88_minbase12_maxx1p5_noraw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.88,12,1.5,True,0.05,0.75,base0p985_slope0p02_min0p88_minbase12_maxx1p5_raw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.88,12,2.0,False,0.05,0.75,base0p985_slope0p02_min0p88_minbase12_maxx2_noraw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
0.985,0.02,0.88,12,2.0,True,0.05,0.75,base0p985_slope0p02_min0p88_minbase12_maxx2_raw,1033,5,0,5,3.006776379477251,3.014520813165537,0.007744433688286367,319,319,194,197,113,0,91,0,1,4,0.00484027105517909,0.0,0.00484027105517909,-17,598,1,0,1,232,1,0,1,90,3,0,3,82,0,0,0,31,0,0,0
