task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/0/L0,9-12,11,11,11,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,5.0,11.0,16.0,0.8811312434884386,0.7630571037071735,tie_pass,tie_pass,11,True,True,False,
SingleLineInfilling/HumanEval/0/L1,13-16,13,13,13,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,4.0,13.0,13.0,1.1663706994382568,1.0,tie_pass,tie_pass,13,True,True,False,
SingleLineInfilling/HumanEval/0/L2,<=8,8,8,8,,0,0,global_gap_early_commit,primary,0.8828125,0.90625,0.9296875,8.0,4.0,13.0,0.8337728046765663,0.7672274382902425,tie_pass,tie_pass,8,True,True,False,
SingleLineInfilling/HumanEval/0/L3,9-12,10,10,10,,0,0,global_gap_early_commit,primary,0.93359375,0.95703125,0.9765625,6.0,10.0,13.0,0.6378589762552966,0.5734729742916371,tie_pass,tie_pass,10,True,True,False,
SingleLineInfilling/HumanEval/0/L4,<=8,8,8,8,,1,1,global_gap_early_commit,primary,0.9140625,0.9140625,0.9453125,8.0,8.0,13.0,0.48978457105317424,0.46503186114212575,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/0/L5,<=8,4,4,4,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,14.0,4.0,13.0,0.43055480897232523,0.3961912181334859,tie_pass,tie_pass,4,True,True,False,
SingleLineInfilling/HumanEval/0/L7,<=8,3,3,3,,-1,1,global_gap_early_commit,primary,0.99609375,0.99609375,0.99609375,21.0,3.0,13.0,0.4761161644191322,0.46198583844090985,tie_pass,tie_pass,4,True,True,False,
SingleLineInfilling/HumanEval/1/L0,<=8,9,9,9,,4,4,global_gap_early_commit,primary,1.0,0.984375,1.0,7.0,9.0,16.0,0.8396119702350567,0.753570741014637,tie_pass,tie_pass,5,True,True,False,
SingleLineInfilling/HumanEval/1/L1,<=8,6,6,6,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,10.0,6.0,15.0,0.7674356704808575,0.6892121205004569,tie_pass,tie_pass,6,True,True,False,
SingleLineInfilling/HumanEval/1/L10,<=8,6,6,6,,-1,1,global_gap_early_commit,primary,1.0,0.9921875,1.0,10.0,6.0,15.0,0.845557864481903,0.7653507408188394,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L12,9-12,9,9,9,,0,0,global_gap_early_commit,primary,0.99609375,0.99609375,1.0,7.0,9.0,15.0,0.6479546678910234,0.5701509564413794,tie_pass,tie_pass,9,True,True,False,
SingleLineInfilling/HumanEval/1/L13,9-12,7,7,7,,-3,3,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,7.0,13.0,0.5968537563531705,0.5310825710603095,tie_fail;unchanged_fail,tie_fail,10,False,False,False,
SingleLineInfilling/HumanEval/1/L14,<=8,6,6,6,,0,0,global_gap_early_commit,primary,0.92578125,0.96875,0.984375,10.0,6.0,16.0,0.8488384754024749,0.7869085537013513,tie_pass,tie_pass,6,True,True,False,
SingleLineInfilling/HumanEval/1/L16,<=8,3,3,32,32,28,28,global_gap_early_commit,rescue,0.30078125,0.30078125,0.7890625,21.0,,,,,tie_fail;unchanged_fail,tie_fail,4,False,False,True,True
SingleLineInfilling/HumanEval/1/L2,<=8,6,6,6,,-1,1,global_gap_early_commit,primary,0.9921875,0.99609375,0.99609375,10.0,6.0,13.0,0.6378589762552966,0.5750894245875431,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L4,<=8,8,8,8,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,8.0,15.0,0.8823212498941595,0.7788276109724903,tie_pass,tie_pass,8,True,True,False,
SingleLineInfilling/HumanEval/1/L5,<=8,7,7,7,,0,0,global_gap_early_commit,primary,0.99609375,0.99609375,1.0,8.0,7.0,14.0,0.8740999272221553,0.7808272953751145,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L6,<=8,7,7,7,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,7.0,14.0,0.8146062148981343,0.7248394743348423,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L7,<=8,7,7,7,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,7.0,14.0,0.8283355331267546,0.7370558699696992,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L8,<=8,7,7,7,,0,0,global_gap_early_commit,primary,0.9765625,0.984375,0.98828125,8.0,7.0,20.0,0.5166353424409538,0.46515497920983656,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/1/L9,<=8,7,7,7,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,7.0,14.0,0.8374884119458348,0.7452001337262705,tie_pass,tie_pass,7,True,True,False,
SingleLineInfilling/HumanEval/10/L0,<=8,6,6,6,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,10.0,6.0,14.0,0.8237590937172145,0.7397945829213806,tie_pass,tie_pass,6,True,True,False,
SingleLineInfilling/HumanEval/10/L1,<=8,4,4,4,,0,0,global_gap_early_commit,primary,0.8125,0.86328125,0.90625,14.0,4.0,20.0,0.5727405380001523,0.5815489876744686,tie_pass,tie_pass,4,True,True,False,
SingleLineInfilling/HumanEval/10/L3,<=8,8,8,8,,0,0,global_gap_early_commit,primary,0.98046875,0.984375,0.98828125,8.0,8.0,15.0,0.6295729751848951,0.5645469984297946,tie_pass,tie_pass,8,True,True,False,
SingleLineInfilling/HumanEval/10/L5,17-24,16,16,16,,-1,1,global_gap_early_commit,primary,0.99609375,0.98046875,1.0,4.0,16.0,16.0,1.0795011045879301,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/10/L6,<=8,8,8,8,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,8.0,15.0,0.7076951691859404,0.6246846463008516,tie_pass,tie_pass,8,True,True,False,
SingleLineInfilling/HumanEval/10/L8,13-16,3,3,32,32,17,17,no_remaining_masks,rescue,0.4296875,0.4296875,0.80859375,21.0,,,,,tie_fail;unchanged_fail,tie_fail,15,False,False,True,True
SingleLineInfilling/HumanEval/100/L0,13-16,3,3,32,32,17,17,no_remaining_masks,rescue,0.1494140625,0.20703125,0.71484375,21.0,,,,,tie_fail;unchanged_fail,tie_fail,15,False,False,True,True
SingleLineInfilling/HumanEval/101/L0,<=8,6,6,6,,0,0,global_gap_early_commit,primary,0.97265625,0.9921875,0.9921875,10.0,6.0,14.0,0.7047716690691724,0.6379191084228458,tie_pass,tie_pass,6,True,True,False,
SingleLineInfilling/HumanEval/101/L1,<=8,4,4,4,,0,0,global_gap_early_commit,primary,0.88671875,0.91796875,0.9453125,14.0,4.0,13.0,0.46700389332977077,0.458379963131511,tie_pass,tie_pass,4,True,True,False,
SingleLineInfilling/HumanEval/101/L11,9-12,12,12,12,,1,1,global_gap_early_commit,primary,0.9375,0.94140625,0.9765625,5.0,12.0,13.0,0.9157832444808188,0.8311425381180771,tie_pass,tie_pass,11,True,True,False,
SingleLineInfilling/HumanEval/101/L12,<=8,4,4,4,,-3,3,global_gap_early_commit,primary,0.921875,0.5078125,0.9609375,14.0,4.0,13.0,0.35993470802977456,0.7887359365602676,tie_fail;unchanged_fail,tie_fail,7,False,False,False,
SingleLineInfilling/HumanEval/101/L3,<=8,5,5,5,,-1,1,global_gap_early_commit,primary,1.0,1.0,1.0,12.0,5.0,13.0,0.6241905696212546,0.56673365383087,tie_pass,tie_pass,6,True,True,False,
SingleLineInfilling/HumanEval/101/L5,<=8,7,7,7,,0,0,global_gap_early_commit,primary,1.0,1.0,1.0,8.0,7.0,14.0,0.6864659114310121,0.6108197817428447,tie_pass,tie_pass,7,True,True,False,
