class,feature,count,mean,median,min,max
route2_win,baseline_selected_length,6,3.0,3.0,3.0,3.0
route2_win,route2_primary_selected_length,6,3.0,3.0,3.0,3.0
route2_win,route2_selected_length,6,32.0,32.0,32.0,32.0
route2_win,route2_rescue_length,6,32.0,32.0,32.0,32.0
route2_win,route2_trace_top1_last,6,0.18428548177083334,0.16748046875,0.057861328125,0.33203125
route2_win,route2_trace_top1_median,6,0.23649088541666666,0.22412109375,0.173828125,0.33203125
route2_win,route2_trace_confidence_max,6,0.6875,0.712890625,0.55078125,0.74609375
route2_win,route2_trace_max_remaining_plateau_steps,6,21.0,21.0,21.0,21.0
short_or_medium_win,baseline_selected_length,4,3.0,3.0,3.0,3.0
short_or_medium_win,route2_primary_selected_length,4,3.0,3.0,3.0,3.0
short_or_medium_win,route2_selected_length,4,32.0,32.0,32.0,32.0
short_or_medium_win,route2_rescue_length,4,32.0,32.0,32.0,32.0
short_or_medium_win,route2_trace_top1_last,4,0.19830322265625,0.20166015625,0.057861328125,0.33203125
short_or_medium_win,route2_trace_top1_median,4,0.242919921875,0.22412109375,0.19140625,0.33203125
short_or_medium_win,route2_trace_confidence_max,4,0.6748046875,0.701171875,0.55078125,0.74609375
short_or_medium_win,route2_trace_max_remaining_plateau_steps,4,21.0,21.0,21.0,21.0
triggered_rescued_long,baseline_selected_length,2,3.0,3.0,3.0,3.0
triggered_rescued_long,route2_primary_selected_length,2,3.0,3.0,3.0,3.0
triggered_rescued_long,route2_selected_length,2,32.0,32.0,32.0,32.0
triggered_rescued_long,route2_rescue_length,2,32.0,32.0,32.0,32.0
triggered_rescued_long,route2_trace_top1_last,2,0.15625,0.15625,0.1435546875,0.1689453125
triggered_rescued_long,route2_trace_top1_median,2,0.2236328125,0.2236328125,0.173828125,0.2734375
triggered_rescued_long,route2_trace_confidence_max,2,0.712890625,0.712890625,0.7109375,0.71484375
triggered_rescued_long,route2_trace_max_remaining_plateau_steps,2,21.0,21.0,21.0,21.0
triggered_failed_long,baseline_selected_length,33,3.0,3.0,3.0,3.0
triggered_failed_long,route2_primary_selected_length,33,3.0,3.0,3.0,3.0
triggered_failed_long,route2_selected_length,33,32.0,32.0,32.0,32.0
triggered_failed_long,route2_rescue_length,33,32.0,32.0,32.0,32.0
triggered_failed_long,route2_trace_top1_last,33,0.2652994791666667,0.25390625,0.040283203125,0.515625
triggered_failed_long,route2_trace_top1_median,33,0.3033854166666667,0.26953125,0.1875,0.4453125
triggered_failed_long,route2_trace_confidence_max,33,0.7208806818181818,0.734375,0.4765625,0.8359375
triggered_failed_long,route2_trace_max_remaining_plateau_steps,33,21.0,21.0,21.0,21.0
missed_failed_long,baseline_selected_length,56,9.178571428571429,8.5,3.0,21.0
missed_failed_long,route2_primary_selected_length,56,9.178571428571429,8.5,3.0,21.0
missed_failed_long,route2_selected_length,56,9.178571428571429,8.5,3.0,21.0
missed_failed_long,route2_trace_top1_last,56,0.83526611328125,0.8671875,0.11474609375,1.0
missed_failed_long,route2_trace_top1_median,56,0.8660714285714286,0.9033203125,0.484375,1.0
missed_failed_long,route2_trace_confidence_max,56,0.9387555803571429,0.95703125,0.65625,1.0
missed_failed_long,route2_trace_max_remaining_plateau_steps,56,8.392857142857142,7.5,3.0,21.0
missed_failed_long,route2_best_len,56,8.339285714285714,7.0,3.0,20.0
missed_failed_long,route2_best_long_len,56,15.357142857142858,14.0,13.0,24.0
missed_failed_long,route2_long_score_max,56,0.783846885066289,0.7770582857620305,0.2961488104042449,1.1626420636626165
missed_failed_long,route2_long_ratio,56,0.7898062424063232,0.7912319463497783,0.36786651330440423,1.0
unchanged_fail,baseline_selected_length,232,6.939655172413793,6.0,3.0,21.0
unchanged_fail,route2_primary_selected_length,232,6.939655172413793,6.0,3.0,21.0
unchanged_fail,route2_selected_length,232,13.314655172413794,8.0,3.0,32.0
unchanged_fail,route2_rescue_length,51,32.0,32.0,32.0,32.0
unchanged_fail,route2_trace_top1_last,232,0.7187100114493534,0.859375,0.0400390625,1.0
unchanged_fail,route2_trace_top1_median,232,0.7430504108297413,0.875,0.150390625,1.0
unchanged_fail,route2_trace_confidence_max,232,0.8903640220905172,0.94140625,0.4765625,1.0
unchanged_fail,route2_trace_max_remaining_plateau_steps,232,11.892241379310345,10.0,3.0,21.0
unchanged_fail,route2_best_len,181,7.337016574585635,7.0,3.0,20.0
unchanged_fail,route2_best_long_len,181,14.878453038674033,14.0,13.0,24.0
unchanged_fail,route2_long_score_max,181,0.7270304099507643,0.7198694160595491,0.25514359050211866,1.1922354056329703
unchanged_fail,route2_long_ratio,181,0.7272708355511075,0.7299558850464575,0.36786651330440423,1.0
