task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/10/L5,17-24,16,16,16,,-1,1,global_gap_early_commit,primary,0.99609375,0.98046875,1.0,4.0,16.0,16.0,1.0795011045879301,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/104/L2,17-24,6,6,6,,-14,14,global_gap_early_commit,primary,0.7578125,0.828125,0.87890625,10.0,6.0,13.0,0.5262336554106197,0.5449749445838036,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/107/L7,17-24,10,10,10,,-7,7,global_gap_early_commit,primary,0.9921875,0.984375,0.99609375,6.0,10.0,20.0,0.9865163552492421,0.9819655157923063,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/107/L9,17-24,4,4,4,,-13,13,global_gap_early_commit,primary,1.0,1.0,1.0,14.0,4.0,16.0,1.0702745994205118,0.9848534691642402,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/108/L2,17-24,14,14,14,,-6,6,global_gap_early_commit,primary,0.9921875,0.98828125,0.99609375,4.0,14.0,14.0,1.1441098523850202,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/109/L7,17-24,4,4,4,,-14,14,global_gap_early_commit,primary,0.859375,0.83984375,0.9296875,14.0,4.0,16.0,0.4036596010745465,0.4226191132045782,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/112/L0,17-24,9,9,9,,-10,10,global_gap_early_commit,primary,0.46484375,0.66015625,0.87890625,7.0,9.0,13.0,0.4259986734276446,0.5793082551308214,tie_fail;missed_failed_long;unchanged_fail,tie_fail,19,False,False,False,
SingleLineInfilling/HumanEval/113/L3,25+,6,6,6,,-38,38,global_gap_early_commit,primary,0.8984375,0.9140625,0.94921875,10.0,6.0,24.0,0.45614195809024183,0.4443640433634094,tie_fail;missed_failed_long;unchanged_fail,tie_fail,44,False,False,False,
SingleLineInfilling/HumanEval/117/L4,17-24,6,6,6,,-15,15,global_gap_early_commit,primary,0.671875,0.78125,0.84375,10.0,6.0,13.0,0.6333028407106159,0.6740755507442283,tie_fail;missed_failed_long;unchanged_fail,tie_fail,21,False,False,False,
SingleLineInfilling/HumanEval/118/L4,17-24,9,9,9,,-8,8,global_gap_early_commit,primary,0.99609375,0.99609375,1.0,7.0,9.0,14.0,0.6040900020592906,0.5336461077454591,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
