task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/108/L6,25+,3,3,32,32,6,6,no_remaining_masks,rescue,0.267578125,0.330078125,0.75390625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,26,False,False,True,True
SingleLineInfilling/HumanEval/11/L6,17-24,3,3,32,32,10,10,no_remaining_masks,rescue,0.37890625,0.37890625,0.7890625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,22,False,False,True,True
SingleLineInfilling/HumanEval/115/L0,17-24,3,3,32,32,15,15,no_remaining_masks,rescue,0.07666015625,0.220703125,0.6875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,17,False,False,True,True
SingleLineInfilling/HumanEval/121/L0,25+,3,3,32,32,4,4,no_remaining_masks,rescue,0.1640625,0.2109375,0.71875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,28,False,False,True,True
SingleLineInfilling/HumanEval/122/L0,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.11181640625,0.216796875,0.703125,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,21,False,False,True,True
SingleLineInfilling/HumanEval/125/L5,17-24,3,3,32,32,8,8,no_remaining_masks,rescue,0.4375,0.4375,0.80859375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,24,False,False,True,True
SingleLineInfilling/HumanEval/134/L2,25+,3,3,32,32,4,4,no_remaining_masks,rescue,0.515625,0.44140625,0.8359375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,28,False,False,True,True
SingleLineInfilling/HumanEval/136/L2,17-24,3,3,32,32,9,9,no_remaining_masks,rescue,0.392578125,0.3828125,0.796875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,23,False,False,True,True
SingleLineInfilling/HumanEval/15/L0,17-24,3,3,32,32,13,13,no_remaining_masks,rescue,0.197265625,0.25,0.73046875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,19,False,False,True,True
SingleLineInfilling/HumanEval/151/L0,25+,3,3,32,32,2,2,no_remaining_masks,rescue,0.41796875,0.41796875,0.8046875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,30,False,False,True,True
SingleLineInfilling/HumanEval/152/L0,17-24,3,3,32,32,14,14,no_remaining_masks,rescue,0.171875,0.1875,0.71484375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,18,False,False,True,True
SingleLineInfilling/HumanEval/157/L0,25+,3,3,32,32,3,3,no_remaining_masks,rescue,0.045654296875,0.224609375,0.6796875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,29,False,False,True,True
SingleLineInfilling/HumanEval/158/L0,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.11572265625,0.189453125,0.703125,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,21,False,False,True,True
SingleLineInfilling/HumanEval/162/L1,17-24,3,3,32,32,13,13,global_gap_early_commit,rescue,0.2138671875,0.2138671875,0.4765625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,19,False,False,True,True
SingleLineInfilling/HumanEval/163/L3,25+,3,3,32,32,7,7,no_remaining_masks,rescue,0.26953125,0.26953125,0.75390625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,25,False,False,True,True
SingleLineInfilling/HumanEval/17/L1,17-24,3,3,32,32,13,13,no_remaining_masks,rescue,0.361328125,0.361328125,0.78515625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,19,False,False,True,True
SingleLineInfilling/HumanEval/19/L12,25+,3,3,32,32,5,5,no_remaining_masks,rescue,0.486328125,0.419921875,0.828125,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,27,False,False,True,True
SingleLineInfilling/HumanEval/21/L2,17-24,3,3,32,32,10,10,no_remaining_masks,rescue,0.08642578125,0.271484375,0.6953125,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,22,False,False,True,True
SingleLineInfilling/HumanEval/26/L2,17-24,3,3,32,32,15,15,no_remaining_masks,rescue,0.2333984375,0.333984375,0.7421875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,17,False,False,True,True
SingleLineInfilling/HumanEval/4/L1,17-24,3,3,32,32,13,13,no_remaining_masks,rescue,0.234375,0.26953125,0.7421875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,19,False,False,True,True
SingleLineInfilling/HumanEval/51/L0,25+,3,3,32,32,-2,2,global_gap_early_commit,rescue,0.44140625,0.44140625,0.625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,34,False,False,True,False
SingleLineInfilling/HumanEval/6/L12,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.28515625,0.28515625,0.76171875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,21,False,False,True,True
SingleLineInfilling/HumanEval/62/L0,17-24,3,3,32,32,12,12,no_remaining_masks,rescue,0.142578125,0.1923828125,0.7109375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,20,False,False,True,True
SingleLineInfilling/HumanEval/77/L1,17-24,3,3,32,32,13,13,global_gap_early_commit,rescue,0.345703125,0.345703125,0.5625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,19,False,False,True,True
SingleLineInfilling/HumanEval/79/L0,17-24,3,3,32,32,15,15,no_remaining_masks,rescue,0.25390625,0.25390625,0.75,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,17,False,False,True,True
SingleLineInfilling/HumanEval/83/L1,17-24,3,3,32,32,15,15,global_gap_early_commit,rescue,0.4453125,0.4453125,0.62890625,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,17,False,False,True,True
SingleLineInfilling/HumanEval/84/L0,17-24,3,3,32,32,15,15,no_remaining_masks,rescue,0.1103515625,0.2451171875,0.69921875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,17,False,False,True,True
SingleLineInfilling/HumanEval/85/L0,25+,3,3,32,32,0,0,no_remaining_masks,rescue,0.2314453125,0.255859375,0.7421875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,32,False,False,True,True
SingleLineInfilling/HumanEval/86/L0,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.25390625,0.263671875,0.75,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,21,False,False,True,True
SingleLineInfilling/HumanEval/87/L1,25+,3,3,32,32,5,5,global_gap_early_commit,rescue,0.39453125,0.39453125,0.59375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,27,False,False,True,True
SingleLineInfilling/HumanEval/88/L0,25+,3,3,32,32,-2,2,no_remaining_masks,rescue,0.421875,0.421875,0.8046875,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,34,False,False,True,False
SingleLineInfilling/HumanEval/91/L2,17-24,3,3,32,32,12,12,no_remaining_masks,rescue,0.2099609375,0.2373046875,0.734375,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,20,False,False,True,True
SingleLineInfilling/HumanEval/97/L0,17-24,3,3,32,32,14,14,no_remaining_masks,rescue,0.040283203125,0.201171875,0.67578125,21.0,,,,,tie_fail;triggered_failed_long;unchanged_fail,tie_fail,18,False,False,True,True
