task_id,stratum,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,candidate_sha256,compile_passed,error_type,error_message,total_sec_including_probe,decode_sec,verification_sec
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,primary_control,ok,False,40,5,-35,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,True,UnitTestFailure,failed: Test 1,3.069086005911231,2.731148830614984,0.12217507231980562
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,best_simple_length_policy,ok,False,40,5,-35,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,True,UnitTestFailure,failed: Test 1,3.270845995284617,2.7289210064336658,0.15856896806508303
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,oracle_sufficient_canvas,ok,True,40,40,0,3a92fd33c5d96e04f80aec9df9bcb0667106f3f5f7c47098fb28e70b8d040a2e,True,,,1.6207741469261236,1.5097114199888892,0.1110627269372344
SingleLineInfilling/HumanEval/148/L0,missed_failed_long,primary_control,ok,False,36,20,-16,d4a3f35af71c08a0f12dd8d91c5479c899d02027452c3969d82961701275fa91,True,UnitTestFailure,failed: First test error: 21,4.4695030599832535,4.096759575419128,0.1636248603463173
SingleLineInfilling/HumanEval/148/L0,missed_failed_long,best_simple_length_policy,ok,False,36,32,-4,134a9e1904111a99149ea405937a84df3af9dba297d084a98e5acc0d9abeaf38,True,UnitTestFailure,failed: First test error: 2,4.689414779655635,4.168169043958187,0.18360314145684242
SingleLineInfilling/HumanEval/148/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,36,36,0,1c2af24c000533dfcb3f08054162c13dcf819bbc02090003600c0195a4138e5d,True,UnitTestFailure,failed: First test error: 2,1.4777842539479025,1.3824790060170926,0.09530524793080986
SingleLineInfilling/HumanEval/87/L0,missed_failed_long,primary_control,ok,False,32,4,-28,819479fc4dd87f67849fffecd008b0f25ec220a644b048ed4a7d666e0bb2fbd0,True,UnitTestFailure,failed: ,4.286768629215658,3.9130871053785086,0.15643965266644955
SingleLineInfilling/HumanEval/87/L0,missed_failed_long,best_simple_length_policy,ok,False,32,4,-28,819479fc4dd87f67849fffecd008b0f25ec220a644b048ed4a7d666e0bb2fbd0,True,UnitTestFailure,failed: ,4.4625024646520615,3.9193201577290893,0.15660533495247364
SingleLineInfilling/HumanEval/87/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,32,32,0,2d1465d5a81235597846f4751e6054a1b82b17c3892384e9390bfd9db8a66869,False,SyntaxError,"invalid non-printable character U+200B (<unknown>, line 27)",1.2687977909808978,1.268689596967306,0.00010819401359185576
SingleLineInfilling/HumanEval/51/L0,missed_failed_long,primary_control,ok,False,32,3,-29,9f4bb6a0444828f4ec116c4c89833030725ce16c1d6866968178b70d63d7cbbb,True,UnitTestFailure,failed: ,2.4060492627322674,2.0266884565353394,0.15280218422412872
SingleLineInfilling/HumanEval/51/L0,missed_failed_long,best_simple_length_policy,ok,False,32,3,-29,9f4bb6a0444828f4ec116c4c89833030725ce16c1d6866968178b70d63d7cbbb,True,UnitTestFailure,failed: ,2.543351133354008,2.01740201190114,0.1390986042097211
SingleLineInfilling/HumanEval/51/L0,missed_failed_long,oracle_sufficient_canvas,ok,True,32,32,0,63bd5fead85d6c72a7addff467b50604cf383f092b0060bb3709be9f4a273a58,True,,,1.2463955480488949,1.1558973510400392,0.09049819700885564
SingleLineInfilling/HumanEval/88/L0,missed_failed_long,primary_control,ok,False,33,3,-30,7861f6c94337a5845de16d97b9a151dedccfce38dba9a2d02f742eb9330bd288,True,UnitTestFailure,failed: Error,2.9887745566666126,2.6727245897054672,0.09964630380272865
SingleLineInfilling/HumanEval/88/L0,missed_failed_long,best_simple_length_policy,ok,False,33,3,-30,7861f6c94337a5845de16d97b9a151dedccfce38dba9a2d02f742eb9330bd288,True,UnitTestFailure,failed: Error,3.267655024304986,2.6712515940889716,0.2089157309383154
SingleLineInfilling/HumanEval/88/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,33,33,0,7a34d5b9f0cad0b3e830ef5511b02a1df2f270d6af44ed6284d3da4bab62c812,True,UnitTestFailure,failed: Error,1.2642211120110005,1.1686413629795425,0.09557974903145805
SingleLineInfilling/HumanEval/85/L0,missed_failed_long,primary_control,ok,False,29,3,-26,1c1270111d894c7f12b0ac03cc38ba71d246e13f0d4970943c9e70637592ff53,True,UnitTestFailure,failed: ,2.0954169146716595,1.7566193118691444,0.1238515991717577
SingleLineInfilling/HumanEval/85/L0,missed_failed_long,best_simple_length_policy,ok,False,29,9,-20,6eea4234c266c17496a270275d127ba5647b2bf8ae748fe725ba134afe2c30fe,True,UnitTestFailure,failed: ,2.3928209599107504,1.8315470600500703,0.21475282777100801
SingleLineInfilling/HumanEval/85/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,29,29,0,9337cd32713c48ee9960db85543694aca96effd7f4cf7f629de9f60547d054b6,True,UnitTestFailure,failed: ,1.2263125340105034,1.128214669006411,0.09809786500409245
SingleLineInfilling/HumanEval/130/L7,missed_failed_long,primary_control,ok,False,30,11,-19,f6c192e0c02cb574b7d70302665ef71d5f5654ba334b0cd45e08296492ae9be0,True,UnitTestFailure,failed: ,4.350769680924714,4.000910621136427,0.13096943031996489
SingleLineInfilling/HumanEval/130/L7,missed_failed_long,best_simple_length_policy,ok,False,30,3,-27,d597a149c062fe8bfa5f9bfce54d25ee00d1f0bb68df9322583d1ad9c3f7ec9c,True,UnitTestFailure,failed: ,4.503396263346076,3.9447133149951696,0.18188453279435635
