task_id,stratum,primary_pass,simple_pass,oracle_pass,oracle_length,primary_selected_length,simple_selected_length,oracle_selected_length,regime_label,primary_error_type,simple_error_type,oracle_error_type,oracle_candidate_sha256
SingleLineInfilling/HumanEval/0/L4,short_primary_pass_harmable,True,True,True,6,6,6,6,stable_pass,,,,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9
SingleLineInfilling/HumanEval/1/L0,short_primary_pass_harmable,True,True,True,4,8,8,4,stable_pass,,,,75d1216ea08a8516c77e56e76872cce1f83f2c11f111641eb17b2acc5ac1122f
SingleLineInfilling/HumanEval/1/L1,short_primary_pass_harmable,True,True,True,5,9,9,5,stable_pass,,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621
SingleLineInfilling/HumanEval/1/L4,short_primary_pass_harmable,True,True,True,7,7,7,7,stable_pass,,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621
SingleLineInfilling/HumanEval/1/L8,short_primary_pass_harmable,True,True,True,6,6,6,6,stable_pass,,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621
SingleLineInfilling/HumanEval/10/L3,short_primary_pass_harmable,False,False,True,8,11,11,8,canvas_recoverable,UnitTestFailure,UnitTestFailure,,eb415b99b4337c2c8faccfe3ba52ec4bec0e76342f795896c71e6ef03cc3cd90
SingleLineInfilling/HumanEval/10/L5,triggered_failed_long,False,False,True,14,13,13,14,canvas_recoverable,UnitTestFailure,UnitTestFailure,,4f93855da57c185ede19a14d11665607cecc1dd05277e38c4736ef3f7c56a9b4
SingleLineInfilling/HumanEval/106/L0,positive_control_recoverable,True,True,True,4,4,4,4,stable_pass,,,,55dfbf20b6987bafa8e465ffd04f59ebfb58b9e610fae0d3a530353ba73a600e
SingleLineInfilling/HumanEval/11/L6,medium_near_long_underselection,False,False,True,20,11,11,20,canvas_recoverable,UnitTestFailure,UnitTestFailure,,265342630546d63c3fd63c11e4f9f175d75ff13bed76e5d2a4e6e59ab969c24e
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,False,False,True,40,5,5,40,canvas_recoverable,UnitTestFailure,UnitTestFailure,,3a92fd33c5d96e04f80aec9df9bcb0667106f3f5f7c47098fb28e70b8d040a2e
SingleLineInfilling/HumanEval/116/L0,medium_near_long_underselection,False,False,True,19,3,3,19,canvas_recoverable,UnitTestFailure,UnitTestFailure,,fbf309304e534f4570c80f607221b5aeb0c297564d887d2449f66295eb5d5ebe
SingleLineInfilling/HumanEval/12/L3,positive_control_recoverable,True,True,True,12,12,12,12,stable_pass,,,,0af140ec060481e0ae01d5040ba9578c7a4db7213da0968fd452fe4d4576cbff
SingleLineInfilling/HumanEval/122/L0,medium_near_long_underselection,False,False,True,20,7,7,20,canvas_recoverable,UnitTestFailure,UnitTestFailure,,f0cb7a28b19a178e1ee80856faedca11c7ea85db433606e54199ce6309590dab
SingleLineInfilling/HumanEval/125/L5,medium_near_long_underselection,False,False,False,23,5,5,23,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,a207c2643361d63d68692aa5977f2e7ce9369b22c9e80d3fb8d60817792b2c72
SingleLineInfilling/HumanEval/128/L1,missed_failed_long,False,False,False,28,6,13,28,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,63f54a996b14f1db84aea1e8fb2625cab05ce3caa19edf8cec0b576e22a16f8b
SingleLineInfilling/HumanEval/130/L7,missed_failed_long,False,False,False,30,11,3,30,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,c402cd8df594dc524c06a7c89ee5d4803c67c62a518d08496f0d17bcb30166fc
SingleLineInfilling/HumanEval/133/L3,positive_control_recoverable,False,False,True,9,7,7,9,canvas_recoverable,UnitTestFailure,UnitTestFailure,,4ce782e063c80803e0368a885d61ed9776b5573cea1c4610d8e64bcdd9406d68
SingleLineInfilling/HumanEval/136/L2,medium_near_long_underselection,False,False,True,21,11,11,21,canvas_recoverable,UnitTestFailure,UnitTestFailure,,6e4b94446fb2b084c8361138d9597230465f54340a139729ebf5ec839c3f2410
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,False,False,True,21,16,16,21,canvas_recoverable,UnitTestFailure,UnitTestFailure,,231679ab9618259b17033db724936e33316ee85084a91f015a138972bfaf779d
SingleLineInfilling/HumanEval/147/L4,positive_control_recoverable,True,True,True,10,10,10,10,stable_pass,,,,4ca09e8b1a4f2d3cf9fe96c39a437dc587815274d932a077ff4ec9ecb0224368
SingleLineInfilling/HumanEval/148/L0,missed_failed_long,False,False,False,36,20,32,36,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,1c2af24c000533dfcb3f08054162c13dcf819bbc02090003600c0195a4138e5d
SingleLineInfilling/HumanEval/150/L0,positive_control_recoverable,False,False,True,7,5,5,7,canvas_recoverable,UnitTestFailure,UnitTestFailure,,65ae51ff6c990a98bd308a00db9046c7d6f479a18af1dde0a80c450d45026791
SingleLineInfilling/HumanEval/151/L0,missed_failed_long,False,False,False,29,12,12,29,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,5cbf860942bd801ecde92a31a033cbd6744327ecd58d2913bf57b418f04e4dea
SingleLineInfilling/HumanEval/157/L0,missed_failed_long,False,False,False,29,14,14,29,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,a79ed945c4908eb0ecfa17fd014d8eef0726e4fa3487d779330c3a64142ea4da
SingleLineInfilling/HumanEval/158/L0,medium_near_long_underselection,False,False,False,19,3,3,19,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,bde973cfa87906d0029c48b44ce8d20765d24e842abbf2e9c5a13c3c319a4c35
SingleLineInfilling/HumanEval/21/L2,medium_near_long_underselection,True,True,True,21,20,20,21,stable_pass,,,,e2ca93b26c28bb9860e7602f757917c4426dd47959e5b754e825b4fd930e065f
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,False,False,True,29,10,10,29,canvas_recoverable,UnitTestFailure,UnitTestFailure,,682536d6810aa26b15c660d964aaf4e0cc2fe3704c1cb4b1aefc94efd4940d78
SingleLineInfilling/HumanEval/51/L0,missed_failed_long,False,False,True,32,3,3,32,canvas_recoverable,UnitTestFailure,UnitTestFailure,,63bd5fead85d6c72a7addff467b50604cf383f092b0060bb3709be9f4a273a58
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,False,False,True,29,15,15,29,canvas_recoverable,UnitTestFailure,UnitTestFailure,,0c33d330e24e9199e4651fff4adf5fed8dd328de1d25e06086f613c1307a77d8
SingleLineInfilling/HumanEval/72/L0,positive_control_recoverable,True,True,True,8,8,8,8,stable_pass,,,,0dfe3abb28204faebf033f8bc8e0846ea28729aa60c7b638062236a0c2297a27
SingleLineInfilling/HumanEval/72/L3,positive_control_recoverable,True,True,True,13,14,14,13,stable_pass,,,,63a56bc6500bd302147b26f67281210a8b5e49b3a10626c377d0ce550b78f456
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,False,False,True,33,11,11,33,canvas_recoverable,UnitTestFailure,UnitTestFailure,,e478364eff25f6688683d37a57770ea316eaa4f042b631bba3214fa8b17d8b4b
SingleLineInfilling/HumanEval/85/L0,missed_failed_long,False,False,False,29,3,9,29,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,9337cd32713c48ee9960db85543694aca96effd7f4cf7f629de9f60547d054b6
SingleLineInfilling/HumanEval/87/L0,missed_failed_long,False,False,False,32,4,4,32,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,SyntaxError,2d1465d5a81235597846f4751e6054a1b82b17c3892384e9390bfd9db8a66869
SingleLineInfilling/HumanEval/88/L0,missed_failed_long,False,False,False,33,3,3,33,rescue_limited_or_noncanvas,UnitTestFailure,UnitTestFailure,UnitTestFailure,7a34d5b9f0cad0b3e830ef5511b02a1df2f270d6af44ed6284d3da4bab62c812
