synthetic_task_id,source_task_id,length_bucket,policy,status,passed,selected_length,oracle_length,candidate_sha256,compile_passed,error_type,error_message,total_sec_including_probe
SyntheticSecondRegimeMinimal/HumanEval/0/L0/short,SingleLineInfilling/HumanEval/0/L0,short,control_fixed_fresh,ok,True,64,5,fb1a9f74e62e3473ff88261f9440890d469efa33833e98d3215336e82937f624,True,,,1.6399937150999904
SyntheticSecondRegimeMinimal/HumanEval/0/L0/short,SingleLineInfilling/HumanEval/0/L0,short,best_deployable_cal_lite_fresh,ok,True,3,5,ae1747ea1b6b3a16b3ed29eb1a94045f6a17f407d4eb71a7068350a2209f4cbc,True,,,1.6994296879856847
SyntheticSecondRegimeMinimal/HumanEval/0/L0/short,SingleLineInfilling/HumanEval/0/L0,short,oracle_sufficient_canvas_fresh,ok,True,5,5,41f982f25dc44621bac455377c59449d4115cc9cdd212ad97ae53718af64264d,True,,,1.3588625399279408
SyntheticSecondRegimeMinimal/HumanEval/1/L0/short,SingleLineInfilling/HumanEval/1/L0,short,control_fixed_fresh,ok,True,64,15,9c6fa8ec75545eec3137f51e1e03acb61a0bbb2610625fb6325300714be3f05b,True,,,1.4792881659814157
SyntheticSecondRegimeMinimal/HumanEval/1/L0/short,SingleLineInfilling/HumanEval/1/L0,short,best_deployable_cal_lite_fresh,ok,True,6,15,1ea361dc33604bfff3281e409a44de9b2b7b4df21fe60281ade4451275c3ca9e,True,,,1.6787366569624282
SyntheticSecondRegimeMinimal/HumanEval/1/L0/short,SingleLineInfilling/HumanEval/1/L0,short,oracle_sufficient_canvas_fresh,ok,True,15,15,aa9e35ead944183de15a565ac96d6b459b77b5d1ff07fffbea570ef095f58e50,True,,,1.375051759998314
SyntheticSecondRegimeMinimal/HumanEval/2/L0/short,SingleLineInfilling/HumanEval/2/L0,short,control_fixed_fresh,ok,True,64,16,7e8b48365cf25fe8b56521b874fd6985b65d53f0777a2fe1a855e01096c20e90,True,,,1.3688150280504487
SyntheticSecondRegimeMinimal/HumanEval/2/L0/short,SingleLineInfilling/HumanEval/2/L0,short,best_deployable_cal_lite_fresh,ok,True,9,16,6a28486fe4ba3a379f55b85eb1e67fe487d6c9371000f7459f199006aa582efd,True,,,1.6456786111812107
SyntheticSecondRegimeMinimal/HumanEval/2/L0/short,SingleLineInfilling/HumanEval/2/L0,short,oracle_sufficient_canvas_fresh,ok,True,16,16,23d2e0a04bcb01a87b74ef2c340a446c0189ca82201460387ea90bee9a8f3b4a,True,,,1.3389531968859956
SyntheticSecondRegimeMinimal/HumanEval/3/L0/short,SingleLineInfilling/HumanEval/3/L0,short,control_fixed_fresh,ok,True,64,24,57f7f8d37d7f200bdf8d4aadc9b1e14fa7a52329ac7901278636b81145f882a5,True,,,1.3795566980261356
SyntheticSecondRegimeMinimal/HumanEval/3/L0/short,SingleLineInfilling/HumanEval/3/L0,short,best_deployable_cal_lite_fresh,ok,True,5,24,8bfcfe95685d15d00362be4cd84f6dd7574ac0a76f1c546dd669be9f6f03b335,True,,,1.672467839322053
SyntheticSecondRegimeMinimal/HumanEval/3/L0/short,SingleLineInfilling/HumanEval/3/L0,short,oracle_sufficient_canvas_fresh,ok,True,24,24,af481e6a45f74fe3a1886582d7f0b836f30f8262ceea6f1fc506cc6212b89b14,True,,,1.3677865398931317
SyntheticSecondRegimeMinimal/HumanEval/4/L0/short,SingleLineInfilling/HumanEval/4/L0,short,control_fixed_fresh,ok,True,64,9,cf56e5ffc3ef376b4057f56cbe85dcee63fadd63e0d6507440a1596db975b814,True,,,1.3869505210313946
SyntheticSecondRegimeMinimal/HumanEval/4/L0/short,SingleLineInfilling/HumanEval/4/L0,short,best_deployable_cal_lite_fresh,ok,True,3,9,65c5abf75a96ea354d7ebc15b2657214dd42e6ef7fef77cfe677b957fadf85db,True,,,1.6733208959340118
SyntheticSecondRegimeMinimal/HumanEval/4/L0/short,SingleLineInfilling/HumanEval/4/L0,short,oracle_sufficient_canvas_fresh,ok,True,9,9,44af5dc748d85b0ea69f4da176813e134920654e46c2c71fb3e0d0cfc2df98ca,True,,,1.367081034986768
SyntheticSecondRegimeMinimal/HumanEval/5/L0/short,SingleLineInfilling/HumanEval/5/L0,short,control_fixed_fresh,ok,True,64,10,0c522316e420086752edf1796fa22eca7aea028915871ef189f16dd8c3e4923d,True,,,1.3877476350171492
SyntheticSecondRegimeMinimal/HumanEval/5/L0/short,SingleLineInfilling/HumanEval/5/L0,short,best_deployable_cal_lite_fresh,ok,True,3,10,9b3709adbf67a468a82e6f7a86958d083b65b0029eec055f24c2ece08fa9ef7e,True,,,1.679029883001931
SyntheticSecondRegimeMinimal/HumanEval/5/L0/short,SingleLineInfilling/HumanEval/5/L0,short,oracle_sufficient_canvas_fresh,ok,True,10,10,3eaf89c340d676df10bc4f1e6e018afc583be82bbb1b645434030b32acccaa46,True,,,1.357289239007514
SyntheticSecondRegimeMinimal/HumanEval/6/L0/medium,SingleLineInfilling/HumanEval/6/L0,medium,control_fixed_fresh,ok,True,64,38,343f04a697c597aa5418b32e61526fa8f2e406dd30ea5c80bfe4385c6007e21d,True,,,1.3947480760980397
