stratum_field,stratum_value,policy,policy_label,span_count,task_group_count,span_micro_accuracy,estimate,ci_low,ci_high,bootstrap_replicates_requested,bootstrap_replicates_valid,cluster_count,seed
source_config,HumanEval-MultiLineInfilling,control_fixed64,control_fixed64,5079,148,0.31443197479818863,0.25779264695000315,0.230994275908713,0.2846919237368892,10000,10000,148,20260813
source_config,HumanEval-MultiLineInfilling,best_deployable_cal_lite_alpha006,cal_lite,5079,148,0.23744831659775548,0.21720841170295993,0.19475288436796886,0.23842483934698044,10000,10000,148,20260814
source_config,HumanEval-MultiLineInfilling,oracle_sufficient_canvas,oracle_ceiling,5079,148,0.5436109470368182,0.4620523218997104,0.4239540286736269,0.5010543281758868,10000,10000,148,20260815
source_config,HumanEval-RandomSpanInfilling,control_fixed64,control_fixed64,1480,148,0.2594594594594595,0.2594594594594595,0.23529411764705888,0.28333333333333344,10000,10000,148,20260813
source_config,HumanEval-RandomSpanInfilling,best_deployable_cal_lite_alpha006,cal_lite,1480,148,0.15337837837837837,0.15337837837837842,0.13616801930247852,0.17021276595744672,10000,10000,148,20260814
source_config,HumanEval-RandomSpanInfilling,oracle_sufficient_canvas,oracle_ceiling,1480,148,0.23378378378378378,0.23378378378378403,0.21599893617021285,0.25154639175257754,10000,10000,148,20260815
source_config,HumanEval-RandomSpanInfillingLight,control_fixed64,control_fixed64,148,148,0.25675675675675674,0.25675675675675674,0.20202020202020202,0.3111111111111111,10000,10000,148,20260813
source_config,HumanEval-RandomSpanInfillingLight,best_deployable_cal_lite_alpha006,cal_lite,148,148,0.20945945945945946,0.20945945945945946,0.1590909090909091,0.25806451612903225,10000,10000,148,20260814
source_config,HumanEval-RandomSpanInfillingLight,oracle_sufficient_canvas,oracle_ceiling,148,148,0.49324324324324326,0.49324324324324326,0.4326704545454546,0.5555555555555556,10000,10000,148,20260815
length_bucket,empty_reference,control_fixed64,control_fixed64,11,11,0.8181818181818182,0.8181818181818182,0.6666666666666666,1.0,10000,10000,11,20260813
length_bucket,empty_reference,best_deployable_cal_lite_alpha006,cal_lite,11,11,0.7272727272727273,0.7272727272727273,0.5,1.0,10000,10000,11,20260814
length_bucket,empty_reference,oracle_sufficient_canvas,oracle_ceiling,11,11,1.0,1.0,1.0,1.0,10000,10000,11,20260815
length_bucket,extreme,control_fixed64,control_fixed64,3710,116,0.2307277628032345,0.2098468430127301,0.18376839728998534,0.23592387125800016,10000,10000,116,20260813
length_bucket,extreme,best_deployable_cal_lite_alpha006,cal_lite,3710,116,0.024797843665768194,0.02370295774179815,0.015260414257335611,0.031329698036973566,10000,10000,116,20260814
length_bucket,extreme,oracle_sufficient_canvas,oracle_ceiling,3710,116,0.34663072776280324,0.2976174206448214,0.2646198199384337,0.33035963675036706,10000,10000,116,20260815
length_bucket,long,control_fixed64,control_fixed64,821,129,0.33617539585870887,0.306395666450386,0.26850199937604435,0.34329899399793534,10000,10000,129,20260813
length_bucket,long,best_deployable_cal_lite_alpha006,cal_lite,821,129,0.20341047503045068,0.15484640125542995,0.12838848940432965,0.1803368184275305,10000,10000,129,20260814
length_bucket,long,oracle_sufficient_canvas,oracle_ceiling,821,129,0.6029232643118149,0.5124982955181314,0.4700549857372491,0.5550933366355334,10000,10000,129,20260815
length_bucket,medium,control_fixed64,control_fixed64,1040,143,0.3576923076923077,0.34160651316900636,0.31004734661381556,0.3724645261184403,10000,10000,143,20260813
length_bucket,medium,best_deployable_cal_lite_alpha006,cal_lite,1040,143,0.5153846153846153,0.4324772882643806,0.39488620802141855,0.4704073500872268,10000,10000,143,20260814
length_bucket,medium,oracle_sufficient_canvas,oracle_ceiling,1040,143,0.6682692307692307,0.5846994479320357,0.5455367894089134,0.6237453352526273,10000,10000,143,20260815
length_bucket,short,control_fixed64,control_fixed64,1125,146,0.4497777777777778,0.44845051712234557,0.41652873512827143,0.479053084330609,10000,10000,146,20260813
length_bucket,short,best_deployable_cal_lite_alpha006,cal_lite,1125,146,0.5875555555555556,0.5444805136958205,0.507354493467671,0.5824253429572056,10000,10000,146,20260814
length_bucket,short,oracle_sufficient_canvas,oracle_ceiling,1125,146,0.616,0.5711109414541521,0.5337136146184257,0.6076106123651476,10000,10000,146,20260815
error_type,<none>,control_fixed64,control_fixed64,2019,139,1.0,nan,nan,nan,10000,0,148,20260813
error_type,<none>,best_deployable_cal_lite_alpha006,cal_lite,1464,143,1.0,nan,1.0,1.0,10000,52,148,20260814
error_type,<none>,oracle_sufficient_canvas,oracle_ceiling,3180,148,1.0,1.0,1.0,1.0,10000,10000,148,20260815
error_type,AssertionError,control_fixed64,control_fixed64,1,1,0.0,0.0,0.0,0.0,10000,10000,1,20260813
error_type,AssertionError,best_deployable_cal_lite_alpha006,cal_lite,0,0,nan,nan,nan,nan,10000,0,1,20260814
error_type,AssertionError,oracle_sufficient_canvas,oracle_ceiling,0,0,nan,nan,nan,nan,10000,0,1,20260815
error_type,ImportError,control_fixed64,control_fixed64,2,2,0.0,0.0,0.0,0.0,10000,10000,2,20260813
error_type,ImportError,best_deployable_cal_lite_alpha006,cal_lite,0,0,nan,nan,nan,nan,10000,0,2,20260814
error_type,ImportError,oracle_sufficient_canvas,oracle_ceiling,0,0,nan,nan,nan,nan,10000,0,2,20260815
error_type,IndexError,control_fixed64,control_fixed64,1,1,0.0,0.0,0.0,0.0,10000,10000,1,20260813
error_type,IndexError,best_deployable_cal_lite_alpha006,cal_lite,0,0,nan,nan,nan,nan,10000,0,1,20260814
error_type,IndexError,oracle_sufficient_canvas,oracle_ceiling,0,0,nan,nan,nan,nan,10000,0,1,20260815
error_type,ModuleNotFoundError,control_fixed64,control_fixed64,1,1,0.0,0.0,0.0,0.0,10000,10000,1,20260813
error_type,ModuleNotFoundError,best_deployable_cal_lite_alpha006,cal_lite,0,0,nan,nan,nan,nan,10000,0,1,20260814
error_type,ModuleNotFoundError,oracle_sufficient_canvas,oracle_ceiling,0,0,nan,nan,nan,nan,10000,0,1,20260815
error_type,NameError,control_fixed64,control_fixed64,6,6,0.0,nan,0.0,0.0,10000,260,9,20260813
error_type,NameError,best_deployable_cal_lite_alpha006,cal_lite,2,2,0.0,nan,nan,nan,10000,0,9,20260814
error_type,NameError,oracle_sufficient_canvas,oracle_ceiling,1,1,0.0,nan,nan,nan,10000,0,9,20260815
error_type,SyntaxError,control_fixed64,control_fixed64,1204,148,0.0,0.0,0.0,0.0,10000,10000,148,20260813
error_type,SyntaxError,best_deployable_cal_lite_alpha006,cal_lite,1526,146,0.0,nan,0.0,0.0,10000,1332,148,20260814
error_type,SyntaxError,oracle_sufficient_canvas,oracle_ceiling,1028,148,0.0,0.0,0.0,0.0,10000,10000,148,20260815
error_type,UnitTestFailure,control_fixed64,control_fixed64,3473,146,0.0,nan,0.0,0.0,10000,1335,148,20260813
error_type,UnitTestFailure,best_deployable_cal_lite_alpha006,cal_lite,3715,148,0.0,0.0,0.0,0.0,10000,10000,148,20260814
error_type,UnitTestFailure,oracle_sufficient_canvas,oracle_ceiling,2498,148,0.0,0.0,0.0,0.0,10000,10000,148,20260815
