task_group,policy_a,policy_b,policy_a_accuracy,policy_b_accuracy,delta,outcome,span_count
HumanEval/0,best_deployable_cal_lite_alpha006,control_fixed64,0.28205128205128205,0.3076923076923077,-0.02564102564102566,loss,39
HumanEval/1,best_deployable_cal_lite_alpha006,control_fixed64,0.16379310344827586,0.14655172413793102,0.017241379310344834,win,116
HumanEval/10,best_deployable_cal_lite_alpha006,control_fixed64,0.25,0.15625,0.09375,win,32
HumanEval/100,best_deployable_cal_lite_alpha006,control_fixed64,0.0,0.08333333333333333,-0.08333333333333333,loss,12
HumanEval/101,best_deployable_cal_lite_alpha006,control_fixed64,0.2727272727272727,0.24242424242424243,0.030303030303030276,win,66
HumanEval/102,best_deployable_cal_lite_alpha006,control_fixed64,0.15384615384615385,0.0,0.15384615384615385,win,39
HumanEval/103,best_deployable_cal_lite_alpha006,control_fixed64,0.34375,0.3125,0.03125,win,32
HumanEval/104,best_deployable_cal_lite_alpha006,control_fixed64,0.23076923076923078,0.3076923076923077,-0.07692307692307693,loss,26
HumanEval/105,best_deployable_cal_lite_alpha006,control_fixed64,0.24875621890547264,0.4079601990049751,-0.15920398009950246,loss,201
HumanEval/106,best_deployable_cal_lite_alpha006,control_fixed64,0.22077922077922077,0.5194805194805194,-0.2987012987012987,loss,77
HumanEval/107,best_deployable_cal_lite_alpha006,control_fixed64,0.13636363636363635,0.3939393939393939,-0.25757575757575757,loss,66
HumanEval/108,best_deployable_cal_lite_alpha006,control_fixed64,0.1282051282051282,0.15384615384615385,-0.02564102564102566,loss,39
HumanEval/109,best_deployable_cal_lite_alpha006,control_fixed64,0.22077922077922077,0.23376623376623376,-0.012987012987012991,loss,77
HumanEval/11,best_deployable_cal_lite_alpha006,control_fixed64,0.34375,0.53125,-0.1875,loss,32
HumanEval/110,best_deployable_cal_lite_alpha006,control_fixed64,0.2987012987012987,0.2727272727272727,0.025974025974025983,win,77
HumanEval/111,best_deployable_cal_lite_alpha006,control_fixed64,0.18181818181818182,0.23376623376623376,-0.05194805194805194,loss,77
HumanEval/112,best_deployable_cal_lite_alpha006,control_fixed64,0.21428571428571427,0.5,-0.2857142857142857,loss,14
HumanEval/113,best_deployable_cal_lite_alpha006,control_fixed64,0.15384615384615385,0.3076923076923077,-0.15384615384615385,loss,26
HumanEval/114,best_deployable_cal_lite_alpha006,control_fixed64,0.1038961038961039,0.07792207792207792,0.025974025974025983,win,77
HumanEval/115,best_deployable_cal_lite_alpha006,control_fixed64,0.08333333333333333,0.16666666666666666,-0.08333333333333333,loss,12
HumanEval/116,best_deployable_cal_lite_alpha006,control_fixed64,0.08333333333333333,0.16666666666666666,-0.08333333333333333,loss,12
HumanEval/117,best_deployable_cal_lite_alpha006,control_fixed64,0.19642857142857142,0.3392857142857143,-0.14285714285714288,loss,56
HumanEval/118,best_deployable_cal_lite_alpha006,control_fixed64,0.2127659574468085,0.1702127659574468,0.04255319148936171,win,47
HumanEval/119,best_deployable_cal_lite_alpha006,control_fixed64,0.23529411764705882,0.30392156862745096,-0.06862745098039214,loss,102
HumanEval/12,best_deployable_cal_lite_alpha006,control_fixed64,0.1875,0.4375,-0.25,loss,32
