source_config,length_bucket,cases,control_fixed64_pass,best_deployable_cal_lite_pass,oracle_sufficient_canvas_pass,control_fixed64_rate,best_deployable_cal_lite_rate,oracle_sufficient_canvas_rate,oracle_gain_vs_control_cases,deployable_gain_vs_control_cases,deployable_harm_vs_control_cases,oracle_harm_vs_control_cases,rescue_limited_or_noncanvas_failures,oracle_only_canvas_recoverable,hard_tail_candidates,avg_control_selected_canvas,avg_deployable_selected_canvas,avg_oracle_selected_canvas
ALL,ALL,120,34,36,49,0.2833333333333333,0.3,0.4083333333333333,26,17,15,11,60,13,101,64.0,7.683333333333334,35.975
ALL,extreme,30,3,0,3,0.1,0.0,0.1,1,0,3,1,26,1,30,64.0,6.8,115.2
ALL,long,30,7,8,15,0.23333333333333334,0.26666666666666666,0.5,10,6,5,2,13,5,28,64.0,11.866666666666667,17.233333333333334
ALL,medium,30,9,10,12,0.3,0.3333333333333333,0.4,8,5,4,5,13,5,25,64.0,7.266666666666667,9.066666666666666
ALL,short,30,15,18,19,0.5,0.6,0.6333333333333333,7,6,3,3,8,2,18,64.0,4.8,2.4
HumanEval-MultiLineInfilling,ALL,40,13,18,24,0.325,0.45,0.6,11,8,3,0,16,4,30,64.0,6.35,44.675
HumanEval-MultiLineInfilling,extreme,10,0,0,0,0.0,0.0,0.0,0,0,0,0,10,0,10,64.0,3.1,149.2
HumanEval-MultiLineInfilling,long,10,5,3,9,0.5,0.3,0.9,4,1,3,0,1,3,8,64.0,11.5,17.0
HumanEval-MultiLineInfilling,medium,10,3,5,6,0.3,0.5,0.6,3,2,0,0,4,1,7,64.0,7.0,9.0
HumanEval-MultiLineInfilling,short,10,5,10,9,0.5,1.0,0.9,4,5,0,0,1,0,5,64.0,3.8,3.5
HumanEval-RandomSpanInfilling,ALL,40,9,4,3,0.225,0.1,0.075,1,1,6,7,30,1,37,64.0,8.2,36.125
HumanEval-RandomSpanInfilling,extreme,10,0,0,0,0.0,0.0,0.0,0,0,0,0,10,0,10,64.0,6.6,117.5
HumanEval-RandomSpanInfilling,long,10,1,1,0,0.1,0.1,0.0,0,1,1,1,9,0,10,64.0,11.0,17.0
HumanEval-RandomSpanInfilling,medium,10,3,1,1,0.3,0.1,0.1,1,0,2,3,6,1,9,64.0,8.1,9.0
HumanEval-RandomSpanInfilling,short,10,5,2,2,0.5,0.2,0.2,0,0,3,3,5,0,8,64.0,7.1,1.0
HumanEval-RandomSpanInfillingLight,ALL,40,12,14,22,0.3,0.35,0.55,14,8,6,4,14,8,34,64.0,8.5,27.125
HumanEval-RandomSpanInfillingLight,extreme,10,3,0,3,0.3,0.0,0.3,1,0,3,1,6,1,10,64.0,10.7,78.9
HumanEval-RandomSpanInfillingLight,long,10,1,4,6,0.1,0.4,0.6,6,4,1,1,3,2,10,64.0,13.1,17.7
HumanEval-RandomSpanInfillingLight,medium,10,3,4,5,0.3,0.4,0.5,4,3,2,2,3,3,9,64.0,6.7,9.2
HumanEval-RandomSpanInfillingLight,short,10,5,6,8,0.5,0.6,0.8,3,1,0,0,2,2,5,64.0,3.5,2.7
