group,source_config,cases,control_fixed64_pass,control_fixed64_rate,best_deployable_cal_lite_pass,best_deployable_cal_lite_rate,oracle_sufficient_canvas_pass,oracle_sufficient_canvas_rate,oracle_gain_vs_control_cases,oracle_gain_vs_control_rate,deployable_help_vs_control_cases,deployable_help_vs_control_rate,deployable_harm_vs_control_cases,deployable_harm_vs_control_rate,oracle_harm_vs_control_cases,oracle_harm_vs_control_rate,rescue_limited_or_noncanvas_cases,rescue_limited_or_noncanvas_rate,length_bucket
source_config,HumanEval-MultiLineInfilling,5079,1597,0.31443197479818863,1206,0.23744831659775548,2761,0.5436109470368182,1412,0.2780074817877535,513,0.10100413467217956,904,0.1779877928726127,248,0.04882850954912384,2070,0.4075605434140579,
source_config,HumanEval-RandomSpanInfilling,1480,384,0.2594594594594595,227,0.15337837837837837,346,0.23378378378378378,172,0.11621621621621622,87,0.05878378378378379,244,0.16486486486486487,210,0.14189189189189189,924,0.6243243243243243,
source_config,HumanEval-RandomSpanInfillingLight,148,38,0.25675675675675674,31,0.20945945945945946,73,0.49324324324324326,49,0.3310810810810811,20,0.13513513513513514,27,0.18243243243243243,14,0.0945945945945946,61,0.41216216216216217,
length_bucket,,11,9,0.8181818181818182,8,0.7272727272727273,11,1.0,2,0.18181818181818182,1,0.09090909090909091,2,0.18181818181818182,0,0.0,0,0.0,empty_reference
length_bucket,,3710,856,0.2307277628032345,92,0.024797843665768194,1286,0.34663072776280324,678,0.18274932614555256,24,0.00646900269541779,788,0.21239892183288409,248,0.06684636118598383,2176,0.5865229110512129,extreme
length_bucket,,821,276,0.33617539585870887,167,0.20341047503045068,495,0.6029232643118149,272,0.3313032886723508,72,0.0876979293544458,181,0.220462850182704,53,0.06455542021924482,273,0.3325213154689403,long
length_bucket,,1040,372,0.3576923076923077,536,0.5153846153846153,695,0.6682692307692307,377,0.3625,253,0.24326923076923077,89,0.08557692307692308,54,0.051923076923076926,291,0.2798076923076923,medium
length_bucket,,1125,506,0.4497777777777778,661,0.5875555555555556,693,0.616,304,0.2702222222222222,270,0.24,115,0.10222222222222223,117,0.104,315,0.28,short
source_config+length_bucket,HumanEval-MultiLineInfilling,3196,769,0.24061326658322904,87,0.027221526908635794,1162,0.36357947434292864,607,0.18992490613266583,22,0.00688360450563204,704,0.2202753441802253,214,0.06695869837296621,1820,0.5694618272841051,extreme
source_config+length_bucket,HumanEval-MultiLineInfilling,611,228,0.37315875613747956,151,0.24713584288052373,442,0.723404255319149,241,0.3944353518821604,63,0.10310965630114566,140,0.22913256955810146,27,0.044189852700491,142,0.23240589198036007,long
source_config+length_bucket,HumanEval-MultiLineInfilling,693,283,0.4083694083694084,461,0.6652236652236653,603,0.8701298701298701,326,0.4704184704184704,221,0.3189033189033189,43,0.06204906204906205,6,0.008658008658008658,84,0.12121212121212122,medium
source_config+length_bucket,HumanEval-MultiLineInfilling,579,317,0.5474956822107081,507,0.8756476683937824,554,0.9568221070811744,238,0.4110535405872193,207,0.35751295336787564,17,0.02936096718480138,1,0.0017271157167530224,24,0.04145077720207254,short
source_config+length_bucket,HumanEval-RandomSpanInfilling,11,9,0.8181818181818182,8,0.7272727272727273,11,1.0,2,0.18181818181818182,1,0.09090909090909091,2,0.18181818181818182,0,0.0,0,0.0,empty_reference
source_config+length_bucket,HumanEval-RandomSpanInfilling,451,68,0.15077605321507762,4,0.008869179600886918,98,0.21729490022172948,57,0.12638580931263857,2,0.004434589800443459,66,0.14634146341463414,27,0.0598669623059867,326,0.7228381374722838,extreme
source_config+length_bucket,HumanEval-RandomSpanInfilling,187,42,0.22459893048128343,11,0.058823529411764705,41,0.2192513368983957,22,0.11764705882352941,5,0.026737967914438502,36,0.1925133689839572,23,0.12299465240641712,123,0.6577540106951871,long
source_config+length_bucket,HumanEval-RandomSpanInfilling,307,81,0.26384364820846906,63,0.20521172638436483,71,0.23127035830618892,34,0.11074918566775244,24,0.0781758957654723,42,0.13680781758957655,44,0.14332247557003258,192,0.6254071661237784,medium
source_config+length_bucket,HumanEval-RandomSpanInfilling,524,184,0.3511450381679389,141,0.26908396946564883,125,0.2385496183206107,57,0.10877862595419847,55,0.1049618320610687,98,0.18702290076335878,116,0.22137404580152673,283,0.5400763358778626,short
source_config+length_bucket,HumanEval-RandomSpanInfillingLight,63,19,0.30158730158730157,1,0.015873015873015872,26,0.4126984126984127,14,0.2222222222222222,0,0.0,18,0.2857142857142857,7,0.1111111111111111,30,0.47619047619047616,extreme
source_config+length_bucket,HumanEval-RandomSpanInfillingLight,23,6,0.2608695652173913,5,0.21739130434782608,12,0.5217391304347826,9,0.391304347826087,4,0.17391304347826086,5,0.21739130434782608,3,0.13043478260869565,8,0.34782608695652173,long
source_config+length_bucket,HumanEval-RandomSpanInfillingLight,40,8,0.2,12,0.3,21,0.525,17,0.425,8,0.2,4,0.1,4,0.1,15,0.375,medium
source_config+length_bucket,HumanEval-RandomSpanInfillingLight,22,5,0.22727272727272727,13,0.5909090909090909,14,0.6363636363636364,9,0.4090909090909091,8,0.36363636363636365,0,0.0,0,0.0,8,0.36363636363636365,short
