source_config,length_bucket,taxonomy,cases,control_pass,deployable_pass,oracle_pass
ALL,ALL,deployable_and_oracle_recover_control_failure,561,0,561,561
ALL,ALL,deployable_harm_vs_control,1175,1175,0,764
ALL,ALL,oracle_canvas_harm_vs_control,61,61,61,0
ALL,ALL,oracle_only_canvas_recoverable,1072,0,0,1072
ALL,ALL,rescue_limited_or_noncanvas_failure,3055,0,59,0
ALL,ALL,stable_all_pass,783,783,783,783
ALL,empty_reference,deployable_and_oracle_recover_control_failure,1,0,1,1
ALL,empty_reference,deployable_harm_vs_control,2,2,0,2
ALL,empty_reference,oracle_only_canvas_recoverable,1,0,0,1
ALL,empty_reference,stable_all_pass,7,7,7,7
ALL,extreme,deployable_and_oracle_recover_control_failure,14,0,14,14
ALL,extreme,deployable_harm_vs_control,788,788,0,548
ALL,extreme,oracle_canvas_harm_vs_control,8,8,8,0
ALL,extreme,oracle_only_canvas_recoverable,664,0,0,664
ALL,extreme,rescue_limited_or_noncanvas_failure,2176,0,10,0
ALL,extreme,stable_all_pass,60,60,60,60
ALL,long,deployable_and_oracle_recover_control_failure,65,0,65,65
ALL,long,deployable_harm_vs_control,181,181,0,135
ALL,long,oracle_canvas_harm_vs_control,7,7,7,0
ALL,long,oracle_only_canvas_recoverable,207,0,0,207
ALL,long,rescue_limited_or_noncanvas_failure,273,0,7,0
ALL,long,stable_all_pass,88,88,88,88
ALL,medium,deployable_and_oracle_recover_control_failure,236,0,236,236
ALL,medium,deployable_harm_vs_control,89,89,0,51
ALL,medium,oracle_canvas_harm_vs_control,16,16,16,0
ALL,medium,oracle_only_canvas_recoverable,141,0,0,141
ALL,medium,rescue_limited_or_noncanvas_failure,291,0,17,0
ALL,medium,stable_all_pass,267,267,267,267
ALL,short,deployable_and_oracle_recover_control_failure,245,0,245,245
ALL,short,deployable_harm_vs_control,115,115,0,28
ALL,short,oracle_canvas_harm_vs_control,30,30,30,0
ALL,short,oracle_only_canvas_recoverable,59,0,0,59
ALL,short,rescue_limited_or_noncanvas_failure,315,0,25,0
ALL,short,stable_all_pass,361,361,361,361
HumanEval-MultiLineInfilling,ALL,deployable_and_oracle_recover_control_failure,486,0,486,486
HumanEval-MultiLineInfilling,ALL,deployable_harm_vs_control,904,904,0,672
HumanEval-MultiLineInfilling,ALL,oracle_canvas_harm_vs_control,16,16,16,0
HumanEval-MultiLineInfilling,ALL,oracle_only_canvas_recoverable,926,0,0,926
HumanEval-MultiLineInfilling,ALL,rescue_limited_or_noncanvas_failure,2070,0,27,0
HumanEval-MultiLineInfilling,ALL,stable_all_pass,677,677,677,677
HumanEval-MultiLineInfilling,extreme,deployable_and_oracle_recover_control_failure,12,0,12,12
HumanEval-MultiLineInfilling,extreme,deployable_harm_vs_control,704,704,0,498
HumanEval-MultiLineInfilling,extreme,oracle_canvas_harm_vs_control,8,8,8,0
HumanEval-MultiLineInfilling,extreme,oracle_only_canvas_recoverable,595,0,0,595
HumanEval-MultiLineInfilling,extreme,rescue_limited_or_noncanvas_failure,1820,0,10,0
HumanEval-MultiLineInfilling,extreme,stable_all_pass,57,57,57,57
HumanEval-MultiLineInfilling,long,deployable_and_oracle_recover_control_failure,57,0,57,57
HumanEval-MultiLineInfilling,long,deployable_harm_vs_control,140,140,0,119
HumanEval-MultiLineInfilling,long,oracle_canvas_harm_vs_control,6,6,6,0
HumanEval-MultiLineInfilling,long,oracle_only_canvas_recoverable,184,0,0,184
HumanEval-MultiLineInfilling,long,rescue_limited_or_noncanvas_failure,142,0,6,0
HumanEval-MultiLineInfilling,long,stable_all_pass,82,82,82,82
HumanEval-MultiLineInfilling,medium,deployable_and_oracle_recover_control_failure,213,0,213,213
HumanEval-MultiLineInfilling,medium,deployable_harm_vs_control,43,43,0,39
HumanEval-MultiLineInfilling,medium,oracle_canvas_harm_vs_control,2,2,2,0
HumanEval-MultiLineInfilling,medium,oracle_only_canvas_recoverable,113,0,0,113
HumanEval-MultiLineInfilling,medium,rescue_limited_or_noncanvas_failure,84,0,8,0
HumanEval-MultiLineInfilling,medium,stable_all_pass,238,238,238,238
HumanEval-MultiLineInfilling,short,deployable_and_oracle_recover_control_failure,204,0,204,204
HumanEval-MultiLineInfilling,short,deployable_harm_vs_control,17,17,0,16
HumanEval-MultiLineInfilling,short,oracle_only_canvas_recoverable,34,0,0,34
HumanEval-MultiLineInfilling,short,rescue_limited_or_noncanvas_failure,24,0,3,0
HumanEval-MultiLineInfilling,short,stable_all_pass,300,300,300,300
HumanEval-RandomSpanInfilling,ALL,deployable_and_oracle_recover_control_failure,59,0,59,59
HumanEval-RandomSpanInfilling,ALL,deployable_harm_vs_control,244,244,0,77
HumanEval-RandomSpanInfilling,ALL,oracle_canvas_harm_vs_control,43,43,43,0
HumanEval-RandomSpanInfilling,ALL,oracle_only_canvas_recoverable,113,0,0,113
HumanEval-RandomSpanInfilling,ALL,rescue_limited_or_noncanvas_failure,924,0,28,0
HumanEval-RandomSpanInfilling,ALL,stable_all_pass,97,97,97,97
HumanEval-RandomSpanInfilling,empty_reference,deployable_and_oracle_recover_control_failure,1,0,1,1
HumanEval-RandomSpanInfilling,empty_reference,deployable_harm_vs_control,2,2,0,2
HumanEval-RandomSpanInfilling,empty_reference,oracle_only_canvas_recoverable,1,0,0,1
HumanEval-RandomSpanInfilling,empty_reference,stable_all_pass,7,7,7,7
HumanEval-RandomSpanInfilling,extreme,deployable_and_oracle_recover_control_failure,2,0,2,2
HumanEval-RandomSpanInfilling,extreme,deployable_harm_vs_control,66,66,0,39
HumanEval-RandomSpanInfilling,extreme,oracle_only_canvas_recoverable,55,0,0,55
HumanEval-RandomSpanInfilling,extreme,rescue_limited_or_noncanvas_failure,326,0,0,0
HumanEval-RandomSpanInfilling,extreme,stable_all_pass,2,2,2,2
HumanEval-RandomSpanInfilling,long,deployable_and_oracle_recover_control_failure,4,0,4,4
HumanEval-RandomSpanInfilling,long,deployable_harm_vs_control,36,36,0,14
HumanEval-RandomSpanInfilling,long,oracle_canvas_harm_vs_control,1,1,1,0
HumanEval-RandomSpanInfilling,long,oracle_only_canvas_recoverable,18,0,0,18
HumanEval-RandomSpanInfilling,long,rescue_limited_or_noncanvas_failure,123,0,1,0
HumanEval-RandomSpanInfilling,long,stable_all_pass,5,5,5,5
HumanEval-RandomSpanInfilling,medium,deployable_and_oracle_recover_control_failure,18,0,18,18
HumanEval-RandomSpanInfilling,medium,deployable_harm_vs_control,42,42,0,10
HumanEval-RandomSpanInfilling,medium,oracle_canvas_harm_vs_control,12,12,12,0
HumanEval-RandomSpanInfilling,medium,oracle_only_canvas_recoverable,16,0,0,16
HumanEval-RandomSpanInfilling,medium,rescue_limited_or_noncanvas_failure,192,0,6,0
HumanEval-RandomSpanInfilling,medium,stable_all_pass,27,27,27,27
HumanEval-RandomSpanInfilling,short,deployable_and_oracle_recover_control_failure,34,0,34,34
HumanEval-RandomSpanInfilling,short,deployable_harm_vs_control,98,98,0,12
HumanEval-RandomSpanInfilling,short,oracle_canvas_harm_vs_control,30,30,30,0
HumanEval-RandomSpanInfilling,short,oracle_only_canvas_recoverable,23,0,0,23
HumanEval-RandomSpanInfilling,short,rescue_limited_or_noncanvas_failure,283,0,21,0
HumanEval-RandomSpanInfilling,short,stable_all_pass,56,56,56,56
HumanEval-RandomSpanInfillingLight,ALL,deployable_and_oracle_recover_control_failure,16,0,16,16
HumanEval-RandomSpanInfillingLight,ALL,deployable_harm_vs_control,27,27,0,15
HumanEval-RandomSpanInfillingLight,ALL,oracle_canvas_harm_vs_control,2,2,2,0
HumanEval-RandomSpanInfillingLight,ALL,oracle_only_canvas_recoverable,33,0,0,33
HumanEval-RandomSpanInfillingLight,ALL,rescue_limited_or_noncanvas_failure,61,0,4,0
HumanEval-RandomSpanInfillingLight,ALL,stable_all_pass,9,9,9,9
HumanEval-RandomSpanInfillingLight,extreme,deployable_harm_vs_control,18,18,0,11
HumanEval-RandomSpanInfillingLight,extreme,oracle_only_canvas_recoverable,14,0,0,14
HumanEval-RandomSpanInfillingLight,extreme,rescue_limited_or_noncanvas_failure,30,0,0,0
HumanEval-RandomSpanInfillingLight,extreme,stable_all_pass,1,1,1,1
HumanEval-RandomSpanInfillingLight,long,deployable_and_oracle_recover_control_failure,4,0,4,4
HumanEval-RandomSpanInfillingLight,long,deployable_harm_vs_control,5,5,0,2
HumanEval-RandomSpanInfillingLight,long,oracle_only_canvas_recoverable,5,0,0,5
HumanEval-RandomSpanInfillingLight,long,rescue_limited_or_noncanvas_failure,8,0,0,0
HumanEval-RandomSpanInfillingLight,long,stable_all_pass,1,1,1,1
HumanEval-RandomSpanInfillingLight,medium,deployable_and_oracle_recover_control_failure,5,0,5,5
HumanEval-RandomSpanInfillingLight,medium,deployable_harm_vs_control,4,4,0,2
HumanEval-RandomSpanInfillingLight,medium,oracle_canvas_harm_vs_control,2,2,2,0
HumanEval-RandomSpanInfillingLight,medium,oracle_only_canvas_recoverable,12,0,0,12
HumanEval-RandomSpanInfillingLight,medium,rescue_limited_or_noncanvas_failure,15,0,3,0
HumanEval-RandomSpanInfillingLight,medium,stable_all_pass,2,2,2,2
HumanEval-RandomSpanInfillingLight,short,deployable_and_oracle_recover_control_failure,7,0,7,7
HumanEval-RandomSpanInfillingLight,short,oracle_only_canvas_recoverable,2,0,0,2
HumanEval-RandomSpanInfillingLight,short,rescue_limited_or_noncanvas_failure,8,0,1,0
HumanEval-RandomSpanInfillingLight,short,stable_all_pass,5,5,5,5
