hard_tail_sample_group,current_taxonomy,cases,control_pass,deployable_pass,oracle_pass,genuinely_canvas_recoverable_now,rescue_limited_or_noncanvas_now,deployable_cal_lite_help_now,deployable_cal_lite_harm_now,oracle_canvas_harm_vs_control_now,label_changed_from_first_pass
ALL,ALL,48,12,16,28,24,12,13,9,8,0
ALL,deployable_and_oracle_recover_control_failure,12,0,12,12,12,0,12,0,0,0
ALL,deployable_harm_vs_control,9,9,0,4,0,0,0,9,5,0
ALL,oracle_canvas_harm_vs_control,3,3,3,0,0,0,0,0,3,0
ALL,oracle_only_canvas_recoverable,12,0,0,12,12,0,0,0,0,0
ALL,rescue_limited_or_noncanvas_failure,12,0,1,0,0,12,1,0,0,0
deployable_and_oracle_recover_control_failure,ALL,12,0,12,12,12,0,12,0,0,0
deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,12,0,12,12,12,0,12,0,0,0
harm_risk,ALL,12,12,3,4,0,0,0,9,8,0
harm_risk,deployable_harm_vs_control,9,9,0,4,0,0,0,9,5,0
harm_risk,oracle_canvas_harm_vs_control,3,3,3,0,0,0,0,0,3,0
oracle_only_canvas_recoverable,ALL,12,0,0,12,12,0,0,0,0,0
oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,12,0,0,12,12,0,0,0,0,0
rescue_limited_or_noncanvas_failure,ALL,12,0,1,0,0,12,1,0,0,0
rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,12,0,1,0,0,12,1,0,0,0
