metric,prior_48,prior_48_rate,full104,full104_rate,delta_full104_minus_48,note
Cases,48,,104,,56,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Control fixed64 pass,12,25.00%,18,17.31%,6,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Best deployable cal-lite pass,16,33.33%,20,19.23%,4,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Oracle-sufficient canvas pass,28,58.33%,33,31.73%,5,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Genuinely canvas-recoverable,24,50.00%,26,25.00%,2,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Rescue/non-canvas-limited,12,25.00%,60,57.69%,48,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Deployable cal-lite help,13,27.08%,17,16.35%,4,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Deployable cal-lite harm,9,18.75%,15,14.42%,6,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Oracle canvas harm vs control,8,16.67%,11,10.58%,3,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
First-pass label changes,0,0.00%,0,0.00%,0,counts are not benchmark estimates; full104 is fixed hard-tail stress completion
Verdict,official_second_regime_mixed_stress_evidence,,official_second_regime_mixed_stress_evidence,,,"compare robustness of mixed-stress conclusion, not unbiased official performance"
