source,name,family,decision,trigger_count,failed_long_count,true_long_count,short_risk_count,current_pass_risk_count,true_long_precision,failed_long_recall,short_risk_rate,current_pass_risk_rate,score,heldout_fold,selection_rank,train_score,train_decision,train_trigger_count,train_failed_long_count,train_short_risk_count,train_current_pass_risk_count
previous,confidence_first_le_0p875_AND_gap_last_le_0p84375,pairwise,policy_candidate,21,10,10,4,4,0.47619047619047616,0.5263157894736842,0.19047619047619047,0.19047619047619047,78.38095238095238,1,2,266.1698113207547,reject,106,43,31,21
previous,confidence_first_le_0p882812_AND_gap_last_le_0p84375,pairwise,policy_candidate,25,11,11,5,3,0.44,0.7333333333333333,0.2,0.12,86.2,4,3,272.2169811320755,reject,106,44,31,23
previous,top1_last_le_0p859375_AND_confidence_first_le_0p875,pairwise,policy_candidate,20,10,10,3,4,0.5,0.5263157894736842,0.15,0.2,82.5,1,3,264.1782178217822,reject,101,41,28,18
previous,top1_last_le_0p605469_AND_confidence_min_le_0p730469,pairwise,policy_candidate,15,10,10,3,0,0.6666666666666666,0.43478260869565216,0.2,0.0,91.33333333333333,3,4,248.3809523809524,reject,63,30,12,3
previous,top1_last_le_0p605469_AND_confidence_first_le_0p703125,pairwise,policy_candidate,15,10,10,3,0,0.6666666666666666,0.43478260869565216,0.2,0.0,91.33333333333333,3,5,246.5,diagnostic_only,58,29,10,3
previous,confidence_min_le_0p878906_AND_gap_last_le_0p84375,pairwise,policy_candidate,26,11,11,5,3,0.4230769230769231,0.7333333333333333,0.19230769230769232,0.11538461538461539,86.11538461538461,4,7,270.11206896551727,reject,116,46,34,28
previous,top1_last_le_0p859375_AND_confidence_first_le_0p882812,pairwise,policy_candidate,25,11,11,5,3,0.44,0.7333333333333333,0.2,0.12,86.2,4,9,264.22222222222223,reject,99,41,27,20
previous,top1_last_le_0p605469_AND_confidence_max_le_0p921875,pairwise,policy_candidate,15,10,10,3,0,0.6666666666666666,0.43478260869565216,0.2,0.0,91.33333333333333,3,11,242.35714285714283,reject,70,31,14,7
previous,top1_last_le_0p605469_AND_confidence_last_le_0p921875,pairwise,policy_candidate,15,10,10,3,0,0.6666666666666666,0.43478260869565216,0.2,0.0,91.33333333333333,3,14,240.32394366197184,reject,71,31,14,8
previous,top1_last_le_0p859375_AND_confidence_min_le_0p878906,pairwise,policy_candidate,26,11,11,5,3,0.4230769230769231,0.7333333333333333,0.19230769230769232,0.11538461538461539,86.11538461538461,4,14,262.11009174311926,reject,109,43,30,25
