stage,comparison,wins,losses,both_pass,both_fail,net_wins,mcnemar_exact_p,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high,task_macro_delta
full,c_vs_a,12,1,280,349,11,0.00341796875,0.006230529595015576,0.028037383177570093,0.0049833887043189366,0.03165696014616874,0.02373392308174921
full,c_vs_b,17,5,275,345,12,0.01690053939819336,0.004672897196261682,0.03271028037383177,0.0,0.04142953975848711,0.010792838874680188
full,c_vs_one_shot,96,105,196,245,-9,0.5726756419095728,-0.05763239875389408,0.028037383177570093,-0.06763557737260402,0.03949447077409163,-0.004103752172805897
full,c_vs_v1_progressive,68,92,224,258,-24,0.06868229204120632,-0.0763239875389408,0.001557632398753894,-0.08199651582729064,0.005698213624063783,-0.0291653042420309
pure30,c0_vs_a,2,0,3,25,2,0.5,0.0,0.16666666666666666,0.0,0.15,0.03968253968253968
pure30,c_vs_a,12,1,2,15,11,0.00341796875,0.16666666666666666,0.5666666666666667,0.13793103448275862,0.6,0.3412698412698412
pure30,c_vs_c0,10,1,4,15,9,0.01171875,0.13333333333333333,0.5,0.08327702702702708,0.5357142857142857,0.3015873015873015
pilot30,c0_vs_a,1,0,14,15,1,1.0,0.0,0.1,0.0,0.08571428571428572,0.015873015873015817
pilot30,c_vs_a,3,0,14,13,3,0.25,0.0,0.23333333333333334,0.0,0.2222222222222222,0.08730158730158721
pilot30,c_vs_c0,2,0,15,13,2,0.5,0.0,0.16666666666666666,0.0,0.16129032258064516,0.0714285714285714
